"Priority","Actor Name (EN)","Actor Name (TE)","Popularity","Movies in DB","Expected Min","Gap","Wikipedia URL","Filmography Page","TMDB URL","Status","Notes","Actor ID"
"1","Satyanarayana","సత్యనారాయణ","95","13","50","37","https://en.wikipedia.org/wiki/Kaikala_Satyanarayana","https://en.wikipedia.org/wiki/Kaikala_Satyanarayana#Filmography","https://www.themoviedb.org/person/552991","NEEDS REVIEW","Kaikala Satyanarayana","68dfa96d-1d00-43f6-81bc-c871bc84e209"
"2","K. Viswanath","కె. విశ్వనాథ్","95","14","50","36","https://en.wikipedia.org/wiki/K._Viswanath","https://en.wikipedia.org/wiki/K._Viswanath_filmography","https://www.themoviedb.org/person/544978","NEEDS REVIEW","Has standalone filmography page","79a2bf18-9024-4e08-85c3-843252eef4af"
"3","K. Balachander","కె. బాలచందర్","84","1","30","29","https://en.wikipedia.org/wiki/K._Balachander","https://en.wikipedia.org/wiki/K._Balachander_filmography","https://www.themoviedb.org/person/237706","NEEDS REVIEW","Director & Actor","aefdd1b5-016c-43f8-ac19-c1cb18fbc061"
"4","Ramakrishna","రామకృష్ణ","95","21","50","29","https://en.wikipedia.org/wiki/Ramakrishna_(Telugu_actor)","https://en.wikipedia.org/wiki/Ramakrishna_(Telugu_actor)#Filmography","https://www.themoviedb.org/person/579808","NEEDS REVIEW","Telugu actor disambiguation","e756e016-7d19-4e93-8be8-7a036babec14"
"5","Venu","వేణు","95","22","50","28","https://en.wikipedia.org/wiki/Venu_Thottempudi","https://en.wikipedia.org/wiki/Venu_Thottempudi#Filmography","https://www.themoviedb.org/person/111677","NEEDS REVIEW","Venu Thottempudi","4964d38c-49f0-4555-b934-12def4a66bfd"
"6","Sunil","సునీల్","95","24","50","26","https://en.wikipedia.org/wiki/Sunil_(actor)","https://en.wikipedia.org/wiki/Sunil_filmography","https://www.themoviedb.org/person/3600206","NEEDS REVIEW","Actor disambiguation, has standalone","ffa417ef-e0a9-4612-8616-8200ea040468"
"7","Rohit","రోహిత్","95","24","50","26","https://en.wikipedia.org/wiki/Rohit_(actor)","https://en.wikipedia.org/wiki/Rohit_(actor)#Filmography","https://www.themoviedb.org/person/938965","NEEDS REVIEW","Actor disambiguation","d7dfcf0b-d81e-4507-a827-51e4174a20b3"
"8","Gopichand","గోపీచంద్","95","25","50","25","https://en.wikipedia.org/wiki/Gopichand_(actor)","https://en.wikipedia.org/wiki/Gopichand_(actor)#Filmography","https://www.themoviedb.org/person/237325","NEEDS REVIEW","Actor disambiguation","58936790-e107-4b42-90f9-ce0b1adf6c59"
"9","N.T. Rama Rao Jr.","జూనియర్ ఎన్టీఆర్","90","17","40","23","https://en.wikipedia.org/wiki/N._T._Rama_Rao_Jr.","https://en.wikipedia.org/wiki/N._T._Rama_Rao_Jr._filmography","https://www.themoviedb.org/person/148037","NEEDS REVIEW","Standalone filmography","5e9bdc8d-63f8-4007-93dc-e03824a243cf"
"10","Pawan Kalyan","పవన్ కల్యాణ్","95","27","50","23","https://en.wikipedia.org/wiki/Pawan_Kalyan","https://en.wikipedia.org/wiki/Pawan_Kalyan_filmography","https://www.themoviedb.org/person/237048","NEEDS REVIEW","Standalone filmography","b6aa8d16-c405-4e81-a19f-d47ef882d5d9"
