"Actor Name","Popularity","Movies in DB","Movies in Wikipedia","Missing Movies","Attribution Issues","Processing Time (ms)","Status"
"Nayanthara","95","19","0","0","0","354","Success"
"Vijaya Nirmala","95","72","0","0","0","220","Success"
"Suman","95","124","0","0","0","214","Success"
"Mohan Babu","95","49","0","0","0","227","Success"
"Ram","95","708","0","0","0","295","Success"
"Tarun","95","45","0","0","0","225","Success"
"Kamal Haasan","95","55","0","0","0","216","Success"
"Rohit","95","24","0","0","0","207","Success"
"Sobhan Babu","95","103","0","0","0","219","Success"
"Chiranjeevi","95","136","0","0","0","304","Success"
"Nani","95","38","0","0","0","212","Success"
"Sukumar","95","12","0","0","0","217","Success"
"Ravi Teja","95","62","0","0","0","209","Success"
"Suhasini","95","44","0","0","0","296","Success"
"Suresh","95","29","0","0","0","206","Success"
"Anjali Devi","95","79","0","0","0","214","Success"
"Vishnu","95","39","0","0","0","212","Success"
"Ramakrishna","95","21","0","0","0","207","Success"
"Nandamuri Balakrishna","95","97","0","0","0","263","Success"
"Meena","95","60","0","0","0","212","Success"
"Jayasudha","95","132","0","0","0","209","Success"
"Roja","95","77","0","0","0","214","Success"
"Arjun","95","128","0","0","0","209","Success"
"Chandra Mohan","95","42","0","0","0","256","Success"
"Anjali","95","93","0","0","0","212","Success"
"Kanta Rao","95","48","0","0","0","229","Success"
"Akkineni Nagarjuna","95","1","0","0","0","250","Success"
"Sridevi","95","171","0","0","0","218","Success"
"Allari Naresh","95","66","0","0","0","211","Success"
"Simran","95","29","0","0","0","219","Success"
"Madhavi","95","42","0","0","0","215","Success"
"Shobana","95","32","0","0","0","200","Success"
"Ali","95","275","0","0","0","241","Success"
"Amala","95","34","0","0","0","220","Success"
"Raja","95","191","0","0","0","228","Success"
"Jaya Prada","95","167","0","0","0","207","Success"
"Brahmanandam","95","60","0","0","0","213","Success"
"Naresh","95","116","0","0","0","214","Success"
"Daggubati Venkatesh","95","67","0","0","0","213","Success"
"Kanchana","95","44","0","0","0","203","Success"
"Karthik","95","24","0","0","0","207","Success"
"Ajay","95","23","0","0","0","203","Success"
"Jamuna","95","80","0","0","0","205","Success"
"K. Viswanath","95","0","0","0","0","203","Success"
"Krishna Kumari","95","75","0","0","0","204","Success"
"Siddharth","95","33","0","0","0","204","Success"
"Krishna","95","791","0","0","0","263","Success"
"N.T. Rama Rao","95","87","0","0","0","209","Success"
"Krishnam Raju","95","99","0","0","0","230","Success"
"Venu","95","20","0","0","0","486","Success"
