Actor,Movie,Correct Role,Status,Message
"amala","Velaikaran","heroine","already_correct","Already in heroine field"
"amala","Mappillai","heroine","not_found","Movie not found in database"
"amala","Kirayi Dada","heroine","already_correct","Already in heroine field"
"amala","Chinababu","heroine","already_correct","Already in heroine field"
"amala","Siva","heroine","not_found","Actor not found in supporting_cast or hero/heroine"
"amala","Prema Yuddham","heroine","already_correct","Already in heroine field"
"amala","Nirnayam","heroine","already_correct","Already in heroine field"
"amala","Manam","cameo","fixed","Moved from supporting_cast to cameo"
"amala","Pushpaka Vimana","heroine","already_correct","Already in heroine field"
"chandra mohan","Rangula Ratnam","hero","already_correct","Already in hero field"
"chandra mohan","Bomma Borusa","hero","already_correct","Already in hero field"
"chandra mohan","Kalam Marindi","hero","already_correct","Already in hero field"
"chandra mohan","Padaharella Vayasu","hero","already_correct","Already in hero field"
"chandra mohan","Ram Robert Rahim","hero","already_correct","Already in hero field"
"chandra mohan","Kalahala Kapuram","hero","already_correct","Already in hero field"
"chandra mohan","Muchataga Mugguru","hero","already_correct","Already in hero field"
"chandra mohan","Rendu Rella Aaru","hero","already_correct","Already in hero field"
"chandra mohan","Gandhinagar Rendava Veedhi","hero","already_correct","Already in hero field"
"chandra mohan","Rambha Rambabu","hero","already_correct","Already in hero field"
"daggubati venkatesh","Prema Nagar","child_artist","fixed","Moved from supporting_cast to child_artist"
"daggubati venkatesh","Vasantha Maligai","child_artist","not_found","Movie not found in database"
"daggubati venkatesh","Kaliyuga Pandavulu","hero","already_correct","Already in hero field"
"daggubati venkatesh","Ajeyudu","hero","already_correct","Already in hero field"
"daggubati venkatesh","Raktha Tilakam","hero","already_correct","Already in hero field"
"daggubati venkatesh","Prema","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"daggubati venkatesh","Aggiramudu","hero","already_correct","Already in hero field"
"daggubati venkatesh","Chanti","hero","already_correct","Already in hero field"
"daggubati venkatesh","Super Police","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Pokiri Raja","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Dharma Chakram","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Chinnabbayi","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Suryavamsam","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Raja","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"daggubati venkatesh","Kalisundam Raa","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Devi Putrudu","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Vasu","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Vasantam","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Malliswari","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Sankranthi","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Lakshmi","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Aadavari Matalaku Arthale Verule","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Chintakayala Ravi","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Eenadu","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"daggubati venkatesh","Namo Venkatesa","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Bodyguard","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Seethamma Vakitlo Sirimalle Chettu","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Drushyam","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Gopala Gopala","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Babu Bangaram","hero","fixed","Moved from supporting_cast to hero"
"daggubati venkatesh","Guru","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"daggubati venkatesh","Agnyaathavaasi","cameo","fixed","Moved from supporting_cast to cameo"
