ID,Name,Slug,Occupation,TMDB_ID,Popularity
df84cb5c-4468-4e1b-8d02-b3c79086765a,"Muthyala Subbaiah",celeb-muthyala-subbaiah,director,1092790,95
db380131-e880-4b5c-a0bd-33e9e3fdb392,"Teja",celeb-teja,director,441339,95
4093b4eb-2453-4cca-a7e1-bb7f154344b1,"K. Vasu",celeb-k-vasu,director,590505,95
4ecaf338-5530-4de5-9b69-d55312d9dfd3,"P. Pullaiah",celeb-p-pullaiah,director,1082128,90
9a5cec2c-7f45-476f-8dc2-c17329fd0550,"P. Sambasiva Rao",celeb-p-sambasiva-rao,director,1673832,84
d541ff95-fc21-4840-a763-3075931dedcd,"P. Chandrasekhara Reddy",celeb-p-chandrasekhara-reddy,director,2061472,82
89c96b26-0714-4066-a5cb-1b8cc916af5a,"K. Bapayya",celeb-k-bapayya,director,1035424,76
a6215fa5-680b-4b0b-afcd-0e43accadbea,"K.S.R. Das",celeb-k-s-r-das,director,1335734,72
70d69290-cf03-4a6d-b888-d03f3919d045,"Vijaya Bapineedu",celeb-vijaya-bapineedu,director,584680,68
8cc00892-b70f-4e5c-a0bc-44b2a4ec36fa,"D. Yoganand",celeb-d-yoganand,director,585311,66
5b935836-a358-4fc9-b13e-9cb9a69adbb3,"G. Nageswara Reddy",celeb-g-nageswara-reddy,director,930184,66
5ace7eda-ca6b-4f66-a7c8-69726b5f4850,"M. Mallikarjuna Rao",celeb-m-mallikarjuna-rao,director,1985968,64
da6ce938-b660-4ad9-ad23-ebd8b91a9dda,"C. S. Rao",celeb-c-s-rao,director,1208888,62
0556cd81-751e-4646-a6c5-9caa098c4d71,"Bhimaneni Srinivasa Rao",celeb-bhimaneni-srinivasa-rao,director,1064995,60
dd23b3c1-43d9-4f0f-b116-c5400b94cad6,"Jayachitra",celeb-jayachitra,actor,584609,60
c08f1e86-148b-4261-a403-e0dd3dbbd217,"S. D. Lal",celeb-s-d-lal,director,1335759,58
87203689-6c93-4af5-bab6-e8dce7fa105b,"V. Madhusudhan Rao",celeb-v-madhusudhan-rao,director,1109584,56
469d6186-55cc-41e5-bbed-1d874f75b6c1,"K. S. Prakash Rao",celeb-k-s-prakash-rao,director,213158,56
adff6ef2-3ed7-498b-b2b9-ee54e28d0b0b,"V. Samudra",celeb-v-samudra,director,1335989,52
0cc96e22-e034-4e72-a870-7aabcf7ab2dc,"K. Murali Mohan",celeb-k-murali-mohan,director,87706,50
fdb88957-8229-4b84-a711-5bd43e254b34,"Tatineni Prakash Rao",celeb-tatineni-prakash-rao,director,1164782,50
59b0a93f-6023-413e-8bcf-7833968f5fc2,"L. V. Prasad",celeb-l-v-prasad,director,1435193,48
cadde48f-2522-448d-9a76-14af321f247d,"V. Ramachandra Rao",celeb-v-ramachandra-rao,director,1660494,48
8ac49582-689e-4a28-9171-2896ced9db07,"Ghantasala Balaramayya",celeb-ghantasala-balaramayya,director,4156840,48
7c02146c-d468-4313-9fa7-a03aced7d6ee,"Sriwass",celeb-sriwass,director,1418139,48
2b36b8b3-dbb1-430a-9fb3-b8a44c34e379,"Chandra Siddhartha",celeb-chandra-siddhartha,director,1107018,46
8707ebaa-9abd-4e21-b06d-1faa7dc24d67,"Chandra Mahesh",celeb-chandra-mahesh,director,1960292,46
dadcf92b-12f7-4c6a-9488-40ef6d1b760f,"Trinadha Rao Nakkina",celeb-trinadha-rao-nakkina,director,1267541,46
8e4bba66-f483-4ccd-8a09-0a5ea7bffc8a,"P. N. Ramachandra Rao",celeb-p-n-ramachandra-rao,director,591143,46
8c3f304e-a418-4ead-8440-97b4ca415572,"Jayanth C. Paranjee",jayanth-c-paranjee,director,237047,46
dc994bf4-d543-41b6-9a54-4d1ae7d09e92,"Surender Reddy",celeb-surender-reddy,director,1070462,46
4af4109f-bda4-4557-91c6-ff2ab96ae3fe,"Gopichand Malineni",celeb-gopichand-malineni,director,146938,46
2320d7a8-9fe9-4219-a2c8-2cfc5f478059,"R. S. Prakash",celeb-r-s-prakash,director,2261769,46
61862f93-12b5-46fb-ad2a-f275aee3dd33,"Kishore Tirumala",celeb-kishore-tirumala,director,1126210,46
ff96c57f-b0d5-4580-ba8f-1091d1affefe,"Kamalakara Kameshwara Rao",celeb-kamalakara-kameshwara-rao,director,1180574,46
436fc400-e5f4-41ab-9524-0c95c3bce078,"B. S. Narayana",celeb-b-s-narayana,director,1614156,44
ec10df4d-efc7-4bde-a586-d079e0ccad1d,"Veerabhadram",celeb-veerabhadram,director,1181034,44
5549f6b6-0ef4-425d-9933-91d42526c31a,"V. N. Aditya",celeb-v-n-aditya,director,549484,44
d99381d1-b5e7-41b3-8f82-426ff8f72416,"Siva Nageshwara Rao",celeb-siva-nageshwara-rao,director,1095513,44
a3a55b04-5491-4bb5-b31a-d1dba46d6171,"Udayasankar",celeb-udayasankar,director,585407,44
4f818ec9-bcb6-493e-8c61-acfc8e642db4,"Chandoo Mondeti",celeb-chandoo-mondeti,director,1380060,44
78daadab-4ec6-4893-b9bf-e5e656e4e7db,"Muppalaneni Siva",celeb-muppalaneni-siva,director,1060283,44
d4b45e2b-17cd-41f1-baf8-951e804c800a,"B. S. Ranga",celeb-b-s-ranga,director,987797,44
ce50ce06-41d8-405a-8022-4e7583aa4ea8,"Mohan Gandhi",celeb-mohan-gandhi,director,3528045,44
496a53f0-6b8a-41e9-b2ca-76fe2d63ecbc,"Meher Ramesh",celeb-meher-ramesh,director,237042,44
61312875-190d-4c55-9a4a-073e8392515b,"Gudavalli Ramabrahmam",celeb-gudavalli-ramabrahmam,director,2599296,42
53615dde-7a47-4213-931b-f7c4689608d4,"Veeru Potla",celeb-veeru-potla,director,237985,42
347948d3-f317-4731-94d6-d7527fff0e38,"Geetha Krishna",celeb-geetha-krishna,director,1339552,42
8b50d075-2748-49bf-ad95-4672d4abfe9a,"Vijayalalitha",celeb-vijayalalitha,actor,1423167,40
7058e8f8-9417-4bc1-b11e-2a4b38555a2b,"Deva Katta",celeb-deva-katta,director,146144,40
e3882d13-6566-4469-a96f-313891832340,"Shiva Nirvana",celeb-shiva-nirvana,director,1846877,38
0c369660-3998-445d-92e2-f991a3d4dab2,"T. L. V. Prasad",celeb-t-l-v-prasad,director,1143902,38
fd831708-3564-4f62-bce0-7f782bd443a3,"A. S. A. Sami",celeb-a-s-a-sami,director,584244,36
