"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"ali","Appula Appa Rao","1992","Actor (Supporting)","✓ EXISTS","Appula Appa Rao","ాపపులా ాపపా రావు","1992","100","289f82e3-c53b-40fe-a78a-60ad67aa0af8","Add ali to cast/crew"
"ali","Rajendrudu Gajendrudu","1993","Actor (Supporting)","✓ EXISTS","Rajendrudu Gajendrudu","రాజెనడరుడు గాజెనడరుడు","1993","100","56957ec9-7e84-4f24-82c9-7dc92136b3f1","Add ali to cast/crew"
"ali","Hello Brother","1994","Actor (Supporting)","✓ EXISTS","Hello Brother","హలో బ్రదర్","1994","100","8a0b430f-4432-46b8-84f9-e77bb66a8325","Add ali to cast/crew"
"ali","Lingababu Love Story","1995","Actor (Supporting)","✓ EXISTS","Lingababu Love Story","లినగాబాబు లవ్ స్టోరీ","1995","100","25833c13-121a-4dbe-8519-9f3cf145dad1","Add ali to cast/crew"
"ali","Vinodam","1996","Actor (Supporting)","✓ EXISTS","Vinodham","వినోడహామ","1996","87","99cf944d-9843-462e-9ce3-27325d6097ac","Add ali to cast/crew"
"ali","Gokulamlo Seeta","1997","Actor (Supporting)","✓ EXISTS","Gokulamlo Seetha","గోకులామలో సెెటహా","1997","93","a88d93b2-6efc-4948-83cc-20aefc0c1caf","Add ali to cast/crew"
"ali","Premante Idera","1998","Actor (Supporting)","✓ EXISTS","Premante Idera","పరెమానటె ిడెరా","1998","100","b53b7707-775c-47b9-b4f1-0068fbe38f21","Add ali to cast/crew"
"ali","Nuvvu Vastavani","2000","Actor (Supporting)","✓ EXISTS","Nuvvu Vastavani","నువ్వు వాసటావాని","2000","100","d43fd391-a00d-449e-88df-d7130703e575","Add ali to cast/crew"
"ali","Kushi","2001","Actor (Supporting)","✓ EXISTS","Kushi","ఖుషీ","2001","100","882aed35-fcfe-47ec-8a51-cd55066c23ae","Add ali to cast/crew"
"ali","Vasu","2002","Actor (Supporting)","✓ EXISTS","Vasu","వాసు వర్మ","2002","100","dace84e7-123f-48f1-b413-691f50862c94","Add ali to cast/crew"
"ali","Pellam Oorelithe","2003","Actor (Supporting)","✓ EXISTS","Pellam Oorelithe","పెళ్ళాం ోోరెలిటహె","2003","100","ed892aca-4346-4ae9-9e75-b167847b0fe5","Add ali to cast/crew"
