type,slug,title,year,field,before,after,status,note
"MUSIC_DUO_REVIEW","agni-pravesam-1990","Agni Pravesam",1990,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","telugu-veera-levara-1995","Telugu Veera Levara",1995,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","ramasakkanodu-1999","Ramasakkanodu",1999,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","lakshyam-1993","Lakshyam",1993,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","maa-nannaki-pelli-1997","Maa Nannaki Pelli",1997,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","kittu-2006","Kittu",2006,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","maa-aavida-meeda-ottu-mee-aavida-chala-manchidi-2001","Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi",2001,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","adhinetha-2009","Adhinetha",2009,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","aayanagaru-1998","Aayanagaru",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","sharabha-2018","Sharabha",2018,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","mee-aayana-jagratha-1998","Mee Aayana Jagratha",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","maavidakulu-1998","Maavidakulu",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
