ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100 chars),MISSING DATA,PRIORITY
db213db4-f0ba-4eca-ae5f-b291aef4be49,"Iddaru Attala Muddula Alludu",2006,"MISSING","Dev Anand",,NO,"","HERO",HIGH
98980f9f-7650-43fc-8a2d-912fbd9e1e88,"Apparao Driving School",2004,"MISSING","Anji Seenu",,NO,"","HERO",HIGH
3a00d145-9c46-46d1-a8fa-b88404f6b2a8,"Kottai Mariamman",2002,"MISSING","Rama Narayanan",,NO,"","HERO",HIGH
f98d67e2-8668-4dbc-bf9c-f3237daf9252,"Sakutumba Saparivaara Sametham",2000,"MISSING","S. V. Krishna Reddy",,NO,"","HERO",HIGH
472c726b-5972-45f2-9264-8b06ca5fecbc,"Vamsoddarakudu",2000,"MISSING","Sarath",,NO,"","HERO",HIGH
863ad6f1-6b43-4e86-bd23-84999161ef4b,"Time Pass",2001,"Ajay","MISSING",,NO,"","DIRECTOR",HIGH
d5edc733-e59b-42c0-ae51-6980c71906fd,"Sapnon Ka Mandir",1991,"Jaya Prada","MISSING",,NO,"A 1991 Telugu film starring Jaya Prada and Jaya Prada.","DIRECTOR",HIGH
32d1e7f0-d06e-4892-aaa9-38e68cb3fd06,"Sardar&#91;41&#93;",1984,"Jaya Prada","MISSING",,NO,"A 1984 Telugu film starring Jaya Prada.","DIRECTOR",HIGH
da08244c-b75c-4473-9abe-088555ce819e,"Main Awara Hoon",1983,"Jaya Prada","MISSING",,NO,"A 1983 Telugu film starring Jaya Prada and Raj Babbar.","DIRECTOR",HIGH
5cb44bbf-dd51-48d3-99d9-2834bb09fe16,"Bala Mitrula Katha",1972,"Gummadi","MISSING",,NO,"","DIRECTOR",HIGH
