Slug,Title (English),Release Year,Hero,Director,Status
dark-chocolate-2026,"Dark Chocolate",2026,"Vishwadev Rachakonda","Shashank Srivatsavaya",Published
rowdy-janardhana-2026,"Rowdy Janardhana",2026,"Vijay Deverakonda","Ravikiran Kola",Published
rao-bahadur-2026,"Rao Bahadur",2026,"Satyadev Kancharana","Venkatesh Maha",Published
itllu-arjuna-2026,"Itllu Arjuna",2026,"Aniesh","Mahesh Uppala",Published
honey-2026,"Honey",2026,"Naveen Chandra","Karuna Kumar",Published
alcohol-2026,"Alcohol",2026,"Allari Naresh","Meher Tej",Published
vanaveera-2026,"Vanaveera",2026,"Avinash","Avinash Thiruveedhula",Published
the-paradise-2026,"The Paradise",2026,"Nani","Srikanth Odela",Published
sahakutumbaanaam-2026,"Sahakutumbaanaam",2026,"Raam Kiran","Uday Sharma",Published
om-shanti-shanti-shantihi-2026,"Om Shanti Shanti Shantihi",2026,"Tharun Bhascker","Sajeev AR",Published
psych-siddhartha-2026,"Psych Siddhartha",2026,"Shree Nandu","Varun Reddy",Published
madham-2026,"Madham",2026,"Harsha","Vamsee Krishna Malla",Published
nilakanta-2026,"Nilakanta",2026,"Mahendran","Rakesh Madhavan",Published
the-bed-2026,"The Bed",2026,"Srikanth","S. Mani Bharathy",Published
sundarakanda-2025,"Sundarakanda",2025,"Nara Rohith","Venkatesh Nimmalapudi",Published
santhana-prapthirasthu-2025,"Santhana Prapthirasthu",2025,"Tharun Bhascker","Sanjeev Reddy",Published
mirai-2025,"Mirai",2025,"Teja Sajja","Karthik Ghattamaneni",Published
dilruba-2025,"Dilruba",2025,"Kiran Abbavaram","Viswa Karun",Published
chaurya-paatam-2025,"Chaurya Paatam",2025,"Mast Ali","Nikhil Gollamari",Published
salaar-part-2-shouryaanga-parvam,"Salaar: Part 2 - Shouryaanga Parvam",2025,"Prabhas","Prashanth Neel",Published
28-degree-celsius-2025,"28 Degree Celsius",2025,"Naveen Chandra","Anil Viswanath",Published
raju-weds-rambai-2025,"Raju Weds Rambai",2025,"Shivaji Raja","Saailu Kaampati",Published
dreamcatcher-2025,"Dreamcatcher",2025,"Prashanth Krishna","Sandeep Kakula",Published
suryapet-junction-2025,"Suryapet Junction",2025,"Eeswar","Rajesh Nadendla",Published
shivangi-2025,"Shivangi",2025,"John Vijay","Devaraj Bharani Dharan",Published
the-great-pre-wedding-show-2025,"The Great Pre-Wedding Show",2025,"Thiruveer Reddy","Rahul Srinivas",Published
hari-hara-veera-mallu-part-1-sword-vs-spirit-2025,"Hari Hara Veera Mallu: Part 1 – Sword vs Spirit",2025,"Pawan Kalyan","Jyothi Krishna",Published
oka-pathakam-prakaaram-2025,"Oka Pathakam Prakaaram",2025,"Sai Ram Shankar","Vinod Vijayan",Published
court-state-vs-a-nobody-2025,"Court: State vs. A Nobody",2025,"Priyadarshi Pullikonda","Ram Jagadeesh",Published
oh-bhama-ayyo-rama-2025,"Oh Bhama Ayyo Rama",2025,"Suhas","Ram Godhala",Published
paanch-minar-2025,"Paanch Minar",2025,"Raj Tarun","Ramesh Kadumula",Published
akkada-ammayi-ikkada-abbayi-2025,"Akkada Ammayi Ikkada Abbayi",2025,"Pradeep Machiraju","NitinBharath",Published
janata-bar-2025,"Janata Bar",2025,"Pradeep Ram Singh Rawat","Ramana Mogili",Published
shashtipoorthi-2025,"Shashtipoorthi",2025,"Rajendra Prasad","Pavan Prabha",Published
hathya-2025,"Hathya",2025,"Ravi Varma","Srividya Basawa",Published
uppu-kappurambu-2025,"Uppu Kappurambu",2025,"Suhas","Ani I. V. Sasi",Published
gandhi-tatha-chettu-2025,"Gandhi Tatha Chettu",2025,"Chakrapani Ananda","Padmavathi Malladi",Published
1111-2025,"11:11",2025,"Saluri Koteswara Rao","Kittu Nalluri",Published
mowgli-2025,"Mowgli",2025,"Roshan Kanakala","Sandeep Raj",Published
1000-waala-2025,"1000 Waala",2025,"Amith","Afzal Shaik",Published
bhairavam-2025,"Bhairavam",2025,"Bellamkonda Srinivas","Vijay Kanakamedala",Published
chiranjeeva-2025,"Chiranjeeva",2025,"Raj Tarun","Abhinaya Krishna",Published
chaurya-paatham-2025,"Chaurya Paatham",2025,"Mast Ali","Nikhil Gollamari",Published
lyf-love-your-father-2025,"LYF - Love Your Father",2025,"Sri Harsha","Pavan Ketharaju",Published
arjun-son-of-vyjayanthi-2025,"Arjun Son of Vyjayanthi",2025,"Nandamuri Kalyan Ram","Pradeep Chilukuri",Published
eesha-2025,"Eesha",2025,"Thrigun","Srinivas Manne",Published
14-days-girlfriend-intlo-2025,"14 Days (girlfriend Intlo)",2025,"Ankith Koyya","Sriharsha Manne",Published
solo-boy-2025,"Solo Boy",2025,"Posani Krishna Murali","P. Naveen Kumar",Published
paradha-2025,"Paradha",2025,"Rag Mayur","Praveen Kandregula",Published
8-vasantalu-2025,"8 Vasantalu",2025,"Ananthika Sanilkumar","Phanindra Narsetti",Published
blind-spot-2025,"Blind Spot",2025,"Naveen Chandra","Rakesh Varma",Published
mokshapatam-2025,"Mokshapatam",2025,"Thiruveer Reddy","Rahul Vanaja Rajeshwar",Published
pelli-kaani-prasad-2025,"Pelli Kaani Prasad",2025,"Muralidhar Goud","Abhilash Reddy Gopidi",Published
laila-2025,"Laila",2025,"Vishwak Sen","Ram Narayan",Published
kishkindhapuri-2025,"Kishkindhapuri",2025,"Bellamkonda Srinivas","Koushik Pegallapati",Published
mass-jathara-2025,"Mass Jathara",2025,"Ravi Teja","Bhanu Bogavarapu",Published
dear-uma-2025,"Dear Uma",2025,"Pruthvi Ambaar","Sai Rajesh Mahadav",Published
patang-2025,"Patang",2025,"Pranav Kaushik","Praneeth Prattipati",Published
akhanda-2-thaandavam-2025,"Akhanda 2: Thaandavam",2025,"Nandamuri Balakrishna","Boyapati Srinu",Published
kuberaa-2025,"Kuberaa",2025,"Dhanush","Sekhar Kammula",Published
single-2025,"#Single",2025,"Sree Vishnu","Caarthick Raju",Published
neeli-megha-shyama-2025,"Neeli Megha Shyama",2025,"Vishwadev Rachakonda","Ravi S Varmaa",Published
hit-the-third-case-2025,"HIT: The Third Case",2025,"Nani","Sailesh Kolanu",Published
ramam-raghavam-2025,"Ramam Raghavam",2025,"Samuthirakani","Dhanraj",Published
baapu-2025,"Baapu",2025,"Brahmaji","Dayakar Reddy K",Published
enuguthondam-ghatikachalam-2025,"Enuguthondam Ghatikachalam",2025,"Naresh","Ravi Babu",Published
ari-my-name-is-nobody-2025,"Ari: My Name is Nobody",2025,"Sai Kumar","V. JayaShankarr",Published
jaat-2025,"Jaat",2025,"Sunny Deol","Gopichand Malineni",Published
the-girlfriend-2025,"The Girlfriend",2025,"Dheekshith Shetty","Rahul Ravindran",Published
the-100-2025,"The 100",2025,"Anand","Raghav Omkar Sasidhar",Published
sankranthiki-vasthunam-2025,"Sankranthiki Vasthunam",2025,"Daggubati Venkatesh","Anil Ravipudi",Published
arjun-chakravarthy-2025,"Arjun Chakravarthy",2025,"Vijaya Rama Raju","Vikrant Srinivas",Published
sikandar-2025,"Sikandar",2025,"Salman Khan","A. R. Murugadoss",Published
premante-2025,"Premante",2025,"Priyadarshi Pullikonda","Navaneeth Sriram",Published
mad-2025,"(MAD)²",2025,"Sangeeth Shobhan","Kalyan Shankar",Published
sathamindri-mutham-tha-2024,"Sathamindri Mutham Tha",2024,"Srikanth","Rajdev",Published
