"Movie ID","Movie Title","Original Cast Count","Deduplicated Count","Duplicates Removed","Sample Duplicate Names"
"4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","112","35","77","Aishwarya Rai Bachchan, Annu Kapoor, Anusha, Geetha, Lakshmi"
"74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","107","31","76","Amala, Anusha, Geetha, K, K S R Das"
"f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","95","24","71","Geetha, K, K S R Das, Karthik, Lakshmi"
"bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","94","28","66","Geetha, K, Lakshmi, Madhavi, Radha"
"4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","88","23","65","Anusha, Geetha, Karthik, Lakshmi, Latha"
"67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","88","24","64","K S R Das, Lakshmi, Madhavi, Naresh, Radha"
"68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","83","23","60","Geetha, K, K S R Das, Lakshmi, Latha"
"fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","82","23","59","Geetha, K S R Das, Lakshmi, Madhavi, Ntr"
"3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","88","30","58","Annu Kapoor, Archana, Geetha, K, K S R Das"
"26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","89","32","57","Geetha, Karthik, Lakshmi, Meena, Rambha"
"b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","83","26","57","Amala, Archana, Geetha, K S R Das, Lakshmi"
"de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","80","23","57","Amala, Geetha, Janaki, Jeeva, Lakshmi"
"e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","81","25","56","Amala, Geetha, Karthik, Lakshmi, Madhavi"
"5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","90","35","55","Archana, Geetha, Jeeva, Lakshmi, Meena"
"0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","81","27","54","Anusha, Geetha, Karthik, Lakshmi, Madhavi"
"dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","75","26","49","Amala, Geetha, Lakshmi, Madhavi, Saritha"
"ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","83","34","49","Annu Kapoor, Lakshmi, Rajashree, Rambha, Roja"
"f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","93","45","48","Annu Kapoor, Anurag Basu, 76bfd159, Amala, Meena"
"5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","85","37","48","Annu Kapoor, 76bfd159, Meena, Rajashree, Rambha"
"0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","83","39","44","Anurag Basu, Lakshmi, Rajashree, Sai Kumar, Amulya"
"8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","74","31","43","Latha, Meena, Nagma, Rambha, Suhasini"
"81445621-1081-48b7-a013-bf0a78872346","Friends","78","35","43","Amulya, Indraja, Meena, Saritha, Suhasini"
"2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","77","34","43","Aditi Rao Hydari, Aksha Pardasany, 76bfd159, Cced3713, Meena"
"25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","71","30","41","Aditi Rao Hydari, Bhavana, Latha, Poorna, Poornima"
"3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","77","36","41","B885ee4f, Latha, Rajashree, Sai Kumar, Suhasini"
"7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","70","31","39","Lakshmi, Meena, Rajashree, Rambha, Suhasini"
"251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","62","28","34","Geetha, Rambha, Saritha, Suhasini, Amulya"
"4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","62","29","33","Cced3713, Jeeva, Poornima, Sai Kumar, Siddharth"
"b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","57","27","30","Geetha, Jeeva, K, Meena, Rajashree"
"59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","45","15","30","K S R Das, Lakshmi, Latha, Naresh, Sujatha"
"6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","39","12","27","K S R Das, Lakshmi, Latha, Sujatha, Janaki"
"678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","22","10","12","Lakshmi, Allu, Chandra Mohan, Janaki, K S R Das"
"04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","20","9","11","Lakshmi, Chandra Mohan, Janaki, K S R Das, Ramakrishna"
