Person Name,Rule Description,Condition,Filter Type,Filter Value,Movie ID,Title,Year,Slug,Field,Value,Language
"Devaraj","1970s director","director",years,1977,0410f495-564f-4436-bb86-48ea7c5d1612,"Sainthadamma Sainthadu",1977,"sainthadamma-sainthadu-1977","director","Devaraj","Telugu"
"Devaraj","1970s director","director",years,1977,bd723c84-c0dc-4c69-9a07-cfa72ae83544,"Kavikkuyil",1977,"kavikkuyil-1977","director","Devaraj","Telugu"
"Sudhakar","Actor/Comedian","hero",years,1982,1990,de7c0f9e-4e74-49d1-baed-d154aa001843,"Agni Pravesam",1990,"agni-pravesam-1990","hero","Sudhakar","Telugu"
"Sudhakar","Actor/Comedian","hero",years,1982,1990,f8c34cec-fd3f-4327-a01f-c54d3a5f3e7c,"Inikkum Ilamai",1982,"inikkum-ilamai-1982","hero","Sudhakar","Telugu"
"Ram","Music director","music_director",years,2010,038d52fe-ed0d-4932-b1af-29b7fa2fdbc1,"1940 Lo Oka Gramam",2010,"1940-lo-oka-gramam-2010","music_director","Saketh Sairam","Telugu"
"Ram","Music director","music_director",years,2010,42c05bd4-bd8e-4138-bb76-b60b35003057,"Prema Rajyam",2010,"prema-rajyam-2010","music_director","Vandemataram Srinivas","Telugu"
"Ram","Actor (Ram Pothineni)","hero",years,2020,c5949c91-7b3a-4278-ae52-178706cdd8a7,"Putham Pudhu Kaalai",2020,"putham-pudhu-kaalai-2020","hero","Jayaram","Telugu"
"Ram","Actor (Ram Pothineni)","hero",years,2020,58009354-8f82-4ce0-a552-f906bb7eaa07,"Utthara",2020,"utthara-2020","hero","Sriram","Telugu"
"Ram","Actor (Ram Pothineni)","hero",years,2020,07281748-889b-4ef8-a554-d9d4d6810016,"4 Letters",2020,"4-letters-2020","hero","Dhanraj Sukhram","Telugu"
"Ram","Actor (Ram Pothineni)","hero",years,2020,7d711b23-abd9-4375-839e-153b9d18927a,"Neevalle Nenunna",2020,"neevalle-nenunna-2020","hero","Jabardasth Ramprasad","Telugu"
"Sagar","Director","director",years,1995,2016,1d7675e5-3006-4fcd-a1c9-545303813bf1,"Amma Donga!",1995,"amma-donga-1995","director","Sagar","Telugu"
"Sagar","Director","director",years,1995,2016,85091a46-eb10-4680-8dd4-7cdb33e11150,"Appatlo Okadundevadu",2016,"appatlo-okadundevadu-2016","director","Sagar Chandra","Telugu"
"Sagar","Director","director",years,1995,2016,b6188415-bef1-4361-b065-59ef6e027bcb,"Bharata Simham",1995,"bharata-simham-1995","director","Sagar","Telugu"
"Sagar","Singer/Actor","hero",years,2016,2158b105-35fb-4171-93b3-cfe5207765f4,"Siddhartha",2016,"siddhartha-2016","hero","Sagar","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,05977123-d59c-4a42-b288-f272d8ce8c26,"Antahpuram",1998,"antahpuram-1998","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,0a870842-3553-4713-b9ff-b371c3017729,"Maa Nannaki Pelli",1997,"maa-nannaki-pelli-1997","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,1d6288b0-5004-4eb6-8417-a98a34dfb9c3,"Kana Kandaen",2005,"kana-kandaen-2005","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,5e66579f-af62-4611-9b58-19d04504a046,"Roja Kootam",2002,"roja-kootam-2002","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,a44bc34f-c414-4a71-838d-ac883a843ff2,"Muthyam",2001,"muthyam-2001","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,ab275338-7739-4b6c-ad15-8c852f66a561,"Satta",2004,"satta-2004","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,a4b6ba72-185b-435c-a481-1807fcad5197,"Joot",2003,"joot-2003","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,9aeae04e-2235-4fcb-abad-87cec73af9d5,"Ooyala",1998,"ooyala-1998","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,580820a0-5572-4fa4-816d-2827a27dbb7b,"Chandu",2001,"chandu-2001","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,80d9c7ef-ba6e-4555-8d5f-b30439f4415e,"April Maadhathil",2002,"april-maadhathil-2002","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,b3ddefa8-1e40-42d1-85fc-9e5e5739714d,"Varam",2004,"varam-2004","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,05388c35-b8c8-408d-bf92-46473d6a5941,"Varnajalam",2004,"varnajalam-2004","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,f60863b0-3cb6-43bf-80c5-0abfdd9f9db8,"Nambiar",2014,"nambiar-2014","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,8c3ef912-ecd6-4719-ba68-f86a89b334db,"Mayajalam",2006,"mayajalam-2006","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,938510b6-8193-4793-9f47-dd19e1821c84,"Naa Manasista Raa",2001,"naa-manasista-raa-2001","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,941e3c98-6767-4e6f-803e-74dab7f3d124,"Meri Warrant",2010,"meri-warrant-2010","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,f1961b9d-7c27-48a1-8916-6b6b97d49857,"Aavesam",1994,"aavesam-1994","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,ffd86f2f-c196-4bd9-a227-745f1f0c100c,"Sarada Saradaga",2006,"sarada-saradaga-2006","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,092d9078-9b18-4410-a954-b8eb5276bcf0,"Sowkarpettai",2016,"sowkarpettai-2016","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,37325977-f3b3-4d31-bd69-924abc2902a0,"Marshal",2019,"marshal-2019","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,3bd7f7f9-0eee-49bb-8d9a-62940672a885,"Bambara Kannaley",2005,"bambara-kannaley-2005","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,f4111b0d-3c05-4426-875a-a968e1f46e1c,"Evadi Gola Vaadidhi",2005,"evadi-gola-vaadidhi-2005","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,f9dc27e1-918e-4a99-ad56-7e7eced1f30a,"Swarabhishekam",2004,"swarabhishekam-2004","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,9df9b316-4c87-42c9-9838-daf5a9d6c9d2,"Paagan",2012,"paagan-2012","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,16a48b6a-72d7-4be5-b5d1-5572e8017993,"Sevakudu",2013,"sevakudu-2013","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,e76f5f0f-8cd3-482b-9bb0-c229f3a1315a,"Devaraya",2012,"devaraya-2012","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,f6cf1ae5-ad5b-438e-80b8-3b44cf8d195a,"Sadhurangam",2011,"sadhurangam-2011","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,9a6979f0-0433-47f4-a641-a3aa3c715e89,"Indira Vizha",2009,"indira-vizha-2009","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,1a875f10-3238-4b42-a00f-8830efd3ca37,"Uppukandam Brothers Back In Action",2011,"uppukandam-brothers-back-in-action-2011","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,f5980a13-269b-433b-ad20-3ea3ebbd3480,"Parthiban Kanavu",2003,"parthiban-kanavu-2003","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,924c923b-4812-4896-9ca8-eecbd244eda4,"Hero",2012,"hero-2012","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,9e092e2c-177f-48e6-b58d-e479ea78fc70,"Mirugaa",2021,"mirugaa-2021","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,9d9c9bac-0eb7-423c-b043-139fe35351a7,"Oru Naal Oru Kanavu",2005,"oru-naal-oru-kanavu-2005","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,37a50120-71ef-4ca2-ab78-2e92548c5aaf,"Om Shanthi Om",2015,"om-shanthi-om-2015","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,7fa3bf5a-b2c6-44b1-83a5-a5ac3bb14fa0,"Dinasari",2025,"dinasari-2025","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,2fef0ca5-b6a5-42e8-992d-0df04894afe0,"Echo",2023,"echo-2023","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,962abd51-04aa-4400-8ced-2ec1fceb50d3,"Operation Laila",2024,"operation-laila-2024","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,62ec137a-722b-4497-95cc-1b2d2ee6640a,"Poo",2008,"poo-2008","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,6f3e19e8-a175-48ca-b658-0cbc006265df,"Uyir",2006,"uyir-2006","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,592c5195-9b92-4241-ae70-85a5b935367f,"Drohi",2010,"drohi-2010","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,b0b61e80-d2c1-49aa-90e7-66c1a4ce2a5f,"Bose",2004,"bose-2004","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,9e30be61-cc65-45ae-997b-80c831112960,"W/o Ram",2018,"wo-ram-2018","hero","Srikanth Meka","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,7f14fbcd-5487-4d5c-9d72-889943183cf1,"Anandapuram Diaries",2024,"anandapuram-diaries-2024","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,005a86b9-c679-4dc6-b42d-97b81d9828bc,"Manasellam",2003,"manasellam-2003","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,e809f76b-bee4-489d-af25-179980cd6a9d,"Ethiri En 3",2016,"ethiri-en-3-2016","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,b571a609-a720-4a6c-aaab-060242f4bfd7,"Mercury Pookkal",2006,"mercury-pookkal-2006","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,916dc0f6-b852-4702-9ce5-55721c7f09b5,"The Bed",2026,"the-bed-2026","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,ba3e283f-f998-4c8d-baee-02bd4fa74d4d,"Sathamindri Mutham Tha",2024,"sathamindri-mutham-tha-2024","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,d2ea0275-f55a-4e3e-bb40-fade8784bcbc,"Amala",2023,"amala-2023","hero","Srikanth","Telugu"
"Srikanth","Telugu actor","hero",languages,Telugu,0ee2c153-fec8-4352-b30f-741eab42e56f,"Konjam Kadhal Konjam Modhal",2025,"konjam-kadhal-konjam-modhal-2025","hero","Srikanth","Telugu"
