Name,Occurrences Count,Roles,Total Movies,Year Range,Is Likely Different Person,Confidence,Reason,Sample Movies
"Prabhu",2,"producer, hero",3,"1988-1992","YES",75,"Different roles (producer, hero) with no time overlap","producer(1): Mannan | hero(2): Dharmathin Thalaivan, Guru Sishyan"
"Nagendra Babu",2,"producer, hero",4,"1983-2008","YES",75,"Different roles (producer, hero) with no time overlap","producer(3): Mugguru Monagallu, Bavagaru Bagunnara, Rudraveena | hero(1): Aapada Mokkulavaadu"
"Ana de Armas",2,"heroine, hero",2,"2025-2025","NO",0,"Likely same person","heroine(1): Eden | hero(1): Ballerina"
"Mstyslav Chernov",2,"hero, director",2,"2023-2023","NO",0,"Likely same person","hero(1): 20 Days in Mariupol | director(1): 20 Days in Mariupol"
"Miles Teller",2,"heroine, hero",2,"2025-2025","NO",0,"Likely same person","heroine(1): Eternity | hero(1): The Gorge"
"Pedro Pascal",2,"hero, heroine",2,"2024-2025","NO",0,"Likely same person","hero(1): The Fantastic 4: First Steps | heroine(1): The Wild Robot"
"Jack Black",2,"heroine, hero",3,"2024-2025","NO",0,"Likely same person","heroine(2): Anaconda, A Minecraft Movie | hero(1): Dear Santa"
"Tobias Forge",2,"hero, director",2,"2024-2024","NO",0,"Likely same person","hero(1): Rite Here Rite Now | director(1): Rite Here Rite Now"
"Rajinikanth",3,"hero, producer, heroine",39,"1975-2025","NO",0,"Likely same person","hero(37): ChaalBaaz, Dosti Dushmani, Ra.One | producer(1): Valli | heroine(1): Debbaku Debba"
"Amitabh Bachchan",2,"hero, heroine",7,"1983-2024","NO",0,"Likely same person","hero(5): Khuda Gawah, Geraftaar, Andhaa Kaanoon | heroine(2): Runway 34, Vettaiyan"
"Pankaj Tripathi",2,"hero, heroine",3,"2021-2024","NO",0,"Likely same person","hero(2): Murder Mubarak, OMG 2 | heroine(1): 83"
"Tabu",2,"hero, heroine",4,"1996-2024","NO",0,"Likely same person","hero(1): Crew | heroine(3): Ninne Pelladata, Kohram, Sarhad Paar"
"Kareena Kapoor Khan",2,"heroine, hero",3,"2022-2024","NO",0,"Likely same person","heroine(2): Crew, Laal Singh Chaddha | hero(1): Jaane Jaan"
"Alia Bhatt",2,"hero, heroine",4,"2022-2024","NO",0,"Likely same person","hero(3): Jigra, Darlings, Gangubai Kathiawadi | heroine(1): Brahmāstra Part One: Shiva"
"Anees Bazmee",2,"director, writer",3,"2015-2022","NO",0,"Likely same person","director(2): Bhool Bhulaiyaa 2, Welcome Back | writer(1): Welcome Back"
"Taapsee Pannu",2,"heroine, hero",2,"2022-2023","NO",0,"Likely same person","heroine(1): Dunki | hero(1): Looop Lapeta"
"Ajay Devgn",3,"hero, director, heroine",5,"2022-2024","NO",0,"Likely same person","hero(3): Drishyam 2, Runway 34, Shaitaan | director(1): Runway 34 | heroine(1): Gangubai Kathiawadi"
"Kriti Sanon",2,"heroine, hero",2,"2022-2024","NO",0,"Likely same person","heroine(1): Bhediya | hero(1): Do Patti"
"Sanjay Dutt",2,"hero, heroine",4,"1993-2023","NO",0,"Likely same person","hero(2): Gumrah, Sarhad Paar | heroine(2): K.G.F: Chapter 2, Leo"
"Bhanupriya",2,"heroine, hero",3,"1985-1989","NO",0,"Likely same person","heroine(2): Dosti Dushmani, Sutradharulu | hero(1): Bangaru Chilaka"
"Kamal Haasan",2,"hero, writer",20,"1975-2025","NO",0,"Likely same person","hero(19): Geraftaar, Allauddinum Albhutha Vilakkum, Indian 2: Zero Tolerance | writer(1): Dasavathaaram"
"Kajol",2,"heroine, hero",2,"2024-2025","NO",0,"Likely same person","heroine(1): Do Patti | hero(1): Maa"
"R. Madhavan",3,"heroine, hero, director",3,"2022-2024","NO",0,"Likely same person","heroine(1): Shaitaan | hero(1): Rocketry: The Nambi Effect | director(1): Rocketry: The Nambi Effect"
"Hrithik Roshan",2,"heroine, hero",2,"2024-2025","NO",0,"Likely same person","heroine(1): War 2 | hero(1): Fighter"
"Akshay Kumar",2,"heroine, hero",3,"1995-2023","NO",0,"Likely same person","heroine(1): OMG 2 | hero(2): Maidan-E-Jung, It's Entertainment"
"Upendra",2,"hero, director",3,"2023-2024","NO",0,"Likely same person","hero(2): Kabzaa, Ui | director(1): Ui"
"Devaraj",2,"heroine, director",2,"1977-2022","NO",0,"Likely same person","heroine(1): Head Bush: Vol 1 | director(1): Sainthadamma Sainthadu"
"Darling Krishna",2,"hero, director",3,"2022-2022","NO",0,"Likely same person","hero(2): Lucky Man, Love Mocktail 2 | director(1): Love Mocktail 2"
"Shiva Rajkumar",2,"hero, heroine",4,"2022-2024","NO",0,"Likely same person","hero(3): Vedha, Ghost, Bhairathi Ranagal | heroine(1): James"
"V Ravichandran",2,"hero, director",2,"2022-2022","NO",0,"Likely same person","hero(1): Ravi Bopanna | director(1): Ravi Bopanna"
"Sudeepa",2,"heroine, hero",2,"2022-2022","NO",0,"Likely same person","heroine(1): Ravi Bopanna | hero(1): Vikrant Rona"
"Priyamani",3,"hero, heroine, producer",6,"2009-2025","NO",0,"Likely same person","hero(1): Dr. 56 | heroine(4): Officer on Duty, Neru, Mana Oori Ramayanam | producer(1): Mana Oori Ramayanam"
"JP Tuminad",2,"heroine, director",2,"2025-2025","NO",0,"Likely same person","heroine(1): Su from So | director(1): Su from So"
"Amoghavarsha",2,"heroine, director",2,"2022-2022","NO",0,"Likely same person","heroine(1): Gandhada Gudi | director(1): Gandhada Gudi"
"Raj B Shetty",3,"hero, heroine, director",4,"2021-2023","NO",0,"Likely same person","hero(2): Toby, Garuda Gamana Vrishabha Vahana | heroine(1): 777 Charlie | director(1): Garuda Gamana Vrishabha Vahana"
"Rishab Shetty",3,"hero, director, heroine",5,"2021-2025","NO",0,"Likely same person","hero(2): Kantara, Kantara - A Legend: Chapter 1 | director(2): Kantara, Kantara - A Legend: Chapter 1 | heroine(1): Garuda Gamana Vrishabha Vahana"
"Tharun Sudhir",2,"director, writer",3,"2021-2023","NO",0,"Likely same person","director(2): Kaatera, Roberrt | writer(1): Roberrt"
"Sindhu Sreenivasa Murthy",2,"hero, director",2,"2023-2023","NO",0,"Likely same person","hero(1): Aachar & Co | director(1): Aachar & Co"
"Kalyani Priyadarshan",2,"hero, heroine",2,"2019-2025","NO",0,"Likely same person","hero(1): Lokah Chapter 1: Chandra | heroine(1): Ranarangam"
"Naslen",2,"heroine, hero",4,"2024-2025","NO",0,"Likely same person","heroine(1): Lokah Chapter 1: Chandra | hero(3): I Am Kathalan, Premalu, Alappuzha Gymkhana"
"Kunchacko Boban",2,"hero, heroine",4,"2021-2025","NO",0,"Likely same person","hero(3): Officer on Duty, Nayattu, Nna Thaan Case Kodu | heroine(1): 2018"
"Basil Joseph",3,"hero, heroine, director",5,"2021-2025","NO",0,"Likely same person","hero(1): Ponman | heroine(3): Sookshmadarshini, Guruvayoor Ambalanadayil, Jaya Jaya Jaya Jaya Hey | director(1): Minnal Murali"
"Soubin Shahir",2,"hero, heroine",4,"2021-2024","NO",0,"Likely same person","hero(2): Manjummel Boys, Romancham | heroine(2): Bheeshma Parvam, Irul"
"Asif Ali",2,"hero, heroine",3,"2024-2025","NO",0,"Likely same person","hero(2): Kishkindha Kaandam, Rekhachithram | heroine(1): Thalavan"
"Mammootty",2,"heroine, hero",7,"2021-2024","NO",0,"Likely same person","heroine(1): Bramayugam | hero(6): Kannur Squad, Kaathal - The Core, Nanpakal Nerathu Mayakkam"
"Sajin Gopu",2,"heroine, hero",2,"2023-2025","NO",0,"Likely same person","heroine(1): Romancham | hero(1): Painkili"
"Aishwarya Lekshmi",2,"heroine, hero",3,"2022-2023","NO",0,"Likely same person","heroine(2): King of Kotha, Gargi | hero(1): Gatta Kusthi"
"Prithviraj Sukumaran",3,"hero, heroine, director",8,"2021-2025","NO",0,"Likely same person","hero(4): Jana Gana Mana, The Goat Life, Guruvayoor Ambalanadayil | heroine(2): L2: Empuraan, Bro Daddy | director(2): L2: Empuraan, Bro Daddy"
"Darshana Rajendran",2,"heroine, hero",2,"2022-2022","NO",0,"Likely same person","heroine(1): Hridayam | hero(1): Jaya Jaya Jaya Jaya Hey"
"Anaswara Rajan",2,"heroine, hero",4,"2022-2025","NO",0,"Likely same person","heroine(3): Abraham Ozler, Painkili, Rekhachithram | hero(1): Super Sharanya"
"Unni Mukundan",2,"hero, heroine",2,"2022-2024","NO",0,"Likely same person","hero(1): Marco | heroine(1): 12th Man"
"Fahadh Faasil",2,"hero, heroine",7,"2021-2024","NO",0,"Likely same person","hero(6): Aavesham, Malayankunju, Joji | heroine(1): Vikram"
"Joju George",2,"hero, heroine",2,"2021-2023","NO",0,"Likely same person","hero(1): Iratta | heroine(1): Nayattu"
"Dileesh Pothan",2,"director, heroine",2,"2021-2024","NO",0,"Likely same person","director(1): Joji | heroine(1): Golam"
"K. Balachander",2,"director, writer",9,"1975-2006","NO",0,"Likely same person","director(7): Moondru Mudichu, Avargal, Thillu Mullu | writer(2): Moondru Mudichu, Rudraveena"
"Pradeep Ranganathan",2,"hero, director",4,"2022-2025","NO",0,"Likely same person","hero(3): Dragon, Love Today, Dude | director(1): Love Today"
"A. R. Murugadoss",2,"director, music_director",3,"2017-2025","NO",0,"Likely same person","director(2): Madharaasi, Spyder | music_director(1): Spyder"
"Siddharth",2,"heroine, hero",3,"2009-2024","NO",0,"Likely same person","heroine(1): Indian 2: Zero Tolerance | hero(2): Chithha, Konchem Ishtam Konchem Kashtam"
"S. J. Suryah",2,"heroine, writer",4,"2001-2025","NO",0,"Likely same person","heroine(3): Mark Antony, Jigarthanda DoubleX, Veera Dheera Sooran: Part 2 | writer(1): Kushi"
