Priority,ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100),Missing Data,Action Needed
📝 RATING,"23616eaa-6b34-4306-8af4-73a942ad86cc","Chaalbaaz",1989,"Sridevi","Pankaj Parashar",,YES,"A 1989 Telugu film directed by Pankaj Parashar starring Sridevi and Sridevi.","rating","Add rating then publish"
📝 RATING,"a3f8dd6b-bd0e-4a2e-a097-734df7426a7c","Best Actor",1987,"Rajendra Prasad","Martin Prakkat",,NO,"A 1987 Telugu film starring Rajendra Prasad and Sonu Gowda.","rating, poster","Add rating then publish"
📝 RATING,"ec820d05-afa3-4498-8a96-b1d6c95b1d22","Pyar Ke Do Pal",1986,"Mithun Chakraborty","Rajiv Mehra",,YES,"A 1986 Telugu film directed by Rajiv Mehra.","rating","Add rating then publish"
📝 RATING,"d40fc607-a589-409d-ad3c-5c8a655399a0","Saagara Sangamam",1983,"Kamal Haasan","K. Viswanath",,YES,"A 1983 Telugu film directed by K. Viswanath.","rating","Add rating then publish"
📝 RATING,"26a68cd4-8964-4476-a021-926903bcd6ab","Simha Gharjane",1983,"Vijayashanti","S. A. Chandrasekhar",,YES,"A 1983 Telugu film directed by S. A. Chandrasekhar starring Vijayashanti and Vijayashanti.","rating","Add rating then publish"
📝 RATING,"839e0266-9357-4e1e-9f2e-fe7f50e7953b","Sandhippu",1983,"Sivaji Ganesan","C. V. Rajendran",,YES,"A 1983 Telugu film directed by C. V. Rajendran.","rating","Add rating then publish"
📝 RATING,"5303c9b2-7a00-493f-bcd8-ad6c3373f890","Palletoori Monagadu",1983,"Chiranjeevi","S. A. Chandrasekhar",,YES,"A rural drama featuring Chiranjeevi in the role of a village youth. The film explores the simplicity","rating","Add rating then publish"
📝 RATING,"e2d3f4ec-ce83-42ff-bcdf-baa5b5d74a18","Ilanjodigal",1982,"Karthik Muthuraman","Rama Narayanan",,NO,"A 1982 Telugu film directed by Rama Narayanan.","rating, poster","Add rating then publish"
📝 RATING,"dc4eaf11-0b2a-4438-a2cb-263e739e5cd3","Devata",1982,"Akkineni Nageswara Rao","Thatineni Prasad",,NO,"","rating, poster","Add rating then publish"
📝 RATING,"6121afa9-67d8-4f6e-bf9e-b5c34b0ac56e","Netrikan",1981,"Rajinikanth","S. P. Muthuraman",,YES,"A 1981 Telugu film directed by S. P. Muthuraman.","rating","Add rating then publish"
📝 RATING,"6bf02cce-97aa-4075-9756-adb08cf497e6","Nenjile Thunivirunthal",1981,"Vijayakanth","S. A. Chandrasekhar",,NO,"A 1981 Telugu film directed by S. A. Chandrasekhar.","rating, poster","Add rating then publish"
📝 RATING,"4b47dda0-1b59-48e2-94a5-d910172668f4","Vishwaroobam",1980,"Sivaji Ganesan","A. C. Tirulokchandar",,YES,"A 1980 Telugu film directed by A. C. Tirulokchandar.","rating","Add rating then publish"
📝 RATING,"a6fef85e-9f2e-46b4-8fa8-7daf7748546d","Vanakkathukuriya Kathaliye",1978,"Sridevi","A. C. Tirulokchandar",,YES,"A 1978 Telugu film directed by A. C. Tirulokchandar starring Sridevi and Sridevi.","rating","Add rating then publish"
📝 RATING,"d5a0eedb-5789-4ac9-8b99-7e7291498562","டாக்ஸி டிரைவர்",1978,"Jaishankar","N. S. Manian",,NO,"A 1978 Telugu film directed by N. S. Manian.","rating, poster","Add rating then publish"
📝 RATING,"7b15d303-ebc5-4428-a266-f6f11604cc9b","Priya",1978,"Sridevi","S. P. Muthuraman",,YES,"A 1978 Telugu film directed by S. P. Muthuraman starring Sridevi and Sridevi.","rating","Add rating then publish"
📝 RATING,"d7ea2bdc-b127-4737-9553-d63ea6ab0415","Sita Swayamvar",1976,"Ravikumar","Bapu",,YES,"A 1976 Telugu film directed by Bapu.","rating","Add rating then publish"
📝 RATING,"e0d66df8-d137-4e1f-b548-b59fbc1119b1","Dasavatharam",1976,"Gemini Ganesan","K. S. Gopalakrishnan",,YES,"A 1976 Telugu film directed by K. S. Gopalakrishnan.","rating","Add rating then publish"
📝 RATING,"fbe0ee14-3cd4-4f31-9c60-b4494dd4a472","Andaru Dongale",1974,"Rajendra Prasad","Nidhi Prasad",,NO,"","rating, poster","Add rating then publish"
📝 RATING,"a5a91ed7-aec0-49b9-b885-e9d1d8daa2b7","Bhaktha Kumbara",1974,"Dr. Rajkumar","Hunsur Krishnamurthy",,YES,"A 1974 Telugu film directed by Hunsur Krishnamurthy.","rating","Add rating then publish"
