Slug,Title (English),Release Year,Hero,Heroine,Director,Issue,Category,Recommendation,Reason
baahubali-the-epic-2025,Baahubali: The Epic (Invalid),2025,-,-,-,Not a real project,INVALID,REMOVE,No evidence this film exists or is in production
pontons-heart-2025,Ponton's Heart (Invalid),2025,-,-,-,Montenegrin film,INVALID,REMOVE,International film (European). Not Telugu cinema
kingdom-2025,(TBA VD Project),2026,Vijay Deverakonda,Bhagyashri Borse,Ravi Kiran Kola,Working title only,INVALID,REMOVE,VD12 working title. Official title not announced yet
andhra-king-taluka-2025,(RAPO 22),2026,Ram Pothineni,Bhagyashri Borse,Mahesh Babu P,Working title only,INVALID,REMOVE,RAPO22 working title. Official title not announced yet
break-out-2025,Boss (Invalid),2025,-,-,-,Korean film,INVALID,REMOVE,South Korean film. Not Telugu cinema
n-a-2019,—N/a,2019,Eric Burdon,Sridevi,Hannes Rossacher,International doc,QUESTIONABLE,REMOVE,International documentary with foreign cast. Not Telugu film
n-t-r-kathanayukudu-2019,N.T.R: Kathanayukudu,2019,N/A,Naana Agyei-Ampadu,Krish Jagarlamudi,Duplicate entry,DUPLICATE,REMOVE,Duplicate of n-t-r-kathanayakudu-2019 (wrong spelling and data)

CORRECT ENTRY THAT EXISTS:
n-t-r-kathanayakudu-2019,N.T.R: Kathanayakudu,2019,Nandamuri Balakrishna,Vidya Balan,Krish Jagarlamudi,Valid - Already filled,VALID,KEEP,This is the correct entry with Telugu title ఎన్.టి.ఆర్: కథానాయకుడు
