Movie ID,Title,Fix Type,Status,Message,Old Value,New Value
f04c0dcd-bbf6-4fd7-ba75-32b5b9f5d1a3,"AA22xA6",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
f04c0dcd-bbf6-4fd7-ba75-32b5b9f5d1a3,"AA22xA6",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
50d562f6-70b0-4a8f-8795-564a24b2da9a,"Oh..! Sukumari",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
50d562f6-70b0-4a8f-8795-564a24b2da9a,"Oh..! Sukumari",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
62ff2985-5995-4c9d-84ef-0393342a97db,"Pushpa 3 - The Rampage",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
62ff2985-5995-4c9d-84ef-0393342a97db,"Pushpa 3 - The Rampage",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
b4a1cdb1-e53a-40e9-9c0f-00de7e170a96,"Comrade Kalyan",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
b4a1cdb1-e53a-40e9-9c0f-00de7e170a96,"Comrade Kalyan",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
436f66ec-1b0c-455c-a0a3-20dd786fb3cd,"Illicit Relationship",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
436f66ec-1b0c-455c-a0a3-20dd786fb3cd,"Illicit Relationship",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
9349ed3e-531e-4ea2-9b1d-e374a03958cd,"Asuragana Rudra",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
9349ed3e-531e-4ea2-9b1d-e374a03958cd,"Asuragana Rudra",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
f2fada23-de4c-4eee-9897-215d64ca016e,"Garividi Lakshmi",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
f2fada23-de4c-4eee-9897-215d64ca016e,"Garividi Lakshmi",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
9bec9780-8787-4fa4-9e6f-9fb2c81a9576,"DQ 41",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
9bec9780-8787-4fa4-9e6f-9fb2c81a9576,"DQ 41",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
3eb55434-d09a-4eac-a09b-3055c4288ae3,"Arrtham",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
3eb55434-d09a-4eac-a09b-3055c4288ae3,"Arrtham",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
ae3cab6e-41b0-4e78-a727-23c2ad3370ca,"HaiLesso",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
ae3cab6e-41b0-4e78-a727-23c2ad3370ca,"HaiLesso",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
6e2f5c00-1ac9-4f3f-ae56-0e979bb76eca,"Kirathaka",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
6e2f5c00-1ac9-4f3f-ae56-0e979bb76eca,"Kirathaka",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
5798b7f3-85a4-460a-bb56-6aa857f4e46e,"Biker",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
5798b7f3-85a4-460a-bb56-6aa857f4e46e,"Biker",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
e0973669-9b4b-4044-8c09-6beb72785090,"Abhiram",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
e0973669-9b4b-4044-8c09-6beb72785090,"Abhiram",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
3e471652-0904-4a9a-9886-f9308acfef8e,"Amaran in the City: Chapter 1",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
3e471652-0904-4a9a-9886-f9308acfef8e,"Amaran in the City: Chapter 1",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
4edf9132-9816-4c57-a569-1c152f688f2d,"Legacy",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
4edf9132-9816-4c57-a569-1c152f688f2d,"Legacy",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
83ad612c-edba-4341-8fe4-edd696416774,"Maa Inti Bangaram",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
83ad612c-edba-4341-8fe4-edd696416774,"Maa Inti Bangaram",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
43e130d6-060e-4219-b50c-dc85bd1b810f,"Hey Bhagawan!",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
43e130d6-060e-4219-b50c-dc85bd1b810f,"Hey Bhagawan!",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
d91f34c8-3676-4c36-9e45-b027b9b665d1,"Maate Mantramu",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
d91f34c8-3676-4c36-9e45-b027b9b665d1,"Maate Mantramu",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
710aeabe-bb55-44a4-a8b3-279f1defca5b,"What The Fish",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
710aeabe-bb55-44a4-a8b3-279f1defca5b,"What The Fish",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
473fbd46-477a-477b-80fc-2ecfa5e239cf,"They Call Him OG 2",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
473fbd46-477a-477b-80fc-2ecfa5e239cf,"They Call Him OG 2",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
d5389cd2-eec6-415e-bf8b-e45b1bf082ff,"Bad Boy Karthik",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
d5389cd2-eec6-415e-bf8b-e45b1bf082ff,"Bad Boy Karthik",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
a98974a0-cbb4-44c0-b9e8-7d0e8647890e,"Vāranāsi",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
a98974a0-cbb4-44c0-b9e8-7d0e8647890e,"Vāranāsi",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
896c1568-8d27-4a3f-a1c4-687724bd0ed4,"Patta Pagalu",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
896c1568-8d27-4a3f-a1c4-687724bd0ed4,"Patta Pagalu",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
