Actor,Movie Title,Action,Status
"ali","Appula Appa Rao","Added to supporting_cast",✓ Fixed
"ali","Rajendrudu Gajendrudu","Added to supporting_cast",✓ Fixed
"ali","Vinodham","Added to supporting_cast",✓ Fixed
"ali","Gokulamlo Seetha","Added to supporting_cast",✓ Fixed
"ali","Premante Idera","Added to supporting_cast",✓ Fixed
"ali","Nuvvu Vastavani","Added to supporting_cast",✓ Fixed
"ali","Kushi","Added to supporting_cast",✓ Fixed
"ali","Pellam Oorelithe","Added to supporting_cast",✓ Fixed
"ali","Khatarnak","Added to supporting_cast",✓ Fixed
"ali","Chintakayala Ravi","Added to supporting_cast",✓ Fixed
"ali","Billa","Added to supporting_cast",✓ Fixed
"ali","Balupu","Added to supporting_cast",✓ Fixed
"ali","Moodu Mukkallo Cheppalante","Added to supporting_cast",✓ Fixed
"ali","Nela Ticket","Added to supporting_cast",✓ Fixed
"ali","Amma Rajyam Lo Kadapa Biddalu","Added to supporting_cast",✓ Fixed
"ali","Induvadana","Added to supporting_cast",✓ Fixed
"ali","Veera Simha Reddy","Added to supporting_cast",✓ Fixed
"ali","Nelavanka","Added to supporting_cast",✓ Fixed
"ali","Aaro Pranam","Added to supporting_cast",✓ Fixed
"ali","Puli","Added to supporting_cast",✓ Fixed
"ali","Super","Added to supporting_cast",✓ Fixed
"amala","Velaikaran","Added to supporting_cast",✓ Fixed
"amala","Mappillai","Added to supporting_cast",✓ Fixed
"amala","Kirayi Dada","Added to supporting_cast",✓ Fixed
"amala","Chinababu","Added to supporting_cast",✓ Fixed
"amala","Siva","Added to supporting_cast",✓ Fixed
"amala","Prema Yuddham","Added to supporting_cast",✓ Fixed
"amala","Nirnayam","Added to supporting_cast",✓ Fixed
"amala","Life Is Beautiful","Added to supporting_cast",✓ Fixed
"amala","Manam","Added to supporting_cast",✓ Fixed
"amala","Karwaan","Added to supporting_cast",✓ Fixed
"amala","Pushpaka Vimana","Added to supporting_cast",✓ Fixed
"amala","C/O Saira Banu","Added to supporting_cast",✓ Fixed
"brahmanandam","Mozhi","Added to supporting_cast",✓ Fixed
"brahmanandam","Payanam","Added to supporting_cast",✓ Fixed
"brahmanandam","Jilla","Added to supporting_cast",✓ Fixed
"brahmanandam","Junior","Added to supporting_cast",✓ Fixed
"chandra mohan","Rangula Ratnam","Added to supporting_cast",✓ Fixed
"chandra mohan","Bomma Borusa","Added to supporting_cast",✓ Fixed
"chandra mohan","Kalam Marindi","Added to supporting_cast",✓ Fixed
"chandra mohan","Jeevana Tarangalu","Added to supporting_cast",✓ Fixed
"chandra mohan","Alluri Seetarama Raju","Added to supporting_cast",✓ Fixed
"chandra mohan","Padaharella Vayasu","Added to supporting_cast",✓ Fixed
"chandra mohan","Ram Robert Rahim","Added to supporting_cast",✓ Fixed
"chandra mohan","Kalahala Kapuram","Added to supporting_cast",✓ Fixed
"chandra mohan","Muchataga Mugguru","Added to supporting_cast",✓ Fixed
"chandra mohan","Rendu Rella Aaru","Added to supporting_cast",✓ Fixed
"chandra mohan","Gandhinagar Rendava Veedhi","Added to supporting_cast",✓ Fixed
"chandra mohan","Trinetrudu","Added to supporting_cast",✓ Fixed
"chandra mohan","Rambha Rambabu","Added to supporting_cast",✓ Fixed
"chandra mohan","Aame","Added to supporting_cast",✓ Fixed
"chandra mohan","Preminchukundam Raa","Added to supporting_cast",✓ Fixed
"chandra mohan","Chandralekha","Added to supporting_cast",✓ Fixed
