id,slug,title,year,pattern,pattern_type,field,current_value,suggested_fix,confidence,reasoning
"de7c0f9e-4e74-49d1-baed-d154aa001843","agni-pravesam-1990","Agni Pravesam",1990,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"32c231ed-8459-4832-9292-9198bb1e7e4d","telugu-veera-levara-1995","Telugu Veera Levara",1995,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"2898c6f9-f61a-4c7b-8c61-17cfe585d1ac","ramasakkanodu-1999","Ramasakkanodu",1999,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"25938c4e-a16b-4ffb-9e04-6dbc014fbf6a","dammu-2012","Dammu",2012,"NAME_VARIANT_MISMATCH","HERO_NAME_VARIANT","hero","N. T. Rama Rao Jr.","Jr. NTR",0.95,"Standardize ""N. T. Rama Rao Jr."" to ""Jr. NTR"""
"67d07825-1d0e-4952-9466-baf70bb2c65a","lakshyam-1993","Lakshyam",1993,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"0a870842-3553-4713-b9ff-b371c3017729","maa-nannaki-pelli-1997","Maa Nannaki Pelli",1997,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"f660ed40-2351-4ef9-9526-6290758c2716","kittu-2006","Kittu",2006,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"40da3bfd-5f39-44fd-ad99-8045ab56261a","maa-aavida-meeda-ottu-mee-aavida-chala-manchidi-2001","Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi",2001,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"a88b5872-8e48-468b-9d28-f0f95cffff58","adhinetha-2009","Adhinetha",2009,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"52fc610d-efc0-4294-b06d-1a9dc5626d2b","ashok-2006","Ashok",2006,"NAME_VARIANT_MISMATCH","HERO_NAME_VARIANT","hero","N. T. Rama Rao Jr.","Jr. NTR",0.95,"Standardize ""N. T. Rama Rao Jr."" to ""Jr. NTR"""
