decade,year,title_en,hero,director,tmdb_id,slug,poster_url_found,source,notes
2010s,2019,"N.T.R: Kathanayukudu","Vidya Balan","Radhakrishna Jagarlamudi",550608,n-t-r-kathanayukudu-2019,,,
2010s,2016,"Ethiri En 3","Srikanth","Ramkumar",280880,ethiri-en-3-2016,,,
2010s,2016,"Mental (Appatlo Okadundevadu)","Sree Vishnu","Sagar K Chandra",492358,-2016,,,
2010s,2011,"Bhale Mogudu Bhale Pellam","Rajendra Prasad","Dinesh Baboo",,bhale-mogudu-bhale-pellam-2011,,,
2010s,2011,"Poru Telangana","R. Narayana Murthy","R. Narayana Murthy",71490,poru-telangana-2011,,,
2010s,2010,"Neninthe","Brahmanandam","Puri Jagannadh",137452,neninthe-2010,,,
2010s,2010,"Brahmalokam to Yamalokam via Bhulokam","Sivaji Sontineni","Gollapati Nageswara Rao",117021,brahmalokam-to-yamalokam-via-bhulokam-2010,,,
2010s,2010,"Madhanudu","Aarmugam","Joe",40912,madhanudu-2010,,,
2010s,2010,"Anaganaga Oka Aranyam","Kaushal","G. Shekhar Chandra",,anaganaga-oka-aranyam-2010,,,
2000s,2009,"Swetha 5/10 Wellington Road","Girish","Sanjay Ram",112307,swetha-5-10-wellington-road-2013,,,
2000s,2009,"Indira Vizha","Srikanth","K. Rajeswar",336830,indira-vizha-2009,,,
2000s,2008,"Sundara Kanda","Allari Naresh","S. V. Krishna Reddy",279489,sundara-kanda-2008,,,
2000s,2008,"Kshudra","Satya Prakash","Nagul",609650,kshudra-2008,,,
2000s,2008,"Mangathaayaru Tiffin Centre","Surya Tej","Venkat",505862,mangathaayaru-tiffin-centre-2008,,,
2000s,2008,"Vallamai Tharayo","R. Parthiban","Madhumita",80232,vallamai-tharayo-2008,,,
2000s,2008,"Premabandham","Varun Sandesh","Siva Nagu",,premabandham-2008,,,
2000s,2007,"Evadaithe Nakenti","Dr. Rajasekhar","V. Samudra",279520,evadaithe-nakenti-2007,,,
2000s,2007,"Daughters' Destiny","Anita Khadka Karki","May Gauffin",486057,daughters-destiny-2007,,,
2000s,2007,"Amma Nanna Lekunte","Krishna","Y. Ramakrishna",610530,amma-nanna-lekunte-2007,,,
2000s,2007,"Poramboku","Navdeep","Srinivas",1041185,poramboku-2007,,,
2000s,2006,"Neeku Naaku","Brahmanandam","Selvendran",,neeku-naaku-2006,,,
2000s,2006,"Sundaraniki Tondarekkuva","Baladitya","Phani Prakash",,sundaraniki-thondarekkuva-2006,,,
2000s,2006,"Gopi – Goda Meedha Pilli","Brahmanandam","Janardhana Maharshi",,gopi-goda-meedha-pilli-2006,,,
2000s,2006,"Premante Inte","Sumanth","Devakatta",,premante-inte-2006,,,
2000s,2006,"Manodu","Priyadarshini Ram","Priyadarshini Ram",,manodu-2006,,,
2000s,2006,"Abhaddam","Shanvi","Raviraja",,abhaddam-2006,,,
2000s,2006,"Naayudamma","Vijayashanti","A. Madhava Sai",,naayudamma-2006,,,
2000s,2006,"Indian Beauty","Brahmanandam","K. Shanti Kumar",,indian-beauty-2006,,,
2000s,2006,"Gurukshetram","Sathyaraj","Jayabharathi",304052,gurukshetram-2006,,,
2000s,2005,"Moguds Pellams","Sivaji Raja","Venky",307888,moguds-pellams-2005,,,
2000s,2005,"Nuvvante Naakishtam","Chandra Mohan","E. V. V. Satyanarayana",428383,nuvvante-naakishtam-2005,,,
2000s,2005,"Vikramarkudu","Anushka Shetty","S. S. Rajamouli",40909,vikram-2005,,,
2000s,2004,"CBI Officer","Krishna","Shiva",,cbi-officer-2004,,,
2000s,2004,"Kaani","Saikiran","Abhinav Velagaleti",,kaani-2004,,,
2000s,2004,"24 Gantalu","Krishna","D. S. Rao",,24-gantalu-2004,,,
2000s,2003,"Palanati Brahmanaidu","Nandamuri Balakrishna","B. Gopal",215442,palanati-brahmanaidu-2003,,,
2000s,2002,"Angala Parameswari","Meena","Sai Prakash",,angala-parameswari-2002,,,
2000s,2002,"Chennakeshava Reddy","Tabu","V. V. Vinayak",,chennakeshava-reddy-2002,,,
2000s,2001,"Naa Manasista Raa","Srikanth","R.R. Shinde",1547950,naa-manasista-raa-2001,,,
2000s,2001,"Kalisi Naduddam","Brahmanandam","Kodi Ramakrishna",,kalisi-naduddam-2001,,,
2000s,2001,"Time Pass","Ajay","V. Anand",330753,time-pass-2001,,,
2000s,2001,"Athanu","Rachana Banerjee","Sathysm Babu",,athanu-2001,,,
2000s,2001,"Repallelo Radha","Brahmanandam","Saritha",,repallelo-radha-2001,,,
2000s,2000,"Sakutumba Saparivaara Sametham","Akkineni Nageswara Rao","S. V. Krishna Reddy",306450,sakutumba-saparivaara-sametham-2000,,,
2000s,2000,"Vamsoddarakudu","Ramya Krishnan","Sarath",,vamsoddarakudu-2000,,,
2000s,2000,"Okkadu Chalu","Kota Srinivasa Rao","Ravi Raja Pinisetty",,okkadu-chalu-2000,,,
2000s,2000,"Manasu Paddanu Kaani","Venu","Veeru K.",,manasu-paddanu-kaani-2000,,,
2000s,2000,"Yee Taram Nehru","Krishna","Shiva",,yee-taram-nehru-2000,,,
1990s,1999,"Vichitram","Brahmanandam","Jandhyala",,vichitram-1999,,,
1990s,1999,"Yamajathakudu","Mohan Babu","Nimmala Shankar",,yamajathakudu-1999,,,
1990s,1999,"Asala Sandadi","Jagapathi Babu","Relangi Narasimha Rao",,asala-sandadi-1999,,,
1990s,1999,"Ammo Polisollu","Sumanth","E. V. V. Satyanarayana",,ammo-polisollu-1999,,,
1990s,1999,"Harischandraa","Brahmanandam","Thulasi Kumar",,harischandraa-1999,,,
1990s,1999,"Mannavaru Sinnavaru","Sivaji Ganesan","P. N. Ramachandra Rao",66523,mannavaru-sinnavaru-1999,,,
1990s,1999,"Gurupoornima","Jagapathi Babu","P. N. Ramachandra Rao",,gurupoornima-1999,,,
1990s,1999,"Speed Dancer","Anand Babu","Muppalaneni Siva",,speed-dancer-1999,,,
1990s,1999,"Bobbili Vamsam","Daggubati Venkatesh","A. Kodandarami Reddy",259461,bobbili-vamsam-1999,,,
1990s,1999,"Maanavudu Daanavudu","Krishna","Krishna Reddy",,maanavudu-daanavudu-1999,,,
1990s,1999,"Ramasakkanodu","Suman","B. Satyanarayana",,ramasakkanodu-1999,,,
1990s,1999,"Veedu Samanyudu Kadhu","Prakash Raj","Uppalapati Narayana",,veedu-samanyudu-kadhu-1999,,,
1990s,1999,"Kaama","Jagapathi Babu","Ashok Kumar",,kaama-1999,,,
1990s,1998,"O Panaipothundi Babu","Brahmanandam","Shiva Nageswara Rao",,o-panaipothundi-babu-1998,,,
1990s,1998,"Deergha Sumangali Bhava","Ramya Krishnan","S. V. Krishna Reddy",,deergha-sumangali-bhava-1998,,,
1990s,1998,"Vareva Moguda","Krishna","S. V. Krishna Reddy",,vareva-moguda-1998,,,
1990s,1998,"Ayanagaru","Ooha","Muthyala Subbaiah",,ayanagaru-1998,,,
1990s,1998,"Sambhavam","Madhu","P. Chandrakumar",,sambhavam-1998,,,
1990s,1998,"Andaru Herole","Ali","Umamaheswara Rao",,andaru-herole-1998,,,
1990s,1998,"Gillikajjalu","Jagapathi Babu","E. Sathya Prabhakar",,gillikajjalu-1998,,,
1990s,1998,"Aayanagaru","Brahmanandam","Nagendra Magapu",,aayanagaru-1998,,,
1990s,1998,"Doni Sagali","Soundarya","Rajendra Singh Babu",,doni-sagali-1998,,,
1990s,1998,"Priyuralu","Vineeth","Muppalaneni Siva",,priyuralu-1998,,,
1990s,1998,"Gunda Mawali","Nagarjuna Akkineni","Suresh Krissna",115074,gunda-mawali-1998,,,
1990s,1998,"Navvulata","Rajendra Prasad","Gopichand Nadella",,navvulata-1998,,,
1990s,1998,"Nenu Premisthunnanu","J. D. Chakravarthy","E. V. V. Satyanarayana",,nenu-premisthunnanu-1998,,,
1990s,1998,"Pape Naa Pranam","J. D. Chakravarthy","B. V. Ramana",,pape-naa-pranam-1998,,,
1990s,1997,"Jai Bajarangbali","Rajendra Prasad","T. Prabhakar",,jai-bajarangbali-1997,,,
1990s,1997,"Abbayi Gari Pelli","Suman","Sarath",,abbayi-gari-pelli-1997,,,
1990s,1997,"Thadayam","Ramki","Ramesh Balakrishnan",503340,thadayam-1997,,,
1990s,1997,"Jai Bajarangabhali","Akkineni Nagarjuna","Kodi Ramakrishna",,jai-bajarangabhali-1997,,,
1990s,1997,"Kurralla Rajyam","Ali","Kadhir",,kurralla-rajyam-1997,,,
1990s,1997,"Bobbili Dora","Krishna","Sagar",,bobbili-dora-1997,,,
1990s,1996,"Amma Durgamma","Ooha","Sai Prakash",,amma-durgamma-1996,,,
1990s,1996,"Topi Raja Sweety Roja","Brahmanandam","Dr. N. Shiva Prasad",,topi-raja-sweety-roja-1996,,,
1990s,1996,"Rayudugaru Nayudugaru","Akkineni Nageswara Rao","Dasari Narayana Rao",,rayudugaru-nayudugaru-1996,,,
1990s,1996,"Puttinti Gowravam","Brahmanandam","Vijaya Nirmala",,puttinti-gowravam-1996,,,
1990s,1996,"Adirindi Alludu","Mohan Babu","E. V. V. Satyanarayana",,adirindi-alludu-1996,,,
1990s,1996,"Tamizh Selvan","Vijayakanth","Bharathiraja",78968,tamizh-selvan-1996,,,
1990s,1996,"Amma Ammani Choodalanivundi","Vinod Kumar","Sagar",,amma-ammani-choodalanivundi-1996,,,
1990s,1996,"Naidugaari Kutumbam","Krishnam Raju","Boyina Subba Rao",925822,naidugaari-kutumbam-1996,,,
1990s,1996,"Best Actress","Soundarya","Harvey Frost",286551,best-actress-1996,,,
1990s,1996,"Sampradayam","Krishna","S. V. Krishna Reddy",,sampradayam-1996,,,
1990s,1995,"Vaddu Bava Tappu","Rajendra Prasad","K. Ajay Kumar",676787,vaddu-bava-tappu-1995,,,
1990s,1995,"Chilakapacha Kapuram","Jagapati Babu","Kodi Ramakrishna",676782,chilakapacha-kapuram-1995,,,
1990s,1995,"Super Mogudu","Brahmanandam","Sarath",,super-mogudu-1995,,,
1990s,1995,"Raja Simham","Brahmanandam","K. Raghavendra Rao",,raja-simham-1995,,,
1990s,1995,"Subhamastu","Jagapathi Babu","Krishna Vamsi",,subhamastu-1995,,,
1990s,1995,"Raja Muthirai","Raghuvaran","R.K. Selvamani",,raja-muthirai-1995,,,
1990s,1994,"Maga Rayudu","Vijayashanti","E. V. V. Satyanarayana",,maga-rayudu-1994,,,
1990s,1994,"Shubha Lagnam","Suhasini Maniratnam","S. V. Krishna Reddy",,shubha-lagnam-1994,,,
1990s,1994,"Yes Nenante Nene","Brahmanandam","Vijaya Nirmala",,yes-nenante-nene-1994,,,
1990s,1994,"Angarakshakudu","Shamili","Joshiy",,angarakshakudu-1994,,,
1990s,1994,"Ammayi Kapuram","Ali","Muthyala Subbaiah",,ammayi-kapuram-1994,,,
1990s,1993,"Anna Chellelu","Soundarya","P. Chandrasekhara Reddy",995438,anna-chellelu-1993,,,
1990s,1993,"Paruvu Pratishta","Suman","V. C. Guhanathan",,paruvu-pratishta-1993,,,
1990s,1993,"Amma Koduku","Brahmanandam","Nalini Cine Chitra",,amma-koduku-1993,,,
1990s,1993,"Kunti Putrudu","Mohan Babu","Dasari Narayana Rao",,kunti-putrudu-1993,,,
1990s,1993,"Ezhai Jaathi","Vijayakanth","Liaquat Ali Khan",247137,ezhai-jaathi-1993,,,
1990s,1993,"Kongu Chatu Krishnudu","Brahmanandam","Pamarthi Govind Rao",,kongu-chatu-krishnudu-1993,,,
1990s,1993,"Aasayam","Vijayashanti","Mohan Gandhi",697959,aasayam-1993,,,
1990s,1993,"Chirunavvula Varamistava","Vikram","N. H. Chandra",281834,chirunavvula-varamistava-1993,,,
1990s,1993,"Rendilla Poojari","Shobana","T. Prabhakar",866592,rendilla-poojari-1993,,,
1990s,1992,"Atta Sommu Alludu Danam","Vinod Kumar","Y. Nageswara Rao",,atta-sommu-alludu-danam-1992,,,
1990s,1992,"Pellam Chatu Mogudu","Dasari Narayana Rao","Relangi Narasimha Rao",,pellam-chatu-mogudu-1992,,,
1990s,1992,"Prema Shikharam","Brahmanandam","S. V. Krishna Reddy",,prema-shikharam-1992,,,
1990s,1992,"Jaganaddam and Sons","Suresh","Anil Kumar",,jaganaddam-and-sons-1992,,,
1990s,1992,"Madhavayya Gari Manavadu","Harish Kumar","Muthyala Subbaiah",,madhavayya-gari-manavadu-1992,,,
1990s,1992,"Prema Vijeta","Suresh","A. Kodandarami Reddy",,prema-vijeta-1992,,,
1990s,1992,"Kala Rathrilo Kanne Pilla","Sharath","Raj Kamal",,kala-rathrilo-kanne-pilla-1992,,,
1990s,1992,"Doshi","Akkineni Nageswara Rao","A. Kodandarami Reddy",,doshi-1992,,,
1990s,1992,"Yagnam","Prakash Raj","Gopal B",1612081,yagnam-1992,,,
1990s,1992,"Ayyayyo Brahamayya","Rajendra Prasad","Kodi Ramakrishna",,ayyayyo-brahamayya-1992,,,
1990s,1992,"Pelli Neeku Sukham Naaku","Naresh","P. N. Ramchandra Rao",1324320,pelli-neeku-sukham-naaku-1992,,,
1990s,1992,"Dabbu Bhale Jabbu","Gollapudi Maruti Rao","K. Rajendra",,dabbu-bhale-jabbu-1992,,,
1990s,1992,"Pattudala","Suresh","Kodi Ramakrishna",433393,pattudala-1992,,,
1990s,1992,"Chakravyuham","Suman Talwar","Balu Mahendra",714600,chakravyuham-1992,,,
1990s,1992,"Pellante Noorella Panta","Brahmanandam","Muthyala Subbaiah",,pellante-noorella-panta-1992,,,
1990s,1992,"Joker Mama Super Alludu","Brahmanandam","K. Vasu",1324318,joker-mama-super-alludu-1992,,,
1990s,1992,"Pellam Chebithe Vinali","Harish Kumar","Kodi Ramakrishna",418141,pellam-chebithe-vinali-1992,,,
1990s,1992,"Adharsham","Jagapathi Babu","Bharathiraja",,adharsham-1992,,,
1990s,1992,"Parvatalu Panakalu","Rajendra Prasad","Relangi Narasimha Rao",1324319,parvatalu-panakalu-1992,,,
1990s,1992,"Chillara Mogudu Allari Koduku","Chandra Mohan","Relangi Narasimha Rao",,chillara-mogudu-allari-koduku-1992,,,
1990s,1992,"Seetapathi Chalo Tirupathi","Rajendra Prasad","Vijaya Bapineedu",419263,seetapathi-chalo-tirupathi-1992,,,
1990s,1991,"Aagraham","Menaka","Rajasenan",308102,aagraham-1991,,,
1990s,1991,"Sri Edukondala Swaami","Arun Govil","Kamalakara Kameswara Rao",441403,sri-edukondala-swaami-1991,,,
1990s,1991,"Naa Pellam Naa Ishtam","Chidathala Appa Rao","Gedhada Anandbabu",1324322,naa-pellam-naa-ishtam-1991,,,
1990s,1991,"Mondi Mogudu Penki Pellam","Vijayashanti","Siva Nageshwara Rao",137360,mondi-mogudu-penki-pellam-1991,,,
1990s,1991,"Parishkaram","Jagapati Babu","Taruni",308055,parishkaram-1991,,,
1990s,1991,"Stuvartpuram Dongalu","Bhanu Chander","Malineni Lakshman",410228,stuvartpuram-dongalu-1991,,,
1990s,1991,"Yugantam","Murali Mohan","Raviteja K.",1222836,yugantam-1991,,,
1990s,1991,"Chaithanya","Akkineni Nagarjuna","Prathap K. Pothan",137397,chaithanya-1991,,,
1990s,1991,"Aada Pilla","Rajendra Prasad","K. Vasu",1205626,aada-pilla-1991,,,
1990s,1991,"Nayakuralu","Sharada","Sathya Reddy",1222837,nayakuralu-1991,,,
1990s,1991,"Niyantha","Dasari Narayana Rao","Dasari Narayana Rao",433392,niyantha-1991,,,
1990s,1991,"Vichitra Prema","Rajendra Prasad","Jandhyala Subramanya Sastry",808812,vichitra-prema-1991,,,
1990s,1991,"Pandirimancham","Jagapati Babu","Omkaar",308053,pandirimancham-1991,,,
1990s,1991,"Athiradhudu","Bhanu Chander","A. Chandra",441014,athiradhudu-1991,,,
1990s,1991,"Amma Kadupu Challaga","Sanjay Mitra","Boyina Subbarao",1146313,amma-kadupu-challaga-1991,,,
1990s,1991,"Ashwini","Babu Mohan","Muthyala Subbaiah",419264,ashwini-1991,,,
1990s,1991,"Keechu Raallu","Bhanuchander","Geetha Krishna",1146306,keechu-raallu-1991,,,
1990s,1990,"Agni Pravesam","Ramya Krishnan","Yandamuri Veerendranath",1146307,agni-pravesam-1990,,,
1990s,1990,"Lakshmi Durga","Naresh","Rama Rao",1324323,lakshmi-durga-1990,,,
1990s,1990,"Master Kapuram","Rajendra Prasad","P. N. Ramachandra Rao",676786,master-kapuram-1990,,,
1990s,1990,"Ankitham","Sarath Babu","A. Kodandarami Reddy",433394,ankitham-1990,,,
1990s,1990,"Nagastharam","Krishna","Krishna",1612068,nagastharam-1990,,,
1990s,1990,"Prema Zindabad","Brahmanandam","Jandhyala Subramanya Sastry",677012,prema-zindabad-1990,,,
1990s,1990,"Yauvana Poratham","Bhanu Chander","Fazil",1229859,yauvana-poratham-1990,,,
1990s,1990,"Abhisarika","Naresh","Dhirendra Nath Ganguly",1229860,abhisarika-1990,,,
1990s,1990,"Mrugathrushna","Murali Mohan","P. Sambasiva Rao",1229861,mrugathrushna-1990,,,
1990s,1990,"Idem Pellam Baboi","Brahmanandam","Ravi Teja",1324327,idem-pellam-baboi-1990,,,
1990s,1990,"Navayugam","Rajendra Prasad","K. S. Sethumadhavan",1324328,navayugam-1990,,,
1990s,1990,"Adavi Diviteelu","Akkineni Nageswara Rao","R. Narayana Murthy",1146309,adavi-diviteelu-1990,,,
1990s,1990,"Udhyamam","Bhanuchander","Ranga Rao K.",1146310,udhyamam-1990,,,
1990s,1990,"Girija Kalyanam","Sobhan Babu","K. S. R. Das",1229858,girija-kalyanam-1990,,,
1990s,1990,"Nagastram","Krishna","Krishna",1612068,nagastram-1990,,,
1990s,1990,"20va Shatabdam","Suman","Kodi Ramakrishna",308122,20va-shatabdam-1990,,,
1990s,1990,"Prajala Manishi","Krishna","M. Rosi Raju",1324325,prajala-manishi-1990,,,
1990s,1990,"Kartavyam","Vijayashanti","A. Mohan Gandhi",137356,kartavyam-1990,,,
