Category,Action,Title,Year,Current Language,Proposed Language,Current Hero,Proposed Hero,Current Director,Proposed Director,Current Year,Proposed Year,Current Title,Proposed Title,Rating,Notes,Status
DELETE,DELETE,"Best Supporting Actor",2007,,,,,,,,,,,,"Duplicate placeholder data",CONFIRM_DELETE
DELETE,DELETE,"Best Actor",2000,,,,,,,,,,,,"Award placeholder, not a film",CONFIRM_DELETE
DELETE,DELETE,"Best Supporting Actor",1998,,,,,,,,,,,,"Duplicate placeholder",CONFIRM_DELETE
LANGUAGE_FIX,FIX_LANGUAGE,"Gunda Gardi",1997,"Telugu","Hindi","Aditya Pancholi","Aditya Pancholi","V. Sai Prasad","V. Sai Prasad",,,,,4.2,"Hindi action",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Khuda Gawah",1992,"Telugu","Hindi","","Amitabh Bachchan","Mukul Anand","Mukul Anand",,,,,7.3,"Hindi epic",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"ChaalBaaz",1989,"Telugu","Hindi","","Sridevi","Pankaj Parashar","Pankaj Parashar",,,,,7.2,"Hindi comedy classic",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Chaalbaaz",1989,"Telugu","Hindi","Sridevi","Sridevi","Pankaj Parashar","Pankaj Parashar",,,,,7.2,"Hindi comedy; double role",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Thanedaar",1990,"Telugu","Hindi","","Sanjay Dutt","Raj N. Sippy","Raj N. Sippy",,,,,6.2,"Hindi action",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Aaj Ka Arjun",1990,"Telugu","Hindi","","Amitabh Bachchan","K. C. Bokadia","K. C. Bokadia",,,,,6.5,"Hindi remake",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Shehzaade",1989,"Telugu","Hindi","","Dharmendra","Raj N. Sippy","Raj N. Sippy",,,,,5.2,"Hindi action",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Gair Kanooni",1989,"Telugu","Hindi","","Govinda","Prayag Raj","Prayag Raj",,,,,5.8,"Hindi feat. Sridevi",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Majboor",1989,"Telugu","Hindi","","Jeetendra","T. Rama Rao","T. Rama Rao",,,,,5.1,"Hindi remake",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Kanoon Ki Awaaz",1989,"Telugu","Hindi","","Shatrughan Sinha","R. Kumar","R. Kumar",,,,,4.9,"Hindi action",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Sone Pe Suhaaga",1988,"Telugu","Hindi","","Jeetendra","K. Bapayya","K. Bapayya",,,,,5.9,"Hindi multi-starrer",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Ghar Ghar Ki Kahani",1988,"Telugu","Hindi","","Govinda","Kalpataru","Kalpataru",,,,,6.3,"Hindi family drama",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Majaal",1987,"Telugu","Hindi","","Jeetendra","K. Bapayya","K. Bapayya",,,,,6,"Hindi remake",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Watan Ke Rakhwale",1987,"Telugu","Hindi","","Dharmendra","T. Rama Rao","T. Rama Rao",,,,,6.2,"Hindi action",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Karma",1986,"Telugu","Hindi","","Dilip Kumar","Subhash Ghai","Subhash Ghai",,,,,7.6,"Hindi blockbuster",CONFIRM_CHANGE
LANGUAGE_FIX,FIX_LANGUAGE,"Aakhree Raasta",1986,"Telugu","Hindi","","Amitabh Bachchan","K. Bhagyaraj","K. Bhagyaraj",,,,,7.5,"Hindi remake",CONFIRM_CHANGE
