id,slug,title,year,issue_type,issue_description,current_value,suggested_action,severity
"873c2b3e-a7dd-4ef7-a250-a9d2f4902f65","koyaanisqatsi-1983","Koyaanisqatsi",1983,"MISSING_LEAD_CAST","Both hero and heroine are missing","No lead cast","Research and add hero/heroine","high"
"b5c08365-d3c6-4966-a295-2b7d3413d592","ocean-with-david-attenborough-2025","Ocean With David Attenborough",2025,"MISSING_HEROINE","Heroine is missing","Hero: David Attenborough","Research and add heroine","medium"
"b2c20516-d0de-4d9a-a75b-f4d88844c77b","brahma-anandam-2025","Brahma Anandam",2025,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Brahma Anandam","Verify if this is a feature film or should be removed/reclassified","medium"
"14bee483-6dde-4a53-afd5-f478d2e2fc58","1111-2025","11:11",2025,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","11:11","Verify if this is a feature film or should be removed/reclassified","medium"
"54e592eb-d0c5-46bc-90fe-423ff51018e7","superman-2025","Superman",2025,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Superman","Verify if this is a feature film or should be removed/reclassified","medium"
"4d4272df-b0b5-4566-a918-5833352cd2ab","weapons-2025","Weapons",2025,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Weapons","Verify if this is a feature film or should be removed/reclassified","medium"
"d3481d20-3977-458b-b577-bf586d8ce8b9","hit-the-third-case-2025","HIT: The Third Case",2025,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","HIT: The Third Case","Verify if this is a feature film or should be removed/reclassified","medium"
"a1abae5b-22a5-4b5a-bfa3-8a06336bfe31","baramulla-2025","Baramulla",2025,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Baramulla","Verify if this is a feature film or should be removed/reclassified","medium"
"63ffe204-4aa7-43ff-81fc-7884aed43dc7","jurassic-world-rebirth-2025","Jurassic World Rebirth",2025,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Jurassic World Rebirth","Verify if this is a feature film or should be removed/reclassified","medium"
"9364f5fd-99b1-477b-b710-f9d11035aaac","modern-masters-ss-rajamouli-2024","Modern Masters: SS Rajamouli",2024,"MISSING_HEROINE","Heroine is missing","Hero: S. S. Rajamouli","Research and add heroine","medium"
"c6aa0c78-3300-4b1b-a2bd-343ee93be13d","rrr-behind-and-beyond-2024","RRR: Behind & Beyond",2024,"MISSING_HEROINE","Heroine is missing","Hero: Ram Charan / N.T. Rama Rao Jr.","Research and add heroine","medium"
"55b97a3d-64bf-4581-8b1f-1d3ff522ab39","pekamedalu-2024","Pekamedalu",2024,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "short")","Pekamedalu","Verify if this is a feature film or should be removed/reclassified","medium"
"30caae8c-c9b0-4a62-bb77-f8521a58db95","pareshan-2023","Pareshan",2023,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Pareshan","Verify if this is a feature film or should be removed/reclassified","medium"
"dd1b498e-7532-4802-a339-5cb803c1a6c9","babli-bouncer-2022","Babli Bouncer",2022,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Babli Bouncer","Verify if this is a feature film or should be removed/reclassified","medium"
"90f8534d-d71a-49bd-ac3c-8fc926a0ca15","kinnerasani-2022","Kinnerasani",2022,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Kinnerasani","Verify if this is a feature film or should be removed/reclassified","medium"
"acf194fe-4408-4b2b-9644-3ea74d579879","bo-burnham-inside-2021","Bo Burnham: Inside",2021,"MISSING_HEROINE","Heroine is missing","Hero: Bo Burnham","Research and add heroine","medium"
"52a7f8fa-17c5-4ad6-9571-40b5e4957056","creating-the-queen-s-gambit-2021","Creating The Queen's Gambit",2021,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Creating The Queen's Gambit","Verify if this is a feature film or should be removed/reclassified","medium"
