Movie #,Actor,Wikipedia Title,DB Title,Wiki Year,DB Year,Year Diff,Match %,Quick Check,DECISION (type: APPROVE or REJECT),Notes
1,"ali","Settai","Vettai",2013,2012,1,83,"Similar title (83% match), 1 years apart","",""
2,"ali","Prem Qaidi","Prema Khaidi",1991,1990,1,75,"Similar title (75% match), 1 years apart","",""
3,"amala","Aagraham","Aagraham",1991,1993,-2,100,"Same title, 2 years apart - verify same movie","",""
4,"k. balachander","Agni Sakshi","Agni Samadhi",1982,1983,-1,75,"Similar title (75% match), 1 years apart","",""
5,"karthik","Indru","Indra",2003,2002,1,80,"Similar title (80% match), 1 years apart","",""
6,"karthik","Harichandra","Harischandraa",1998,1999,-1,84,"Similar title (84% match), 1 years apart","",""
7,"madhavi","Bhale Ramudu","Bhale Thammudu",1984,1985,-1,78,"Similar title (78% match), 1 years apart","",""
8,"prakash raj","Ayya","Arya",2005,2004,1,75,"Similar title (75% match), 1 years apart","",""
9,"pushpavalli","Bhaktha Markandeya","Bhakta Markandeya",1957,1956,1,94,"Similar title (94% match), 1 years apart","",""
10,"pushpavalli","Bhaktha Markandeya","Bhakta Markandeya",1957,1956,1,94,"Similar title (94% match), 1 years apart","",""
11,"pushpavalli","Pratigna Palana","Pratignapalana",1966,1965,1,93,"Similar title (93% match), 1 years apart","",""
12,"rambha","Dharma Chakkaram","Dharma Chakram",1997,1996,1,87,"Similar title (87% match), 1 years apart","",""
13,"sarath babu","Aryan","Maryan",2014,2013,1,75,"Similar title (75% match), 1 years apart","",""
14,"satyanarayana","Pelli Sandadi","Pelli Sandadi",1997,1995,2,100,"Same title, 2 years apart - verify same movie","",""
15,"simran","Sabdham","Sandeham",2025,2024,1,75,"Similar title (75% match), 1 years apart","",""
16,"sridevi","Priya","Priya",1979,1981,-2,100,"Same title, 2 years apart - verify same movie","",""
17,"venu","Malli Malli Choodali","Malli Malli Chudali",2003,2002,1,90,"Similar title (90% match), 1 years apart","",""
18,"vishnu","Siva Shankar","Shivashankar",2003,2004,-1,83,"Similar title (83% match), 1 years apart","",""
19,"chandra mohan","Baladoor","Baladur",2008,2008,0,75,"Similar title (75% match), 0 years apart","",""
20,"daggubati venkatesh","Sathruvu","Shatruvu",1991,1991,0,75,"Similar title (75% match), 0 years apart","",""
21,"jaggayya","Pooja Phalam","Pooja Phalamu",1964,1964,0,83,"Similar title (83% match), 0 years apart","",""
22,"kamal haasan","Ponniyin Selvan: I","Ponniyin Selvan: Part I",2022,2022,0,78,"Similar title (78% match), 0 years apart","",""
23,"kamal haasan","Ponniyin Selvan: II","Ponniyin Selvan: Part II",2023,2023,0,79,"Similar title (79% match), 0 years apart","",""
24,"n.t. rama rao","Thalla? Pellama?","Thalla? Pellama",1970,1970,0,84,"Similar title (84% match), 0 years apart","",""
25,"pushpavalli","Sri Gowri Mahatma","Sri Gauri Mahatyam",1956,1956,0,77,"Similar title (77% match), 0 years apart","",""
26,"rajendra prasad","Nannaku Prematho","Nannaku Prematho...",2016,2016,0,75,"Similar title (75% match), 0 years apart","",""
27,"rambha","Aanandham","Anandam",2001,2001,0,77,"Similar title (77% match), 0 years apart","",""
28,"rohit","Shankar Dada MBBS","Shankar Dada M.B.B.S.",2004,2004,0,80,"Similar title (80% match), 0 years apart","",""
29,"sarath babu","Si3","Si 3",2017,2017,0,75,"Similar title (75% match), 0 years apart","",""
30,"venu","Dammu","Dhammu",2012,2012,0,83,"Similar title (83% match), 0 years apart","",""
