"Actor Name","Actor ID","Movie Title","Year","Director","Language","Role","Source","Confidence","Notes"
"Satyanarayana","68dfa96d-1d00-43f6-81bc-c871bc84e209","","","","Telugu","Actor","Wikipedia","80",""
"Satyanarayana","68dfa96d-1d00-43f6-81bc-c871bc84e209","","","","Telugu","Actor","Wikipedia","80",""
"Satyanarayana","68dfa96d-1d00-43f6-81bc-c871bc84e209","","","","Telugu","Actor","Wikipedia","80",""
"Satyanarayana","68dfa96d-1d00-43f6-81bc-c871bc84e209","","","","Telugu","Actor","Wikipedia","80",""
"Satyanarayana","68dfa96d-1d00-43f6-81bc-c871bc84e209","","","","Telugu","Actor","Wikipedia","80",""
"K. Viswanath","79a2bf18-9024-4e08-85c3-843252eef4af","","","","Telugu","Actor","Wikipedia","80",""
"K. Viswanath","79a2bf18-9024-4e08-85c3-843252eef4af","","","","Telugu","Actor","Wikipedia","80",""
"K. Viswanath","79a2bf18-9024-4e08-85c3-843252eef4af","","","","Telugu","Actor","Wikipedia","80",""
"K. Viswanath","79a2bf18-9024-4e08-85c3-843252eef4af","","","","Telugu","Actor","Wikipedia","80",""
"K. Viswanath","79a2bf18-9024-4e08-85c3-843252eef4af","","","","Telugu","Actor","Wikipedia","80",""
"K. Balachander","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","","","","Telugu","Actor","Wikipedia","80",""
"K. Balachander","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","","","","Telugu","Actor","Wikipedia","80",""
"K. Balachander","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","","","","Telugu","Actor","Wikipedia","80",""
"K. Balachander","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","","","","Telugu","Actor","Wikipedia","80",""
"K. Balachander","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","","","","Telugu","Actor","Wikipedia","80",""
"Ramakrishna","e756e016-7d19-4e93-8be8-7a036babec14","","","","Telugu","Actor","Wikipedia","80",""
"Ramakrishna","e756e016-7d19-4e93-8be8-7a036babec14","","","","Telugu","Actor","Wikipedia","80",""
"Ramakrishna","e756e016-7d19-4e93-8be8-7a036babec14","","","","Telugu","Actor","Wikipedia","80",""
"Ramakrishna","e756e016-7d19-4e93-8be8-7a036babec14","","","","Telugu","Actor","Wikipedia","80",""
"Ramakrishna","e756e016-7d19-4e93-8be8-7a036babec14","","","","Telugu","Actor","Wikipedia","80",""
"Venu","4964d38c-49f0-4555-b934-12def4a66bfd","","","","Telugu","Actor","Wikipedia","80",""
"Venu","4964d38c-49f0-4555-b934-12def4a66bfd","","","","Telugu","Actor","Wikipedia","80",""
"Venu","4964d38c-49f0-4555-b934-12def4a66bfd","","","","Telugu","Actor","Wikipedia","80",""
"Venu","4964d38c-49f0-4555-b934-12def4a66bfd","","","","Telugu","Actor","Wikipedia","80",""
"Venu","4964d38c-49f0-4555-b934-12def4a66bfd","","","","Telugu","Actor","Wikipedia","80",""
"Sunil","ffa417ef-e0a9-4612-8616-8200ea040468","","","","Telugu","Actor","Wikipedia","80",""
"Sunil","ffa417ef-e0a9-4612-8616-8200ea040468","","","","Telugu","Actor","Wikipedia","80",""
"Sunil","ffa417ef-e0a9-4612-8616-8200ea040468","","","","Telugu","Actor","Wikipedia","80",""
"Sunil","ffa417ef-e0a9-4612-8616-8200ea040468","","","","Telugu","Actor","Wikipedia","80",""
"Sunil","ffa417ef-e0a9-4612-8616-8200ea040468","","","","Telugu","Actor","Wikipedia","80",""
"Rohit","d7dfcf0b-d81e-4507-a827-51e4174a20b3","","","","Telugu","Actor","Wikipedia","80",""
"Rohit","d7dfcf0b-d81e-4507-a827-51e4174a20b3","","","","Telugu","Actor","Wikipedia","80",""
"Rohit","d7dfcf0b-d81e-4507-a827-51e4174a20b3","","","","Telugu","Actor","Wikipedia","80",""
"Rohit","d7dfcf0b-d81e-4507-a827-51e4174a20b3","","","","Telugu","Actor","Wikipedia","80",""
"Rohit","d7dfcf0b-d81e-4507-a827-51e4174a20b3","","","","Telugu","Actor","Wikipedia","80",""
"Gopichand","58936790-e107-4b42-90f9-ce0b1adf6c59","","","","Telugu","Actor","Wikipedia","80",""
"Gopichand","58936790-e107-4b42-90f9-ce0b1adf6c59","","","","Telugu","Actor","Wikipedia","80",""
"Gopichand","58936790-e107-4b42-90f9-ce0b1adf6c59","","","","Telugu","Actor","Wikipedia","80",""
"Gopichand","58936790-e107-4b42-90f9-ce0b1adf6c59","","","","Telugu","Actor","Wikipedia","80",""
"Gopichand","58936790-e107-4b42-90f9-ce0b1adf6c59","","","","Telugu","Actor","Wikipedia","80",""
"N.T. Rama Rao Jr.","5e9bdc8d-63f8-4007-93dc-e03824a243cf","","","","Telugu","Actor","Wikipedia","80",""
"N.T. Rama Rao Jr.","5e9bdc8d-63f8-4007-93dc-e03824a243cf","","","","Telugu","Actor","Wikipedia","80",""
"N.T. Rama Rao Jr.","5e9bdc8d-63f8-4007-93dc-e03824a243cf","","","","Telugu","Actor","Wikipedia","80",""
"N.T. Rama Rao Jr.","5e9bdc8d-63f8-4007-93dc-e03824a243cf","","","","Telugu","Actor","Wikipedia","80",""
"N.T. Rama Rao Jr.","5e9bdc8d-63f8-4007-93dc-e03824a243cf","","","","Telugu","Actor","Wikipedia","80",""
"Pawan Kalyan","b6aa8d16-c405-4e81-a19f-d47ef882d5d9","","","","Telugu","Actor","Wikipedia","80",""
"Pawan Kalyan","b6aa8d16-c405-4e81-a19f-d47ef882d5d9","","","","Telugu","Actor","Wikipedia","80",""
"Pawan Kalyan","b6aa8d16-c405-4e81-a19f-d47ef882d5d9","","","","Telugu","Actor","Wikipedia","80",""
"Pawan Kalyan","b6aa8d16-c405-4e81-a19f-d47ef882d5d9","","","","Telugu","Actor","Wikipedia","80",""
"Pawan Kalyan","b6aa8d16-c405-4e81-a19f-d47ef882d5d9","","","","Telugu","Actor","Wikipedia","80",""
"Raasi","d5a51be5-5070-48e1-9036-7086d875e496","","","","Telugu","Actor","Wikipedia","80",""
"Raasi","d5a51be5-5070-48e1-9036-7086d875e496","","","","Telugu","Actor","Wikipedia","80",""
"Raasi","d5a51be5-5070-48e1-9036-7086d875e496","","","","Telugu","Actor","Wikipedia","80",""
"Raasi","d5a51be5-5070-48e1-9036-7086d875e496","","","","Telugu","Actor","Wikipedia","80",""
"Raasi","d5a51be5-5070-48e1-9036-7086d875e496","","","","Telugu","Actor","Wikipedia","80",""
"Simran","92bb4993-399d-4649-a695-fee27ec2ce55","","","","Telugu","Actor","Wikipedia","80",""
"Simran","92bb4993-399d-4649-a695-fee27ec2ce55","","","","Telugu","Actor","Wikipedia","80",""
"Simran","92bb4993-399d-4649-a695-fee27ec2ce55","","","","Telugu","Actor","Wikipedia","80",""
"Simran","92bb4993-399d-4649-a695-fee27ec2ce55","","","","Telugu","Actor","Wikipedia","80",""
"Simran","92bb4993-399d-4649-a695-fee27ec2ce55","","","","Telugu","Actor","Wikipedia","80",""
"V. Nagayya","3290d460-ac14-4d6b-bd0b-bcdf611e68e5","","","","Telugu","Actor","Wikipedia","80",""
"V. Nagayya","3290d460-ac14-4d6b-bd0b-bcdf611e68e5","","","","Telugu","Actor","Wikipedia","80",""
"V. Nagayya","3290d460-ac14-4d6b-bd0b-bcdf611e68e5","","","","Telugu","Actor","Wikipedia","80",""
"V. Nagayya","3290d460-ac14-4d6b-bd0b-bcdf611e68e5","","","","Telugu","Actor","Wikipedia","80",""
"V. Nagayya","3290d460-ac14-4d6b-bd0b-bcdf611e68e5","","","","Telugu","Actor","Wikipedia","80",""
"Rajasekhar","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","","","","Telugu","Actor","Wikipedia","80",""
"Rajasekhar","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","","","","Telugu","Actor","Wikipedia","80",""
"Rajasekhar","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","","","","Telugu","Actor","Wikipedia","80",""
"Rajasekhar","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","","","","Telugu","Actor","Wikipedia","80",""
"Rajasekhar","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","","","","Telugu","Actor","Wikipedia","80",""
"Vikram","a19d62c4-0ba4-4793-a5ea-6fd666348882","","","","Telugu","Actor","Wikipedia","80",""
"Vikram","a19d62c4-0ba4-4793-a5ea-6fd666348882","","","","Telugu","Actor","Wikipedia","80",""
"Vikram","a19d62c4-0ba4-4793-a5ea-6fd666348882","","","","Telugu","Actor","Wikipedia","80",""
"Vikram","a19d62c4-0ba4-4793-a5ea-6fd666348882","","","","Telugu","Actor","Wikipedia","80",""
"Vikram","a19d62c4-0ba4-4793-a5ea-6fd666348882","","","","Telugu","Actor","Wikipedia","80",""
"Bhanumathi","b89cc71e-0cea-4446-ada4-ba6852e48f50","","","","Telugu","Actor","Wikipedia","80",""
"Bhanumathi","b89cc71e-0cea-4446-ada4-ba6852e48f50","","","","Telugu","Actor","Wikipedia","80",""
"Bhanumathi","b89cc71e-0cea-4446-ada4-ba6852e48f50","","","","Telugu","Actor","Wikipedia","80",""
"Bhanumathi","b89cc71e-0cea-4446-ada4-ba6852e48f50","","","","Telugu","Actor","Wikipedia","80",""
"Bhanumathi","b89cc71e-0cea-4446-ada4-ba6852e48f50","","","","Telugu","Actor","Wikipedia","80",""
"Sneha","bd9e9bd1-6eba-40ea-a7ab-1eedebb46ba6","","","","Telugu","Actor","Wikipedia","80",""
"Sneha","bd9e9bd1-6eba-40ea-a7ab-1eedebb46ba6","","","","Telugu","Actor","Wikipedia","80",""
"Sneha","bd9e9bd1-6eba-40ea-a7ab-1eedebb46ba6","","","","Telugu","Actor","Wikipedia","80",""
"Sneha","bd9e9bd1-6eba-40ea-a7ab-1eedebb46ba6","","","","Telugu","Actor","Wikipedia","80",""
"Sneha","bd9e9bd1-6eba-40ea-a7ab-1eedebb46ba6","","","","Telugu","Actor","Wikipedia","80",""
"Prabhu Deva","d0160109-2280-45cb-b612-75e8706e69ac","","","","Telugu","Actor","Wikipedia","80",""
"Prabhu Deva","d0160109-2280-45cb-b612-75e8706e69ac","","","","Telugu","Actor","Wikipedia","80",""
"Prabhu Deva","d0160109-2280-45cb-b612-75e8706e69ac","","","","Telugu","Actor","Wikipedia","80",""
"Prabhu Deva","d0160109-2280-45cb-b612-75e8706e69ac","","","","Telugu","Actor","Wikipedia","80",""
"Prabhu Deva","d0160109-2280-45cb-b612-75e8706e69ac","","","","Telugu","Actor","Wikipedia","80",""
"Shobana","48422519-3ad5-4979-bef9-ffa354e84473","","","","Telugu","Actor","Wikipedia","80",""
"Shobana","48422519-3ad5-4979-bef9-ffa354e84473","","","","Telugu","Actor","Wikipedia","80",""
"Shobana","48422519-3ad5-4979-bef9-ffa354e84473","","","","Telugu","Actor","Wikipedia","80",""
"Shobana","48422519-3ad5-4979-bef9-ffa354e84473","","","","Telugu","Actor","Wikipedia","80",""
"Shobana","48422519-3ad5-4979-bef9-ffa354e84473","","","","Telugu","Actor","Wikipedia","80",""
