Movie Title,Release Year,Status
"Baahubali: the Eternal War - Part 1",2027,"Unreleased (No Rating Needed)"
"Kalki 2898-AD: Part 2",2027,"Unreleased (No Rating Needed)"
"AA22xA6",2026,"Released - Needs Rating"
"Aakasam Lo Oka Tara",2026,"Released - Needs Rating"
"Abhiram",2026,"Released - Needs Rating"
"Amaran in the City: Chapter 1",2026,"Released - Needs Rating"
"Anumana Pakshi",2026,"Released - Needs Rating"
"Arrtham",2026,"Released - Needs Rating"
"As Time Echoes",2026,"Released - Needs Rating"
"Asuragana Rudra",2026,"Released - Needs Rating"
"Bad Boy Karthik",2026,"Released - Needs Rating"
"Biker",2026,"Released - Needs Rating"
"Comrade Kalyan",2026,"Released - Needs Rating"
"Dacoit",2026,"Released - Needs Rating"
"Devara: Part 2",2026,"Released - Needs Rating"
"DQ 41",2026,"Released - Needs Rating"
"Dragon",2026,"Released - Needs Rating"
"ENE Repeat",2026,"Released - Needs Rating"
"Fauji",2026,"Released - Needs Rating"
"Garividi Lakshmi",2026,"Released - Needs Rating"
"Goodachari 2",2026,"Released - Needs Rating"
"HaiLesso",2026,"Released - Needs Rating"
"Haindava",2026,"Released - Needs Rating"
"Hey Bhagawan!",2026,"Released - Needs Rating"
"Illicit Relationship",2026,"Released - Needs Rating"
"Kirathaka",2026,"Released - Needs Rating"
"Legacy",2026,"Released - Needs Rating"
"Maa Inti Bangaram",2026,"Released - Needs Rating"
"Maate Mantramu",2026,"Released - Needs Rating"
"Nagabandham",2026,"Released - Needs Rating"
"Oh..! Sukumari",2026,"Released - Needs Rating"
"Om Shanti Shanti Shantihi",2026,"Released - Needs Rating"
"Patta Pagalu",2026,"Released - Needs Rating"
"Peddarikam",2026,"Released - Needs Rating"
"Peddi",2026,"Released - Needs Rating"
"Pushpa 3 - The Rampage",2026,"Released - Needs Rating"
"Sahakutumbaanaam",2026,"Released - Needs Rating"
"Salaar: Part 2 - Shouryaanga Parvam",2026,"Released - Needs Rating"
"Sambarala Yetti Gattu",2026,"Released - Needs Rating"
"Spirit",2026,"Released - Needs Rating"
"They Call Him OG 2",2026,"Released - Needs Rating"
"Ustaad Bhagat Singh",2026,"Released - Needs Rating"
"Vāranāsi",2026,"Released - Needs Rating"
"Vrushakarma",2026,"Released - Needs Rating"
"What The Fish",2026,"Released - Needs Rating"
"Euphoria",2025,"Released - Needs Rating"
"G.D.N (Biopic of G.D. Naidu)",2025,"Released - Needs Rating"
"Mirai",2025,"Released - Needs Rating"
"Band Melam",2024,"Released - Needs Rating"
"Umapathi",2023,"Released - Needs Rating"
"Naa Katha",2021,"Released - Needs Rating"
"Takshakudu",2021,"Released - Needs Rating"
"Natudu",2014,"Released - Needs Rating"
"Nakshatra Poratam",1993,"Released - Needs Rating"
