Movie ID,Title,Year,Slug,Category,Issue,Severity,Current Value,Suggested Action
f6532d02-3fed-4bc6-8b73-74655fac0921,"Adutha Varisu",1983,"adutha-varisu-1983","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
48cd41ce-bdab-4e2e-b69c-908da6dbc187,"Entertainment",2014,"entertainment-2014","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
90065b76-6efe-48d1-b6e7-cee9e5197745,"Modhi Vilayadu",2009,"modhi-vilayadu-2009","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
74bbdc9c-6159-4b7d-b3a0-aad89701a7dc,"Jumma Chumma In London",1991,"jumma-chumma-in-london-1991","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
3e77ce67-0cce-4df2-bea0-70ee54eb9c7b,"Dharm Aur Qanoon",1984,"dharm-aur-qanoon-1984","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
bcfaeb98-ec07-4bb1-ab79-cfe19777d21a,"Daiviyin Thiruvilaiyadal",1982,"daiviyin-thiruvilaiyadal-1982","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
c5949c91-7b3a-4278-ae52-178706cdd8a7,"Putham Pudhu Kaalai",2020,"putham-pudhu-kaalai-2020","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
ebfb5790-0433-4a0c-9489-92e0828da6f3,"Sigappu Rojakkal",1978,"sigappu-rojakkal-1978","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
9c294cb1-923b-496d-953c-6c1117104779,"Varakatnam",1968,"varakatnam-1968","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
67d07825-1d0e-4952-9466-baf70bb2c65a,"Lakshyam",1993,"lakshyam-1993","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
5b2aa871-97f2-4e32-8c93-d35f90f8b6ac,"Tadakha",2013,"thadaka-2013","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
d6ee6ab1-8d6f-4186-8bae-412ed1f96fc2,"College Kumar",2020,"college-kumar-2020","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
529969fc-16aa-4cb6-9a6b-761780b06b40,"Kohram",1999,"kohram-1999","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
361f51fd-2800-4a35-9b35-9a9ba9f86875,"Mardon Wali Baat",1988,"mardon-wali-baat-1988","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
c4f56063-850e-4ac7-bf41-a802cb3e0023,"Loh Purush",1999,"loh-purush-1999","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
