ID,Slug,Title,Year,Director,Hero,Heroine,Category,Music_Director
5f4d9c51-1e09-4009-9619-aa368c3620e1,paramanandham-shishyulu-tba,"Paramanandham Shishyulu",,"G D Naidu 888","Daggupati Vinay","No Female Lead",TBA/Upcoming,
ddd938c2-458a-4f51-8389-74a5d7e12c0d,pontons-heart-2025,"Ponton's Heart",2025,"Senad Šahmanović","Marija Labudović","Jadranka Mamić",Foreign Films,
0969f0c7-0212-47ab-a295-94e850d24f42,yatra-2019,"Yatra",2019,"Samrat Shakya","Salon Basnet","Suhasini Maniratnam",Foreign Films,
21c054b2-de09-40bb-b1b0-7cb1e465e270,jaya-b-2017,"Jaya. B",2017,"Yun Hak-ryeol","Kim Jeong-gyun","Oh Ye-seol",Foreign Films,
3587d14d-832b-4f54-b048-9d2206687f30,glamour-2010,"Glamour",2004,"Pieter Kramer","Chris Tates","Linda de Mol",Foreign Films,
4bf3e6e9-856f-453e-bde9-9382875b513c,n-a-2019,"—N/a",2019,"Hannes Rossacher","Eric Burdon","Sridevi",Documentaries/Events,
decd57fe-3ad2-44c8-be73-a5c8c8e81e63,1st-iifa-utsavam-2015,"1st IIFA Utsavam",2015,"James Huang","Jeff Bowser","Elaine Kao",Documentaries/Events,
502ce22c-d7e2-4a27-935a-3971146d94df,man-of-the-match-2013,"Man Of The Match",2013,"P. A. Arun Prasad","Sagar","Mrudula Murali",Documentaries/Events,
06778b0d-6d7b-4757-b445-37bdc25cf9ab,amma-nanna-lekunte-2007,"Amma Nanna Lekunte",2007,"Y. Ramakrishna","Krishna","Sujitha",Documentaries/Events,
0b4ade97-0e2f-47b2-9eff-f4552ddc630f,daughters-destiny-2007,"Daughters' Destiny",2007,"May Gauffin","Anita Khadka Karki","Thuli Maya",Documentaries/Events,
74bbdc9c-6159-4b7d-b3a0-aad89701a7dc,jumma-chumma-in-london-1991,"Jumma Chumma In London",1991,"Ramesh Sippy","Amitabh Bachchan","Sridevi",Documentaries/Events,
de7c0f9e-4e74-49d1-baed-d154aa001843,agni-pravesam-1990,"Agni Pravesam",1990,"Yandamuri Veerendranath","Sudhakar","Yamuna",Documentaries/Events,
401f18b1-31b0-4dba-ac90-4f1be7cc7315,gayyali-gangamma-1980,"Gayyali Gangamma",1980,"Mastan Rao Bheeram","K.V. Chalam","Chandramohan",Documentaries/Events,
f4ba78ce-1601-4a4f-b1d6-4140c6bd99b4,family-a-made-at-home-short-film-2020,"Family - A Made at Home Short Film",2020,"Prasoon Pandey","Amitabh Bachchan","Priyanka Chopra Jonas",Short Films,
e240a37a-d96c-4c0d-9b4e-25fbccc144b0,eesaraina-2024,"Eesaraina!?",2024,"Eshaku Dasari","Goutham","Hasini",Telugu Mainstream,
f07b6640-0bc3-4295-a17d-fa43fcc7fd19,akkada-varu-ikkada-unnaru-2024,"Akkada Varu Ikkada Unnaru",2024,"Trivikram Rao Kundurthi","Jagadesh Raj","Sai Harshini",Telugu Mainstream,
023e8662-be0b-45a4-8744-8e97195f0798,bhavanam-2024,"Bhavanam",2024,"Balachary Kurella","Ajay Ghosh","Sneha Ullal",Telugu Mainstream,
9c9f271e-f0fe-46a2-a2d0-739b62ee9ac2,subramanyam-chigurupati-2023,"Salam Sainika",2023,"Subramanyam Chigurupati","Dev","Sree Bhavya",Telugu Mainstream,
75ef68f8-66c1-45e2-855f-3f6f4eba2070,gammathu-2023,"Gammathu",2023,"Aswwani Sri Krisshna","Parvateesam","Swati Dixit",Telugu Mainstream,
9114b54a-fd7d-4837-a184-e86f28bda7e7,upendra-gadi-adda-2023,"Upendra Gadi Adda",2023,"Aryan Subhan","Muralidhar Goud","Sandhya Janak",Telugu Mainstream,
1f876ebb-b748-46bb-80d5-9467d5cbf862,chandamama-raave-asap-2021,"Chandamama Raave Asap",2021,"Filmian","No Hero Lead","Divya Sripada",Telugu Mainstream,
3b1c9dba-77b2-4239-aa33-c6c0d267d4f6,poster-2021,"Poster",2021,"TMR","Shivaji Raja","Raashi Singh",Telugu Mainstream,
df2f6e50-338d-4aca-875b-64d97bbd5cb7,salt-2021,"Salt",2021,"Sayed Munna","Babawalli","Rishika Singh",Telugu Mainstream,
6ce623d9-3abd-4997-96e3-77670a4e2f58,surya-2021,"Surya",2021,"Subbu.k","Ravi Shiva Teja","Mounika Reddy",Telugu Mainstream,
dcade0cb-1150-4282-833c-6a29bfd04d5a,naa-katha-tba,"Naa Katha",2021,"Ratnakar Peravali","Suman Shetty","No Female Lead",Telugu Mainstream,
c682ce81-4774-4bd3-b556-debb5f954070,journalist-2021,"Journalist",2021,"Mahesh Sukadhare","Ramki","Tashu Kaushik",Telugu Mainstream,
ae0a33c7-ca39-4f0a-a681-02404accecef,bomma-adirindi-dimma-tirigindi-2021,"Bomma Adirindi Dimma Tirigindi",2021,"Kumar Kota","Shakalaka Shankar","Avanthika Harinalwa",Telugu Mainstream,
e4b08ed0-c1ea-4c39-aa60-4ed1a543a73a,thagite-thandana-2020,"Thagite Thandana",2020,"Shravan Kumar K.","Rakshit","Ananya",Telugu Mainstream,
60d9cfbd-3226-4f7d-b546-a6a60687d3a4,302-2020,"302",2020,"Karthik","Sree Varma","Deepti",Telugu Mainstream,
7d711b23-abd9-4375-839e-153b9d18927a,neevalle-nenunna-2020,"Neevalle Nenunna",2020,"M Saibaba","Jabardasth Ramprasad","Sri Pallavi",Telugu Mainstream,
f65f868d-109f-42af-8ce8-a48f0df09ec6,oka-chinna-viramam-2020,"Oka Chinna Viramam",2020,"Sundeep Cheguri","Naveen Neni","Punarnavi Bhupalam",Telugu Mainstream,
25b9fa59-1897-48c0-9a94-35e2b2e7e84c,life-anubavinchu-raja-2020,"Life Anubavinchu Raja",2020,"Suresh Thirumur","Ravi Teja Nannimala","Shruti Sharan Shetty",Telugu Mainstream,
b594d44a-c450-4760-89d6-384c56d38f81,nenu-aadhi-madyalo-maa-nanna-2019,"Nenu Aadhi Madyalo Maa Nanna",2019,"Prem Chand","Manoj Nandam","Renuka",Telugu Mainstream,
f8ea8ea6-3ccc-44f2-9204-162c43e77383,prematho-cheppana-2019,"Prematho Cheppana",2019,"Ravi Varma","Sudheer Babu","Niharika Konidela",Telugu Mainstream,
2d424bf8-c795-45e7-9036-492b8ede94a0,ek-2019,"Ek",2019,"Sri Saripalli","Aadhi","Nicole Madell",Telugu Mainstream,
4d56869d-27e1-4a99-ad9c-bb64a883bf88,thupaki-ramudu-2019,"Thupaki Ramudu",2019,"T. Prabhakar","Bittiri Satti","Priya",Telugu Mainstream,
c6daab4f-527a-4ec3-aa50-0d143d746a4c,bailampudi-2019,"Bailampudi",2019,"Anil PG Raj","Harish Vinay","Tanishq Rajan",Telugu Mainstream,
a7aec88f-7b98-4c16-9fff-deff3e7ca1d9,ishtangaa-2018,"Ishtangaa",2018,"Rajiv Kanakala","Arjun Reddy","Tanishq Rajan",Telugu Mainstream,
09f6c614-7a50-48bf-9d72-9854c1ac9252,moodu-puvulu-aaru-kayalu-2018,"Moodu Puvulu Aaru Kayalu",2018,"Ramaswamy","Arjun Yagith","Nikita",Telugu Mainstream,
a8b1c9dc-0173-443f-9ce5-47d7b465b5f2,sivakasipuram-2018,"Sivakasipuram",2018,"Santhosh Raj","Chammak Chandra","Priyanka Sharma",Telugu Mainstream,
54870391-fc5e-443e-a978-8d49e2923842,anthervedam-2018,"Anthervedam",2018,"Ravi Kishore Chandina","Amar","Santoshini",Telugu Mainstream,
3f1c947a-eff6-4986-aa30-5cc4015dca01,anaganaga-oka-durga-2017,"Anaganaga Oka Durga",2017,"Prakash Pulijala","Ravi","Kranthi Kumar",Telugu Mainstream,
04aa8aa0-e5e2-4e64-88ae-f430c048aed5,shekaram-gari-abbayi-2017,"Shekaram Gari Abbayi",2017,"Sai Akshatha","Vinnu Maddipati","Sai Akshatha",Telugu Mainstream,
