ID,Slug,Title,Year,Director,Hero,Heroine,Music_Director
dcade0cb-1150-4282-833c-6a29bfd04d5a,naa-katha-tba,"Naa Katha",,"Ratnakar Peravali","Suman Shetty","No Female Lead",
5f4d9c51-1e09-4009-9619-aa368c3620e1,paramanandham-shishyulu-tba,"Paramanandham Shishyulu",,"G D Naidu 888","Daggupati Vinay","No Female Lead",
ddd938c2-458a-4f51-8389-74a5d7e12c0d,pontons-heart-2025,"Ponton's Heart",2025,"Senad Šahmanović","Marija Labudović","Jadranka Mamić",
f07b6640-0bc3-4295-a17d-fa43fcc7fd19,akkada-varu-ikkada-unnaru-2024,"Akkada Varu Ikkada Unnaru",2024,"Trivikram Rao Kundurthi","Jagadesh Raj","Sai Harshini",
023e8662-be0b-45a4-8744-8e97195f0798,bhavanam-2024,"Bhavanam",2024,"Balachary Kurella","Ajay Ghosh","Sneha Ullal",
e240a37a-d96c-4c0d-9b4e-25fbccc144b0,eesaraina-2024,"Eesaraina!?",2024,"Eshaku Dasari","Goutham","Hasini",
74bf13e0-bbe3-48de-8eae-3d9b9ba00c5c,inner-city-blues-tba,"Inner City Blues",2024,"Divya Bandaru","Laxman Meesala","No Female Lead",
eddff649-b360-4fe3-8592-e7291c0beeff,tom-and-jerry-2024,"Tom And Jerry",2024,"Raghav Vinay Shivamani","Nithin Rao","Chaitra Rao",
75ef68f8-66c1-45e2-855f-3f6f4eba2070,gammathu-2023,"Gammathu",2023,"Aswwani Sri Krisshna","Parvateesam","Swati Dixit",
9c9f271e-f0fe-46a2-a2d0-739b62ee9ac2,subramanyam-chigurupati-2023,"Salam Sainika",2023,"Subramanyam Chigurupati","Dev","Sree Bhavya",
9114b54a-fd7d-4837-a184-e86f28bda7e7,upendra-gadi-adda-2023,"Upendra Gadi Adda",2023,"Aryan Subhan","Muralidhar Goud","Sandhya Janak",
21c96275-e376-4f33-9c22-231700a6cc9b,a-ad-infitium-2021,"A: Ad Infinitum",2021,"Ugandhar Muni","Nitin Prasanna","Preeti Asrani",
ae0a33c7-ca39-4f0a-a681-02404accecef,bomma-adirindi-dimma-tirigindi-2021,"Bomma Adirindi Dimma Tirigindi",2021,"Kumar Kota","Shakalaka Shankar","Avanthika Harinalwa",
