ID,Slug,Title,Year,Director,Hero,Heroine,Music_Director_TO_FILL
dcade0cb-1150-4282-833c-6a29bfd04d5a,naa-katha-tba,"Naa Katha",,"Ratnakar Peravali","Suman Shetty","No Female Lead",
5f4d9c51-1e09-4009-9619-aa368c3620e1,paramanandham-shishyulu-tba,"Paramanandham Shishyulu",,"G D Naidu 888","Daggupati Vinay","No Female Lead",
043bb7f8-1808-417b-9655-4d1fd3b01b4d,salaar-part-2-shouryanga-parvam-2023,"Salaar: Part 2 – Shouryanga Parvam",2026,"Prashanth Neel","Prabhas","Shruti Haasan",
ddd938c2-458a-4f51-8389-74a5d7e12c0d,pontons-heart-2025,"Ponton's Heart",2025,"Senad Šahmanović","Marija Labudović","Jadranka Mamić",
f07b6640-0bc3-4295-a17d-fa43fcc7fd19,akkada-varu-ikkada-unnaru-2024,"Akkada Varu Ikkada Unnaru",2024,"Trivikram Rao Kundurthi","Jagadesh Raj","Sai Harshini",
023e8662-be0b-45a4-8744-8e97195f0798,bhavanam-2024,"Bhavanam",2024,"Balachary Kurella","Ajay Ghosh","Sneha Ullal",
e240a37a-d96c-4c0d-9b4e-25fbccc144b0,eesaraina-2024,"Eesaraina!?",2024,"Eshaku Dasari","Goutham","Hasini",
74bf13e0-bbe3-48de-8eae-3d9b9ba00c5c,inner-city-blues-tba,"Inner City Blues",2024,"Divya Bandaru","Laxman Meesala","No Female Lead",
4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34,leela-vinodam-2024,"Leela Vinodam",2024,"Pavan Sunkara","Goparaju Ramana","V. S. Roopa Lakshmi",
e9421480-a36c-4013-b1fb-0b06dc44ee77,make-a-wish-2024,"Make a Wish",2024,"Sandhya Bayireddy","Kiran Kasturi","Sandhya Bayireddy",
0fad4e96-7fa9-40f7-82dc-3aa0c4c34efd,raju-gari-ammayi-naidu-gari-abbayi-2024,"Raju Gari Ammayi Naidu Gari Abbayi",2024,"Satya Raj","Ravi Teja Nunna","Neha Jha",
1cf5d5ee-3d38-411a-8996-0d264a6ebae4,sandeham-2024,"Sandeham",2024,"Sateesh Paramveda","Suman Tej","Hebah Patel",
