Canonical Name,Variations,Total Occurrences,Sample Movies
"krishna","krishna | t krishna | t. krishna",54,"Doragariki Donga Pellam (1994) [hero]; Monagadu Vastunnadu Jagratha (1983) [hero]; Nijam Nirupista (1972) [hero]; Annadammulu (1969) [hero]; Kanne Donga (1983) [hero]; Soubhagyavathi (1975) [hero]; Pachhani Samsaram (1970) [hero]; Amma Donga! (1995) [hero]; Devadasu (1974) [hero]; Kurukshetram (1977) [hero]"
"sridevi","sridevi | y. sridevi",43,"ChaalBaaz (1989) [heroine]; Khuda Gawah (1992) [heroine]; Gumrah (1993) [heroine]; Moondru Mudichu (1976) [heroine]; Aatagadu (1980) [heroine]; Adutha Varisu (1983) [heroine]; Monagadu Vastunnadu Jagratha (1983) [heroine]; Ramarajyamlo Bheemaraju (1983) [heroine]; Vazhvey Maayam (1982) [heroine]; Jumma Chumma In London (1991) [heroine]"
"k. chakravarthy","chakravarthy | k. chakravarthy",43,"Jeevana Ganga (1988) [music_director]; Viswaroopam (1981) [music_director]; Sardar (1984) [music_director]; Gayyali Gangamma (1980) [music_director]; Sitadevi (1982) [producer]; Taxi Driver (1981) [music_director]; Anuraga Devatha (1982) [music_director]; Kanne Donga (1983) [music_director]; Soubhagyavathi (1975) [music_director]; Neti Bharatam (1983) [music_director]"
"rajinikanth","rajinikanth | s. rajinikanth",40,"ChaalBaaz (1989) [hero]; Dosti Dushmani (1986) [hero]; Ra.One (2011) [hero]; Geraftaar (1985) [hero]; Andhaa Kaanoon (1983) [hero]; Allauddinum Albhutha Vilakkum (1979) [hero]; Moondru Mudichu (1976) [hero]; Vettaiyan (2024) [hero]; Jailer (2023) [hero]; Mannan (1992) [hero]"
"n. t. rama rao","n. t. rama rao | n.t. rama rao",40,"Aatagadu (1980) [hero]; Sri Satyanarayana Mahathyam (1964) [hero]; Bhuvana Sundari Katha (1967) [hero]; Chandrahasa (1965) [hero]; Eedu Jodu (1963) [hero]; Thalli Biddalu (1963) [hero]; Vaali – Sugreeva (1950) [hero]; Chandamama (1982) [hero]; Shakuntala (1966) [hero]; Pidugu Ramudu (1966) [hero]"
"k. v. mahadevan","k. v. mahadevan | k.v. mahadevan",31,"Sutradharulu (1989) [music_director]; Iddaru Ammayilu (1972) [music_director]; Aadavaallu Meeku Joharlu (1981) [music_director]; Pelleedu Pillalu (1982) [music_director]; Bandhalu Anubandhalu (1982) [music_director]; Saptapadi (1981) [music_director]; Naa Mogudu Naake Sontham (1987) [music_director]; Sri Datta Darsanam (1985) [music_director]; Alludu Pattina Bharatam (1980) [music_director]; Vamsa Vruksham (1980) [music_director]"
"k. vasu","p. vasu | k. vasu | vasu | k vasu",25,"Mannan (1992) [director]; Mannan (1992) [writer]; Nagavalli (2010) [director]; Nagavalli (2010) [writer]; Kanthaiyya Kanakaiyya (1983) [director]; Doctor Malathi (1982) [director]; Dhavala Satyam (1982) [director]; Kalahala Kapuram (1982) [director]; Devatha (1982) [director]; Ooriki Monagadu (1981) [director]"
"k. raghavendra rao","k. raghavendra rao | k raghavendra rao",25,"Sri Satyanarayana Mahathyam (1964) [director]; Agni Jwala (1983) [director]; Adavi Simhalu (1983) [director]; Trishulam (1982) [director]; Gaja Donga (1981) [director]; Pattabhishekam (1985) [director]; Mosagadu (1980) [director]; Janaki Ramudu (1988) [director]; Annamayya (1997) [director]; Ontari Poratam (1989) [director]"
"m. s. viswanathan","m. s. viswanathan | m.s. viswanathan",18,"Moondru Mudichu (1976) [music_director]; Avargal (1977) [music_director]; Thillu Mullu (1981) [music_director]; Billa (1980) [music_director]; Apoorva Raagangal (1975) [music_director]; Police Police (1983) [music_director]; Daiviyin Thiruvilaiyadal (1982) [music_director]; Sandhippu (1983) [music_director]; Nam Naadu (1969) [music_director]; Bharatha Vilas (1973) [music_director]"
"t.v. raju","t.v. raju | t. v. raju",18,"Aatagadu (1980) [music_director]; Nijam Nirupista (1972) [music_director]; Sisindri Chittibabu (1971) [music_director]; Bhale Master (1968) [music_director]; Thandri Kodukula Challenge (1987) [music_director]; Ragile Gundelu (1985) [music_director]; Devadichina Bharta (1968) [music_director]; Pidugu Ramudu (1966) [music_director]; Varalakshmi Vratham (1961) [music_director]; Who is she? (1966) [music_director]"
