ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100 chars),MISSING DATA,PRIORITY
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam",2026,"Prabhas","Prashanth Neel",MISSING,NO,"","RATING",MEDIUM
06fbeb2c-ab89-423c-9e63-6009e3e96688,"సుందరానికి తొందరెక్కువ",2006,"Allari Naresh","Phani Prakash",MISSING,NO,"","RATING",MEDIUM
8c3ef912-ecd6-4719-ba68-f86a89b334db,"Mayajalam",2006,"Mukesh","S. V. Krishna Reddy",MISSING,NO,"","RATING",MEDIUM
aea9293a-ee96-4bbe-aa57-f7e84eff23b4,"Kadavul",1997,"Velu Prabhakaran","Velu Prabhakaran",MISSING,NO,"A 1997 Telugu film directed by Velu Prabhakaran.","RATING",MEDIUM
a4c01cca-6092-4dfa-8290-683e601e4795,"Tamizh Selvan",1996,"Vijayakanth","Bharathiraja",MISSING,NO,"A 1996 Telugu film directed by Bharathiraja.","RATING",MEDIUM
4765aa1a-728f-4b28-a125-719e79bcb3f8,"Swami Vivekananda",1994,"Pradeep Kumar","G. V. Iyer",MISSING,NO,"","RATING",MEDIUM
5ac15346-c1f1-4804-8223-04f599383fbc,"Gumrah",1994,"Sridevi","Mahesh Bhatt",MISSING,NO,"A 1994 Telugu film starring Sridevi and Mala Sinha.","RATING",MEDIUM
eab52068-0193-4c81-8808-34ca070abbe4,"Lakshyam",1993,"Gopichand","Sriwass",MISSING,NO,"","RATING",MEDIUM
62722419-12a0-4638-9492-f4324d4b78f2,"Veerta",1993,"Jaya Prada","Shibu Mitra",MISSING,NO,"A 1993 Telugu film directed by Shibu Mitra starring Jaya Prada and Jaya Prada.","RATING",MEDIUM
0c948cb3-cd84-420c-927b-db274e58fb1f,"Insaniyat Ke Devta",1993,"Raaj Kumar","K. C. Bokadia",MISSING,NO,"A 1993 Telugu film directed by K. C. Bokadia.","RATING",MEDIUM
65be9b54-3bc4-4e67-a7b0-75fa3e0e8556,"Brundavanam",1993,"Rajendra Prasad","Singeetam Srinivasa Rao",MISSING,NO,"","RATING",MEDIUM
b149e51c-20e1-42fa-92c9-dbaa9f117263,"Kundan",1993,"Jaya Prada","K. C. Bokadia",MISSING,NO,"A 1993 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada.","RATING",MEDIUM
3cd34587-704c-4944-82da-dd7e0f7dfd9e,"Best Actor",1993,"Jagapathi Babu","Martin Prakkat",MISSING,NO,"A 1993 Telugu film starring Jagapathi Babu.","RATING",MEDIUM
c5a9ffc1-61b3-4990-b091-156774847778,"Khuda Gawah",1993,"Amitabh Bachchan","Mukul Anand",MISSING,NO,"A 1993 Telugu film starring Sridevi and Sridevi.","RATING",MEDIUM
af26d3a3-fd41-451d-9499-c0613cb42335,"Raktha Tharpanam",1992,"Krishna","Krishna",MISSING,NO,"A 1992 Telugu film directed by Krishna starring Krishna.","RATING",MEDIUM
2806a32b-9ea1-4c87-a85b-73cc4172683c,"Tyagi",1992,"Jaya Prada","K. C. Bokadia",MISSING,NO,"A 1992 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada.","RATING",MEDIUM
460a5f1a-7191-45f3-921d-82c3be9b2c11,"Aasmaan Se Gira",1992,"Raghubir Yadav","Pankaj Parashar",MISSING,NO,"A 1992 Telugu film directed by Pankaj Parashar.","RATING",MEDIUM
5f1d4d69-88ef-4e03-b3ce-58f19fd8966f,"Naaka Bandi",1990,"Dharmendra","Shibu Mitra",MISSING,NO,"A 1990 Telugu film directed by Shibu Mitra.","RATING",MEDIUM
03b317cc-8b87-45b0-92e5-ad1de7eb7c92,"ChaalBaaz",1990,"Sridevi","Pankaj Parashar",MISSING,NO,"A 1990 Telugu film starring Sridevi and Sunny Deol.","RATING",MEDIUM
5e35da7e-9081-4db9-8f2d-9f5ab3867498,"Gharana",1989,"Asrani","K. Selvaramani",MISSING,NO,"","RATING",MEDIUM
0649e455-c3b8-4562-a1e4-c1e87653a230,"Hum Bhi Insaan Hain",1989,"Sanjay Dutt","Manivannan",MISSING,NO,"A 1989 Telugu film directed by Manivannan.","RATING",MEDIUM
a4ff9a89-5168-43b2-a11f-5c2fa658ab53,"Vicky Daada",1989,"Ravi Teja","Puri Jagannadh",MISSING,NO,"","RATING",MEDIUM
23616eaa-6b34-4306-8af4-73a942ad86cc,"Chaalbaaz",1989,"Sridevi","Pankaj Parashar",MISSING,NO,"A 1989 Telugu film directed by Pankaj Parashar starring Sridevi and Sridevi.","RATING",MEDIUM
604a0f33-c901-469c-8e14-8be079baa68b,"Joshilaay",1989,"Sunny Deol","Sibte Hassan Rizvi",MISSING,NO,"A 1989 Telugu film directed by Sibte Hassan Rizvi.","RATING",MEDIUM
c0d119f0-3840-4620-ac11-413e42cd8761,"Poola Rangadu",1989,"Sunil Varma","Relangi Narasimha Rao",MISSING,NO,"","RATING",MEDIUM
bac8ce89-b602-4226-a4f9-f1aa7acfc1e8,"Jaadugar",1989,"Vikas Anand","Prakash Mehra",MISSING,NO,"A 1989 Telugu film directed by Prakash Mehra.","RATING",MEDIUM
dbb82d4e-a8f0-4ace-90a8-9e5a7f3f35de,"Preminchi Choodu",1989,"Shaam","A. Kodandarami Reddy",MISSING,NO,"","RATING",MEDIUM
688efd66-5e24-4a35-8410-50f4519988eb,"Paraya Ghar",1989,"Rishi Kapoor","Kalpataru",MISSING,NO,"A 1989 Telugu film directed by Kalpataru starring Jaya Prada and Jaya Prada.","RATING",MEDIUM
a2cb19a1-ad74-4938-9289-c8d9edc9ad5f,"Geetanjali",1989,"Nagarjuna Akkineni","Mani Ratnam",MISSING,NO,"A 1989 Telugu film directed by Mani Ratnam.","RATING",MEDIUM
9a4b1f30-b41e-4c96-ac7b-debebde74061,"Antima Theerpu",1988,"Suresh Gopi","Joshiy",MISSING,NO,"","RATING",MEDIUM
bcf99d1d-facb-4ee6-bdca-841789cd0b5a,"Gandhinagar Rendava Veedhi",1987,"Rajendra Prasad","P. N. Ramachandra Rao",MISSING,NO,"","RATING",MEDIUM
abd4b663-0645-4904-9865-1aa767a8a813,"Dabbevariki Chedu",1987,"Rajendra Prasad","Relangi Narasimha Rao",MISSING,NO,"","RATING",MEDIUM
07540f9d-50b5-4fdd-85aa-311dcd9295dc,"Kaboye Alludu",1987,"Rajendra Prasad","Relangi Narasimha Rao",MISSING,NO,"","RATING",MEDIUM
a3f8dd6b-bd0e-4a2e-a097-734df7426a7c,"Best Actor",1987,"Rajendra Prasad","Martin Prakkat",MISSING,NO,"A 1987 Telugu film starring Rajendra Prasad and Sonu Gowda.","RATING",MEDIUM
42723858-b7bd-47cd-bc9b-146758488559,"Sindoor",1987,"Shashi Kapoor","K. Ravi Shankar",MISSING,NO,"A 1987 Telugu film directed by K. Ravi Shankar.","RATING",MEDIUM
445b265b-b7fa-4d0f-ad49-a0967b4c631a,"Kirai Dada",1987,"Nagarjuna Akkineni","A. Kodandarami Reddy",MISSING,NO,"","RATING",MEDIUM
216578da-2745-4fc7-9241-e8a432cf768c,"Pyaar Ke Do Pal",1986,"Ray Milland","Rajiv Mehra",MISSING,NO,"","RATING",MEDIUM
3ecc24aa-4690-43ac-ad3e-788cb5d5e7dd,"Kashmora",1986,"Karthi","N. B. Chakravarthy",MISSING,NO,"","RATING",MEDIUM
