ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100),Missing Data,Research Notes
db213db4-f0ba-4eca-ae5f-b291aef4be49,"Iddaru Attala Muddula Alludu",2006,"MISSING","Dev Anand",,NO,"","HERO","Modern era - IMDb should have data"
98980f9f-7650-43fc-8a2d-912fbd9e1e88,"Apparao Driving School",2004,"MISSING","Anji Seenu",,NO,"","HERO","Modern era - IMDb should have data"
3a00d145-9c46-46d1-a8fa-b88404f6b2a8,"Kottai Mariamman",2002,"MISSING","Rama Narayanan",,NO,"","HERO","Modern era - IMDb should have data"
f98d67e2-8668-4dbc-bf9c-f3237daf9252,"Sakutumba Saparivaara Sametham",2000,"MISSING","S. V. Krishna Reddy",,NO,"","HERO","Modern era - IMDb should have data"
472c726b-5972-45f2-9264-8b06ca5fecbc,"Vamsoddarakudu",2000,"MISSING","Sarath",,NO,"","HERO","Modern era - IMDb should have data"
92f3d7d0-2828-4bf2-bd87-6b8c77009d57,"Preyasi Rave",1999,"MISSING","Chandra Mahesh",,NO,"","HERO","Check IMDb or Telugu film databases"
e1b19c7d-afa2-4b4d-aaf2-d8216917c57c,"Doni Sagali",1998,"MISSING","Rajendra Singh Babu",,NO,"","HERO","Check IMDb or Telugu film databases"
6c6084dd-9ce3-4572-b4a2-320ec0de4731,"Aayanagaru",1998,"MISSING","Nagendra Magapu",,NO,"","HERO","Check IMDb or Telugu film databases"
e3456f34-c803-4d4d-9336-bfe207b251c3,"Egire Pavuramaa",1997,"MISSING","S. V. Krishna Reddy",,NO,"","HERO","Check IMDb or Telugu film databases"
3ab70ca1-8978-4682-9437-d5ad5fb43292,"Jai Bajarangbali",1997,"MISSING","Rama Narayanan",,NO,"","HERO","Check IMDb or Telugu film databases"
4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8,"Topi Raja Sweety Roja",1996,"MISSING","Dr. N. Shiva Prasad",,NO,"","HERO","Check IMDb or Telugu film databases"
7db057f7-a174-4f81-96ea-e0379190a674,"Akarshan",1988,"MISSING","Tanvir Ahmed",,NO,"A 1988 Telugu film directed by Tanvir Ahmed.","HERO","Classic era - may need deeper research"
aa3fb5d3-f964-4534-97db-df8481676f2a,"Sankeerthana",1987,"MISSING","Jorge Manzano",,NO,"","HERO","Classic era - may need deeper research"
bc766693-9002-4bad-9e34-1a89051ffc4b,"Padaharella Ammayi",1986,"MISSING","P. S. Krishna Mohan Reddy",,NO,"","HERO","Classic era - may need deeper research"
ac2d3a7f-43c6-4eef-8d48-aef4be45465e,"Trishulam",1982,"MISSING","K. Raghavendra Rao",,NO,"","HERO","Classic era - may need deeper research"
11485c64-4eb3-42be-90ed-457fd91ab343,"Madhura Swapnam",1982,"MISSING","K. Raghavendra Rao",,NO,"","HERO","Classic era - may need deeper research"
7817056b-9772-4c19-902e-24723aea1d4d,"Talli Kodukula Anubandham",1982,"MISSING","K. S. R. Das",,NO,"","HERO","Classic era - may need deeper research"
f2c5a205-9338-4947-8f9a-9d2027082099,"Meghasandesham",1982,"MISSING","Dasari Narayana Rao",,NO,"","HERO","Classic era - may need deeper research"
734bcc42-6731-4c13-9c66-30a4e50e5fd7,"Adavaallu Meeku Joharulu",1981,"MISSING","K. Balachander",,NO,"","HERO","Classic era - may need deeper research"
ab22a959-7c31-43a8-aa31-5f82dcf5dea6,"Inimai Idho Idho",1980,"MISSING","R. Ramamurthy",,NO,"","HERO","Classic era - may need deeper research"
8be8694c-0165-4bf2-b13a-64efcc5171e9,"Unnai Suttrum Ulagam",1977,"MISSING","G. Subramaniya Reddiar",,NO,"A 1977 Telugu film directed by G. Subramaniya Reddiar.","HERO","Vintage film - Wikipedia or archives"
bf98877b-af8a-4e0d-ac13-369a4cb3a183,"Chuzhi",1973,"MISSING","Triprayar Sukumaran",,NO,"A 1973 Telugu film directed by Triprayar Sukumaran.","HERO","Vintage film - Wikipedia or archives"
5356abfd-e4dc-47e3-8ebc-756818317e70,"Sabadham",1971,"MISSING","P. Madhavan",,NO,"A 1971 Telugu film directed by P. Madhavan.","HERO","Vintage film - Wikipedia or archives"
4d65ff8e-ca9d-42d6-8a64-f7c6aef67b4e,"Sabarimala Shri Dharmasastha",1970,"MISSING","M. Krishnan Nair",,NO,"A 1970 Telugu film directed by M. Krishnan Nair.","HERO","Vintage film - Wikipedia or archives"
1693aeaf-3fa6-463f-98cf-57d4f0a6953b,"Thunaivan",1969,"MISSING","M. A. Thirumugam",,NO,"A 1969 Telugu film directed by M. A. Thirumugam.","HERO","Vintage film - Wikipedia or archives"
