ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100),Missing Data,Research Notes
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam",2026,"Prabhas","Prashanth Neel",MISSING (suggest: 6.5-7.5),NO,"","RATING","Suggested: 6.5-7.5"
8c3ef912-ecd6-4719-ba68-f86a89b334db,"Mayajalam",2006,"Mukesh","S. V. Krishna Reddy",MISSING (suggest: 6.0-6.5),NO,"","RATING","Suggested: 6.0-6.5"
aea9293a-ee96-4bbe-aa57-f7e84eff23b4,"Kadavul",1997,"Velu Prabhakaran","Velu Prabhakaran",MISSING (suggest: 5.5-6.5),NO,"A 1997 Telugu film directed by Velu Prabhakaran.","RATING","Suggested: 5.5-6.5"
a4c01cca-6092-4dfa-8290-683e601e4795,"Tamizh Selvan",1996,"Vijayakanth","Bharathiraja",MISSING (suggest: 5.5-6.5),NO,"A 1996 Telugu film directed by Bharathiraja.","RATING","Suggested: 5.5-6.5"
4765aa1a-728f-4b28-a125-719e79bcb3f8,"Swami Vivekananda",1994,"Pradeep Kumar","G. V. Iyer",MISSING (suggest: 5.5-6.5),NO,"","RATING","Suggested: 5.5-6.5"
5ac15346-c1f1-4804-8223-04f599383fbc,"Gumrah",1994,"Sridevi","Mahesh Bhatt",MISSING (suggest: 5.5-6.5),NO,"A 1994 Telugu film starring Sridevi and Mala Sinha.","RATING","Suggested: 5.5-6.5"
b149e51c-20e1-42fa-92c9-dbaa9f117263,"Kundan",1993,"Jaya Prada","K. C. Bokadia",MISSING (suggest: 5.5-6.5),NO,"A 1993 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada.","RATING","Suggested: 5.5-6.5"
3cd34587-704c-4944-82da-dd7e0f7dfd9e,"Best Actor",1993,"Jagapathi Babu","Martin Prakkat",MISSING (suggest: 5.5-6.5),NO,"A 1993 Telugu film starring Jagapathi Babu.","RATING","Suggested: 5.5-6.5"
62722419-12a0-4638-9492-f4324d4b78f2,"Veerta",1993,"Jaya Prada","Shibu Mitra",MISSING (suggest: 5.5-6.5),NO,"A 1993 Telugu film directed by Shibu Mitra starring Jaya Prada and Jaya Prada.","RATING","Suggested: 5.5-6.5"
c5a9ffc1-61b3-4990-b091-156774847778,"Khuda Gawah",1993,"Amitabh Bachchan","Mukul Anand",MISSING (suggest: 5.5-6.5),NO,"A 1993 Telugu film starring Sridevi and Sridevi.","RATING","Suggested: 5.5-6.5"
eab52068-0193-4c81-8808-34ca070abbe4,"Lakshyam",1993,"Gopichand","Sriwass",MISSING (suggest: 5.5-6.5),NO,"","RATING","Suggested: 5.5-6.5"
65be9b54-3bc4-4e67-a7b0-75fa3e0e8556,"Brundavanam",1993,"Rajendra Prasad","Singeetam Srinivasa Rao",MISSING (suggest: 7.5-8.0),NO,"","RATING","Suggested: 7.5-8.0"
0c948cb3-cd84-420c-927b-db274e58fb1f,"Insaniyat Ke Devta",1993,"Raaj Kumar","K. C. Bokadia",MISSING (suggest: 5.5-6.5),NO,"A 1993 Telugu film directed by K. C. Bokadia.","RATING","Suggested: 5.5-6.5"
2806a32b-9ea1-4c87-a85b-73cc4172683c,"Tyagi",1992,"Jaya Prada","K. C. Bokadia",MISSING (suggest: 5.5-6.5),NO,"A 1992 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada.","RATING","Suggested: 5.5-6.5"
460a5f1a-7191-45f3-921d-82c3be9b2c11,"Aasmaan Se Gira",1992,"Raghubir Yadav","Pankaj Parashar",MISSING (suggest: 5.5-6.5),NO,"A 1992 Telugu film directed by Pankaj Parashar.","RATING","Suggested: 5.5-6.5"
af26d3a3-fd41-451d-9499-c0613cb42335,"Raktha Tharpanam",1992,"Krishna","Krishna",MISSING (suggest: 5.5-6.5),NO,"A 1992 Telugu film directed by Krishna starring Krishna.","RATING","Suggested: 5.5-6.5"
03b317cc-8b87-45b0-92e5-ad1de7eb7c92,"ChaalBaaz",1990,"Sridevi","Pankaj Parashar",MISSING (suggest: 5.5-6.5),NO,"A 1990 Telugu film starring Sridevi and Sunny Deol.","RATING","Suggested: 5.5-6.5"
5f1d4d69-88ef-4e03-b3ce-58f19fd8966f,"Naaka Bandi",1990,"Dharmendra","Shibu Mitra",MISSING (suggest: 5.5-6.5),NO,"A 1990 Telugu film directed by Shibu Mitra.","RATING","Suggested: 5.5-6.5"
604a0f33-c901-469c-8e14-8be079baa68b,"Joshilaay",1989,"Sunny Deol","Sibte Hassan Rizvi",MISSING (suggest: 6.0-7.0),NO,"A 1989 Telugu film directed by Sibte Hassan Rizvi.","RATING","Suggested: 6.0-7.0"
dbb82d4e-a8f0-4ace-90a8-9e5a7f3f35de,"Preminchi Choodu",1989,"Shaam","A. Kodandarami Reddy",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
c0d119f0-3840-4620-ac11-413e42cd8761,"Poola Rangadu",1989,"Sunil Varma","Relangi Narasimha Rao",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
a4ff9a89-5168-43b2-a11f-5c2fa658ab53,"Vicky Daada",1989,"Ravi Teja","Puri Jagannadh",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
a2cb19a1-ad74-4938-9289-c8d9edc9ad5f,"Geetanjali",1989,"Nagarjuna Akkineni","Mani Ratnam",MISSING (suggest: 6.0-7.0),NO,"A 1989 Telugu film directed by Mani Ratnam.","RATING","Suggested: 6.0-7.0"
5e35da7e-9081-4db9-8f2d-9f5ab3867498,"Gharana",1989,"Asrani","K. Selvaramani",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
bac8ce89-b602-4226-a4f9-f1aa7acfc1e8,"Jaadugar",1989,"Vikas Anand","Prakash Mehra",MISSING (suggest: 6.0-7.0),NO,"A 1989 Telugu film directed by Prakash Mehra.","RATING","Suggested: 6.0-7.0"
23616eaa-6b34-4306-8af4-73a942ad86cc,"Chaalbaaz",1989,"Sridevi","Pankaj Parashar",MISSING (suggest: 6.0-7.0),NO,"A 1989 Telugu film directed by Pankaj Parashar starring Sridevi and Sridevi.","RATING","Suggested: 6.0-7.0"
688efd66-5e24-4a35-8410-50f4519988eb,"Paraya Ghar",1989,"Rishi Kapoor","Kalpataru",MISSING (suggest: 6.0-7.0),NO,"A 1989 Telugu film directed by Kalpataru starring Jaya Prada and Jaya Prada.","RATING","Suggested: 6.0-7.0"
0649e455-c3b8-4562-a1e4-c1e87653a230,"Hum Bhi Insaan Hain",1989,"Sanjay Dutt","Manivannan",MISSING (suggest: 6.0-7.0),NO,"A 1989 Telugu film directed by Manivannan.","RATING","Suggested: 6.0-7.0"
9a4b1f30-b41e-4c96-ac7b-debebde74061,"Antima Theerpu",1988,"Suresh Gopi","Joshiy",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
445b265b-b7fa-4d0f-ad49-a0967b4c631a,"Kirai Dada",1987,"Nagarjuna Akkineni","A. Kodandarami Reddy",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
42723858-b7bd-47cd-bc9b-146758488559,"Sindoor",1987,"Shashi Kapoor","K. Ravi Shankar",MISSING (suggest: 6.0-7.0),NO,"A 1987 Telugu film directed by K. Ravi Shankar.","RATING","Suggested: 6.0-7.0"
bcf99d1d-facb-4ee6-bdca-841789cd0b5a,"Gandhinagar Rendava Veedhi",1987,"Rajendra Prasad","P. N. Ramachandra Rao",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
abd4b663-0645-4904-9865-1aa767a8a813,"Dabbevariki Chedu",1987,"Rajendra Prasad","Relangi Narasimha Rao",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
07540f9d-50b5-4fdd-85aa-311dcd9295dc,"Kaboye Alludu",1987,"Rajendra Prasad","Relangi Narasimha Rao",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
a3f8dd6b-bd0e-4a2e-a097-734df7426a7c,"Best Actor",1987,"Rajendra Prasad","Martin Prakkat",MISSING (suggest: 6.0-7.0),NO,"A 1987 Telugu film starring Rajendra Prasad and Sonu Gowda.","RATING","Suggested: 6.0-7.0"
3ecc24aa-4690-43ac-ad3e-788cb5d5e7dd,"Kashmora",1986,"Karthi","N. B. Chakravarthy",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
216578da-2745-4fc7-9241-e8a432cf768c,"Pyaar Ke Do Pal",1986,"Ray Milland","Rajiv Mehra",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
94e77969-a916-4237-8628-6883292cd740,"Janbaaz",1986,"Feroz Khan","Feroz Khan",MISSING (suggest: 6.0-7.0),NO,"A 1986 Telugu film directed by Feroz Khan.","RATING","Suggested: 6.0-7.0"
f9bba0dc-ab55-49ea-b75b-afaab5165f63,"Kodama Simham",1986,"Chiranjeevi","K. Murali Mohana Rao",MISSING (suggest: 7.0-7.5),NO,"","RATING","Suggested: 7.0-7.5"
ae47e37d-0918-4b12-abaa-abbe390f6a11,"Muddat",1986,"Mithun Chakraborty","K. Bapayya",MISSING (suggest: 6.0-7.0),NO,"A 1986 Telugu film directed by K. Bapayya.","RATING","Suggested: 6.0-7.0"
ec820d05-afa3-4498-8a96-b1d6c95b1d22,"Pyar Ke Do Pal",1986,"Mithun Chakraborty","Rajiv Mehra",MISSING (suggest: 6.0-7.0),NO,"A 1986 Telugu film directed by Rajiv Mehra.","RATING","Suggested: 6.0-7.0"
45a1d1d7-b79a-4bcb-a814-0cbe4b36b191,"Aisa Pyaar Kahan",1986,"Glenn Ford","Charles Vidor",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
fbc06ae8-0c76-4f77-bd0b-843444a9a2d3,"Balidaan",1985,"Jeetendra","S. A. Chandrasekhar",MISSING (suggest: 6.0-7.0),NO,"A 1985 Telugu film directed by S. A. Chandrasekhar starring Sridevi and Sridevi.","RATING","Suggested: 6.0-7.0"
c03c3b7c-4ea6-49bf-acd8-cc7a5400f72e,"Zabardast",1985,"Sanjeev Kumar","Nasir Hussain",MISSING (suggest: 6.0-7.0),NO,"A 1985 Telugu film directed by Nasir Hussain.","RATING","Suggested: 6.0-7.0"
d40fc607-a589-409d-ad3c-5c8a655399a0,"Saagara Sangamam",1983,"Kamal Haasan","K. Viswanath",MISSING (suggest: 7.5-8.0),NO,"A 1983 Telugu film directed by K. Viswanath.","RATING","Suggested: 7.5-8.0"
26a68cd4-8964-4476-a021-926903bcd6ab,"Simha Gharjane",1983,"Vijayashanti","S. A. Chandrasekhar",MISSING (suggest: 6.0-7.0),NO,"A 1983 Telugu film directed by S. A. Chandrasekhar starring Vijayashanti and Vijayashanti.","RATING","Suggested: 6.0-7.0"
839e0266-9357-4e1e-9f2e-fe7f50e7953b,"Sandhippu",1983,"Sivaji Ganesan","C. V. Rajendran",MISSING (suggest: 6.0-7.0),NO,"A 1983 Telugu film directed by C. V. Rajendran.","RATING","Suggested: 6.0-7.0"
5303c9b2-7a00-493f-bcd8-ad6c3373f890,"Palletoori Monagadu",1983,"Chiranjeevi","S. A. Chandrasekhar",MISSING (suggest: 7.0-7.5),NO,"A rural drama featuring Chiranjeevi in the role of a village youth. The film explores the simplicity","RATING","Suggested: 7.0-7.5"
e2d3f4ec-ce83-42ff-bcdf-baa5b5d74a18,"Ilanjodigal",1982,"Karthik Muthuraman","Rama Narayanan",MISSING (suggest: 6.0-7.0),NO,"A 1982 Telugu film directed by Rama Narayanan.","RATING","Suggested: 6.0-7.0"
dc4eaf11-0b2a-4438-a2cb-263e739e5cd3,"Devata",1982,"Akkineni Nageswara Rao","Thatineni Prasad",MISSING (suggest: 7.0-7.5),NO,"","RATING","Suggested: 7.0-7.5"
6121afa9-67d8-4f6e-bf9e-b5c34b0ac56e,"Netrikan",1981,"Rajinikanth","S. P. Muthuraman",MISSING (suggest: 6.0-7.0),NO,"A 1981 Telugu film directed by S. P. Muthuraman.","RATING","Suggested: 6.0-7.0"
6bf02cce-97aa-4075-9756-adb08cf497e6,"Nenjile Thunivirunthal",1981,"Vijayakanth","S. A. Chandrasekhar",MISSING (suggest: 6.0-7.0),NO,"A 1981 Telugu film directed by S. A. Chandrasekhar.","RATING","Suggested: 6.0-7.0"
4b47dda0-1b59-48e2-94a5-d910172668f4,"Vishwaroobam",1980,"Sivaji Ganesan","A. C. Tirulokchandar",MISSING (suggest: 6.0-7.0),NO,"A 1980 Telugu film directed by A. C. Tirulokchandar.","RATING","Suggested: 6.0-7.0"
d5a0eedb-5789-4ac9-8b99-7e7291498562,"டாக்ஸி டிரைவர்",1978,"Jaishankar","N. S. Manian",MISSING (suggest: 6.0-7.0),NO,"A 1978 Telugu film directed by N. S. Manian.","RATING","Suggested: 6.0-7.0"
7b15d303-ebc5-4428-a266-f6f11604cc9b,"Priya",1978,"Sridevi","S. P. Muthuraman",MISSING (suggest: 6.0-7.0),NO,"A 1978 Telugu film directed by S. P. Muthuraman starring Sridevi and Sridevi.","RATING","Suggested: 6.0-7.0"
a6fef85e-9f2e-46b4-8fa8-7daf7748546d,"Vanakkathukuriya Kathaliye",1978,"Sridevi","A. C. Tirulokchandar",MISSING (suggest: 6.0-7.0),NO,"A 1978 Telugu film directed by A. C. Tirulokchandar starring Sridevi and Sridevi.","RATING","Suggested: 6.0-7.0"
e0d66df8-d137-4e1f-b548-b59fbc1119b1,"Dasavatharam",1976,"Gemini Ganesan","K. S. Gopalakrishnan",MISSING (suggest: 6.0-7.0),NO,"A 1976 Telugu film directed by K. S. Gopalakrishnan.","RATING","Suggested: 6.0-7.0"
d7ea2bdc-b127-4737-9553-d63ea6ab0415,"Sita Swayamvar",1976,"Ravikumar","Bapu",MISSING (suggest: 6.0-7.0),NO,"A 1976 Telugu film directed by Bapu.","RATING","Suggested: 6.0-7.0"
fbe0ee14-3cd4-4f31-9c60-b4494dd4a472,"Andaru Dongale",1974,"Rajendra Prasad","Nidhi Prasad",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
a5a91ed7-aec0-49b9-b885-e9d1d8daa2b7,"Bhaktha Kumbara",1974,"Dr. Rajkumar","Hunsur Krishnamurthy",MISSING (suggest: 6.0-7.0),NO,"A 1974 Telugu film directed by Hunsur Krishnamurthy.","RATING","Suggested: 6.0-7.0"
03675861-2837-49a1-aedb-24cd1dfbe391,"Bharatha Vilas",1973,"Sivaji Ganesan","A. C. Tirulokchandar",MISSING (suggest: 6.0-7.0),NO,"A 1973 Telugu film directed by A. C. Tirulokchandar.","RATING","Suggested: 6.0-7.0"
37e0ce5f-6a3d-427a-a009-77bbdc75b789,"Sharada",1973,"M G Soman","K G Rajasekharan",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
25f82db4-34b8-48a8-ba9d-bfa0e841a394,"Sange Muzhangu",1972,"M. G. Ramachandran","P. Neelakantan",MISSING (suggest: 6.0-7.0),NO,"A 1972 Telugu film directed by P. Neelakantan.","RATING","Suggested: 6.0-7.0"
034537e3-d2d8-48db-a0ac-8f1615357634,"Kanimuthu Paappa",1972,"Jaishankar","S. P. Muthuraman",MISSING (suggest: 6.0-7.0),NO,"A 1972 Telugu film directed by S. P. Muthuraman.","RATING","Suggested: 6.0-7.0"
186f8797-47ae-42cd-a97c-c6788996fd6e,"Agathiyar",1972,"Gemini Ganesan","A. P. Nagarajan",MISSING (suggest: 6.0-7.0),NO,"A 1972 Telugu film directed by A. P. Nagarajan.","RATING","Suggested: 6.0-7.0"
9e112fab-e469-494a-bd81-64c32e227647,"Kalyana Mandapam",1971,"Kiran Abbavaram","Sridhar Gade",MISSING (suggest: 6.0-7.0),NO,"","RATING","Suggested: 6.0-7.0"
c8aac18d-6c0b-4d9c-90aa-6d1e2422bf87,"Kannan Karunai",1971,"N. T. Rama Rao","N.T. Rama Rao",MISSING (suggest: 7.0-7.5),NO,"A 1971 Telugu film directed by N.T. Rama Rao starring N.T. Rama Rao.","RATING","Suggested: 7.0-7.5"
5ab42f8c-f304-4fb5-a0bf-bb63f4f31ead,"Babu",1971,"Sivaji Ganesan","A. C. Tirulokchandar",MISSING (suggest: 6.0-7.0),NO,"A 1971 Telugu film directed by A. C. Tirulokchandar.","RATING","Suggested: 6.0-7.0"
f9538b63-e013-4c43-b1e7-9e005d04895a,"Adi Parasakthi",1971,"Gemini Ganesan","K. S. Gopalakrishnan",MISSING (suggest: 6.0-7.0),NO,"A 1971 Telugu film directed by K. S. Gopalakrishnan.","RATING","Suggested: 6.0-7.0"
d6e940a3-3f57-4e93-96bb-a560c769fdd1,"Swapnangal",1970,"Madhu","P Subramaniam",MISSING (suggest: 6.0-7.0),NO,"A 1970 Telugu film directed by P Subramaniam.","RATING","Suggested: 6.0-7.0"
e1a98c66-eead-4c82-bba9-d3227a7277f3,"Penn Daivam",1970,"Jaishankar","M. A. Thirumugam",MISSING (suggest: 6.0-7.0),NO,"A 1970 Telugu film directed by M. A. Thirumugam.","RATING","Suggested: 6.0-7.0"
