Actor,Title,Year,Role,Language,Priority
"ali","Puli",2010,"Actor (Supporting)",Telugu,Medium
"ali","Mufasa: The Lion King",2024,"Actor (Supporting)",Telugu,High
"ali","New",2004,"Actor (Supporting)",Telugu,Medium
"ali","Maaligai",2021,"Actor (Supporting)",Telugu,High
"ali","Total Dhamaal",2019,"Actor (Supporting)",Telugu,Medium
"ali","Namo Bhootatma",2014,"Actor (Supporting)",Telugu,Medium
"ali","Kempegowda 2",2019,"Actor (Supporting)",Telugu,Medium
"amala","Listen... Amaya",2013,"Actor (Supporting)",Telugu,Medium
"amala","Hamari Adhuri Kahani",2015,"Cameo appearance (Cameo)",Telugu,Medium
"amala","Tumse Na Ho Payega",2023,"Actor (Supporting)",Telugu,High
"amala","High Priestess",2019,"Actor (Supporting)",Telugu,Medium
"brahmanandam","Saroja",2008,"Actor (Supporting)",Telugu,Medium
"brahmanandam","Vaalu",2015,"Actor (Supporting)",Telugu,Medium
"chandra mohan","Duvvada Jagannadham",2017,"Actor (Supporting)",Telugu,Medium
"geetha","Melevaryathe Malakhakkuttikal",2000,"Actor (Supporting)",Telugu,Medium
"geetha","Shambu",2008,"Actor (Supporting)",Telugu,Medium
"geetha","Masters",2012,"Actor (Supporting)",Telugu,Medium
"geetha","Zachariayude Garbhinikal",2013,"Nominated - Filmfare Award South for Best Supporting Actress (Supporting)",Telugu,Medium
"geetha","Salalah Mobiles",2014,"Actor (Supporting)",Telugu,Medium
"geetha","Johny Johny Yes Appa",2018,"Actor (Supporting)",Telugu,Medium
"geetha","Djibouti",2021,"Actor (Supporting)",Telugu,High
"geetha","Racha",2012,"Actor (Supporting)",Telugu,Medium
"geetha","Poorvapara",2004,"Actor (Supporting)",Telugu,Medium
"geetha","Miss California",2006,"Actor (Supporting)",Telugu,Medium
"geetha","Mr. Theertha",2010,"Actor (Supporting)",Telugu,Medium
"geetha","Unakkum Enakkum",2006,"Actor (Supporting)",Telugu,Medium
"geetha","Aalwar",2007,"Actor (Supporting)",Telugu,Medium
"geetha","Thoranai",2009,"Actor (Supporting)",Telugu,Medium
"geetha","180",2011,"Actor (Supporting)",Telugu,Medium
"geetha","Mathapoo",2013,"Actor (Supporting)",Telugu,Medium
"jagapathi babu","Gangstars",2018,"Actor (Supporting)",Telugu,Medium
"jaya prada","Ramachandra Boss &amp; Co",2023,"Actor (Supporting)",Telugu,High
"k. balachander","Paarthale Paravasam",2001,"Actor (Supporting)",Telugu,Medium
"k. balachander","Poi",2006,"Actor (Supporting)",Telugu,Medium
"k. balachander","Kadhal Virus",2002,"Actor (Supporting)",Telugu,Medium
"k. balachander","Poi",2006,"Actor (Supporting)",Telugu,Medium
"k. balachander","Kuselan",2008,"Actor (Supporting)",Telugu,Medium
"k. balachander","Rettaisuzhi",2010,"Actor (Supporting)",Telugu,Medium
"k. balachander","Ninaithathu Yaaro",2014,"Actor (Supporting)",Telugu,Medium
"karthik","Thai Poranthachu",2000,"Guest appearance (Cameo)",Telugu,Medium
"karthik","Ullam Kollai Poguthae",2001,"Guest appearance (Cameo)",Telugu,Medium
"karthik","Devan",2002,"Guest appearance (Cameo)",Telugu,Medium
"karthik","Kusthi",2006,"Actor (Supporting)",Telugu,Medium
"karthik","Kalakkura Chandru",2007,"Actor (Supporting)",Telugu,Medium
"karthik","Maanja Velu",2010,"Actor (Supporting)",Telugu,Medium
"karthik","Puli Vesham",2011,"Actor (Supporting)",Telugu,Medium
"karthik","Dev",2019,"Guest appearance (Cameo)",Telugu,Medium
"karthik","Thee Ivan",2023,"Actor (Supporting)",Telugu,High
