Type,Movie ID,Current Title,Current Director,Current Role,Expected Title,Expected Director,Expected Role,Confidence,Description
wrong_language,417797f9-f988-40b6-a388-b5179e5ab865,"Moondru Mudichu","","","","","",85,"Language mismatch for ""Moondru Mudichu"": DB has ""Telugu"", Wikipedia shows ""Tamil"""
wrong_role,53183cdc-9aec-4d6a-9489-240077ed3532,"Ninaithaale Inikkum","","Kamal Haasan","","","Hero",80,"Role mismatch for ""Ninaithaale Inikkum"": Should be Hero, but DB shows ""Kamal Haasan"""
wrong_language,03b317cc-8b87-45b0-92e5-ad1de7eb7c92,"ChaalBaaz","","","","","",85,"Language mismatch for ""ChaalBaaz"": DB has ""Telugu"", Wikipedia shows ""Hindi"""
wrong_language,0f13fa23-e39d-48ad-8b01-2697adf3d465,"Mannan","","","","","",85,"Language mismatch for ""Mannan"": DB has ""Telugu"", Wikipedia shows ""Tamil"""
wrong_role,4690dfc3-6723-45fa-b8fa-a5164b3ef8bb,"Chandramukhi","","Jyothika","","","Hero",80,"Role mismatch for ""Chandramukhi"": Should be Hero, but DB shows ""Jyothika"""
wrong_director,a5619752-515c-4f26-8c17-ad53e9dbd0e2,"Enthiran","Shankar","","","S. Shankar","",90,"Director mismatch for ""Enthiran"": DB has ""Shankar"", Wikipedia shows ""S. Shankar"""
wrong_director,1f6affd5-89d5-4451-b494-95d824ff2a3e,"Kabali","Pa Ranjith","","","Pa. Ranjith","",90,"Director mismatch for ""Kabali"": DB has ""Pa Ranjith"", Wikipedia shows ""Pa. Ranjith"""
wrong_director,2a0ee687-3b4c-4363-aaa4-917d3ef7cf16,"2.0","Shankar","","","S. Shankar","",90,"Director mismatch for ""2.0"": DB has ""Shankar"", Wikipedia shows ""S. Shankar"""
wrong_role,3fb86635-792c-474c-9351-b633cb31dd3f,"VIP 2 (Lalkar)","","Director","","","Hero",85,"""VIP 2 (Lalkar)"" incorrectly lists Rajinikanth as Director"
wrong_role,3923b89a-e447-4b80-8ac2-e5e7fdfc230a,"Velaiyilla Pattathari 2","","Director","","","Hero",85,"""Velaiyilla Pattathari 2"" incorrectly lists Rajinikanth as Director"
wrong_role,f858a20c-d9de-42e4-b647-3f031f9daa12,"Kochadaiiyaan","","Director","","","Hero",85,"""Kochadaiiyaan"" incorrectly lists Rajinikanth as Director"
wrong_role,dcd4f1d7-01fe-4ed9-b986-8f56df05d866,"3","","Director","","","Hero",85,"""3"" incorrectly lists Rajinikanth as Director"
wrong_role,91bf0fa8-49b9-4068-b125-544441217141,"Sri Satyanarayana Mahathyam","","Director","","","Hero",85,"""Sri Satyanarayana Mahathyam"" incorrectly lists Rajinikanth as Director"
wrong_role,202c48fa-d4a0-41cd-97a5-9b9a2136717d,"Sati Sulochana (Indrajeet)","","Director","","","Hero",85,"""Sati Sulochana (Indrajeet)"" incorrectly lists Rajinikanth as Director"
wrong_role,1ecfbea8-1abb-4404-b023-778e74174417,"Sree Ramanjaneya Yuddham","","Director","","","Hero",85,"""Sree Ramanjaneya Yuddham"" incorrectly lists Rajinikanth as Director"
wrong_role,df6461e3-89c0-4619-a341-35fe616e3506,"Chenchu Lakshmi","","Director","","","Hero",85,"""Chenchu Lakshmi"" incorrectly lists Rajinikanth as Director"
