Title,Year,Director,Language
"Apoorva Raagangal",1975,"K. Balachander",Tamil
"Avargal",1977,"K. Balachander",Tamil
"16 Vayathinile",1977,"Bharathiraja",Tamil
"Bairavi",1978,"M. Bhaskar",Tamil
"Mullum Malarum",1978,"Mahendran",Tamil
"Aval Appadithan",1978,"C. Rudhraiah",Tamil
"Allauddinum Albhutha Vilakkum",1979,"I. V. Sasi",Malayalam
"Billa",1980,"R. Krishnamurthy",Tamil
"Murattu Kaalai",1980,"S. P. Muthuraman",Tamil
"Thillu Mullu",1981,"K. Balachander",Tamil
"Moondru Mugam",1982,"A. Jagannathan",Tamil
"Andhaa Kaanoon",1983,"T. Rama Rao",Hindi
"Nallavanukku Nallavan",1984,"S. P. Muthuraman",Tamil
"Sri Raghavendrar",1985,"S. P. Muthuraman",Tamil
"Geraftaar",1985,"Prayag Raj",Hindi
"Padikkadavan",1985,"R. Krishnamurthy",Tamil
"Mr. Bharath",1986,"S. P. Muthuraman",Tamil
"Dosti Dushmani",1986,"T. Rama Rao",Hindi
"Velaikaran",1987,"S. P. Muthuraman",Tamil
"Manithan",1987,"S. P. Muthuraman",Tamil
"Guru Sishyan",1988,"S. P. Muthuraman",Tamil
"Dharmathin Thalaivan",1988,"S. P. Muthuraman",Tamil
"Annaamalai",1992,"Suresh Krissna",Tamil
"Valli",1993,"Rajinikanth",Tamil
"Baashha",1995,"Suresh Krissna",Tamil
"Sivaji",2007,"S. Shankar",Tamil
"Ra.One",2011,"Anubhav Sinha",Hindi
"Annaatthe",2021,"Siva",Tamil
