Priority,Celebrity ID,Name,Movie Count,Wikipedia URL,Filmography URL
"LOW","df84cb5c-4468-4e1b-8d02-b3c79086765a","Muthyala Subbaiah",0,"https://en.wikipedia.org/wiki/Muthyala_Subbaiah","https://en.wikipedia.org/wiki/Muthyala_Subbaiah#Filmography"
"LOW","79a2bf18-9024-4e08-85c3-843252eef4af","K. Viswanath",0,"https://en.wikipedia.org/wiki/K._Viswanath","https://en.wikipedia.org/wiki/K._Viswanath#Filmography"
"LOW","2066cd3d-60ec-46b2-86f0-eb4c50b2253a","N.T. Rama Rao",0,"https://en.wikipedia.org/wiki/N._T._Rama_Rao","https://en.wikipedia.org/wiki/N._T._Rama_Rao#Filmography"
"LOW","94ff24d8-d486-4f18-8f53-8c5e84ada8f1","Krishnam Raju",0,"https://en.wikipedia.org/wiki/Krishnam_Raju","https://en.wikipedia.org/wiki/Krishnam_Raju#Filmography"
"LOW","ed0400fb-23c3-4fc8-b945-afb6c51d8f03","Ramya Krishna",0,"https://en.wikipedia.org/wiki/Ramya_Krishna","https://en.wikipedia.org/wiki/Ramya_Krishna#Filmography"
"LOW","343c8f42-04c0-4759-8b0e-16e303966af4","Vanisri",0,"https://en.wikipedia.org/wiki/Vanisri","https://en.wikipedia.org/wiki/Vanisri#Filmography"
"LOW","4093b4eb-2453-4cca-a7e1-bb7f154344b1","K. Vasu",0,"https://en.wikipedia.org/wiki/K._Vasu","https://en.wikipedia.org/wiki/K._Vasu#Filmography"
"LOW","90bc1f94-8acc-4b65-b418-7ce938b24613","Mahesh Babu",0,"https://en.wikipedia.org/wiki/Mahesh_Babu","https://en.wikipedia.org/wiki/Mahesh_Babu#Filmography"
"LOW","f8fbb90c-42f5-482f-8f35-127c92701517","Anushka Shetty",0,"https://en.wikipedia.org/wiki/Anushka_Shetty","https://en.wikipedia.org/wiki/Anushka_Shetty#Filmography"
"LOW","68a66ece-2950-4b95-bf07-9927b8390198","Dasari Narayana Rao",0,"https://en.wikipedia.org/wiki/Dasari_Narayana_Rao","https://en.wikipedia.org/wiki/Dasari_Narayana_Rao#Filmography"
"LOW","4ede5acc-b5c9-4d38-8521-70e825f179bc","Kodi Ramakrishna",0,"https://en.wikipedia.org/wiki/Kodi_Ramakrishna","https://en.wikipedia.org/wiki/Kodi_Ramakrishna#Filmography"
"LOW","b15157d0-e667-4be8-b470-eb6955a9b3c6","Kodandarami Reddy",0,"https://en.wikipedia.org/wiki/Kodandarami_Reddy","https://en.wikipedia.org/wiki/Kodandarami_Reddy#Filmography"
"LOW","eb1d793d-149d-4bb9-ab9f-79a5da01d892","Jayasudha",0,"https://en.wikipedia.org/wiki/Jayasudha","https://en.wikipedia.org/wiki/Jayasudha#Filmography"
"LOW","d5291f8f-e0c0-4263-99ad-5d7dc511cb28","Vijaya Nirmala",0,"https://en.wikipedia.org/wiki/Vijaya_Nirmala","https://en.wikipedia.org/wiki/Vijaya_Nirmala#Filmography"
"LOW","fb3c6051-45a8-4857-adc9-77fdd5b7cc45","Kajal Aggarwal",0,"https://en.wikipedia.org/wiki/Kajal_Aggarwal","https://en.wikipedia.org/wiki/Kajal_Aggarwal#Filmography"
"LOW","577fd197-e131-4ed4-8460-90279c1d078e","Puri Jagannadh",0,"https://en.wikipedia.org/wiki/Puri_Jagannadh","https://en.wikipedia.org/wiki/Puri_Jagannadh#Filmography"
"LOW","dc37413d-8468-402f-a6c9-5ceec8b7e53c","Murali Mohan",0,"https://en.wikipedia.org/wiki/Murali_Mohan","https://en.wikipedia.org/wiki/Murali_Mohan#Filmography"
"LOW","a55f879f-ccb2-4fd4-8433-f8380dca2292","Vijayashanti",0,"https://en.wikipedia.org/wiki/Vijayashanti","https://en.wikipedia.org/wiki/Vijayashanti#Filmography"
"LOW","25f2f198-b386-463a-87d4-61655dbe088d","E.V.V. Satyanarayana",0,"https://en.wikipedia.org/wiki/E.V.V._Satyanarayana","https://en.wikipedia.org/wiki/E.V.V._Satyanarayana#Filmography"
"LOW","c3402cb7-d484-4146-b04e-7a36a8fe8cd4","Ram Gopal Varma",0,"https://en.wikipedia.org/wiki/Ram_Gopal_Varma","https://en.wikipedia.org/wiki/Ram_Gopal_Varma#Filmography"
"LOW","805514eb-eed0-4f1a-99ed-db53392b383d","Relangi Narasimha Rao",0,"https://en.wikipedia.org/wiki/Relangi_Narasimha_Rao","https://en.wikipedia.org/wiki/Relangi_Narasimha_Rao#Filmography"
"LOW","32a99a11-86be-4afa-a0e6-ce18c6ce3eea","Akkineni Nageswara Rao",0,"https://en.wikipedia.org/wiki/Akkineni_Nageswara_Rao","https://en.wikipedia.org/wiki/Akkineni_Nageswara_Rao#Filmography"
"LOW","248254e4-ff6a-4b36-b0d1-fbfc5f6f1bbf","Sumanth",0,"https://en.wikipedia.org/wiki/Sumanth","https://en.wikipedia.org/wiki/Sumanth#Filmography"
"LOW","e45e17cb-175e-472c-b70a-2bf7cd69df42","Tamannaah Bhatia",0,"https://en.wikipedia.org/wiki/Tamannaah_Bhatia","https://en.wikipedia.org/wiki/Tamannaah_Bhatia#Filmography"
"LOW","b6aa8d16-c405-4e81-a19f-d47ef882d5d9","Pawan Kalyan",0,"https://en.wikipedia.org/wiki/Pawan_Kalyan","https://en.wikipedia.org/wiki/Pawan_Kalyan#Filmography"
"LOW","ffa417ef-e0a9-4612-8616-8200ea040468","Sunil",0,"https://en.wikipedia.org/wiki/Sunil","https://en.wikipedia.org/wiki/Sunil_filmography"
"LOW","ceb2c247-5c54-4283-959b-dc3f394d9c09","Daggubati Venkatesh",0,"https://en.wikipedia.org/wiki/Daggubati_Venkatesh","https://en.wikipedia.org/wiki/Daggubati_Venkatesh#Filmography"
"LOW","72e1b4b8-2b29-4402-a2d6-6c06a68c7252","Sivaji",0,"https://en.wikipedia.org/wiki/Sivaji","https://en.wikipedia.org/wiki/Sivaji#Filmography"
"LOW","130a4f9c-be79-4127-b5f9-1893d86fd243","Anjali Devi",0,"https://en.wikipedia.org/wiki/Anjali_Devi","https://en.wikipedia.org/wiki/Anjali_Devi#Filmography"
"LOW","3120f3e2-b7ec-4ebd-b889-916d6fcf811d","Suresh",0,"https://en.wikipedia.org/wiki/Suresh","https://en.wikipedia.org/wiki/Suresh_filmography"
"LOW","4964d38c-49f0-4555-b934-12def4a66bfd","Venu",0,"https://en.wikipedia.org/wiki/Venu","https://en.wikipedia.org/wiki/Venu_filmography"
"LOW","7890f100-d9c8-40d5-b8bf-25c17bb63c08","Kamal Haasan",0,"https://en.wikipedia.org/wiki/Kamal_Haasan","https://en.wikipedia.org/wiki/Kamal_Haasan#Filmography"
"LOW","39c99f78-e266-4449-8f00-1dbc4190c455","K. Raghavendra Rao",0,"https://en.wikipedia.org/wiki/K._Raghavendra_Rao","https://en.wikipedia.org/wiki/K._Raghavendra_Rao#Filmography"
"LOW","7ea66985-c6f8-4f52-a51b-1dc9fd3f184d","Akkineni Nagarjuna",0,"https://en.wikipedia.org/wiki/Akkineni_Nagarjuna","https://en.wikipedia.org/wiki/Akkineni_Nagarjuna#Filmography"
"LOW","f63204ee-5d9a-40ed-a706-6edfd0620f84","Sobhan Babu",0,"https://en.wikipedia.org/wiki/Sobhan_Babu","https://en.wikipedia.org/wiki/Sobhan_Babu#Filmography"
"LOW","927cbc10-435f-44ba-bb85-83af82be4b9e","Mohan Babu",0,"https://en.wikipedia.org/wiki/Mohan_Babu","https://en.wikipedia.org/wiki/Mohan_Babu#Filmography"
"LOW","ed2aaa80-0f2b-4977-b1fb-bd3a8f0030f6","Jagapathi Babu",0,"https://en.wikipedia.org/wiki/Jagapathi_Babu","https://en.wikipedia.org/wiki/Jagapathi_Babu#Filmography"
"LOW","441f3f10-b379-44e1-9891-e739fe6c0752","Kanta Rao",0,"https://en.wikipedia.org/wiki/Kanta_Rao","https://en.wikipedia.org/wiki/Kanta_Rao#Filmography"
"LOW","620b9295-b4a0-49a8-9472-44acf417063b","Bhanupriya",0,"https://en.wikipedia.org/wiki/Bhanupriya","https://en.wikipedia.org/wiki/Bhanupriya#Filmography"
"LOW","aa01e8d6-17e9-458d-9ca9-ea5519ba558c","Allari Naresh",0,"https://en.wikipedia.org/wiki/Allari_Naresh","https://en.wikipedia.org/wiki/Allari_Naresh#Filmography"
"LOW","48422519-3ad5-4979-bef9-ffa354e84473","Shobana",0,"https://en.wikipedia.org/wiki/Shobana","https://en.wikipedia.org/wiki/Shobana#Filmography"
"LOW","9144620f-4abd-4ba6-a713-494ea336cf76","Jaya Prada",0,"https://en.wikipedia.org/wiki/Jaya_Prada","https://en.wikipedia.org/wiki/Jaya_Prada#Filmography"
"LOW","27cb5d8e-40a1-4f5d-847e-da4c3f3c0fc2","Brahmanandam",0,"https://en.wikipedia.org/wiki/Brahmanandam","https://en.wikipedia.org/wiki/Brahmanandam#Filmography"
"LOW","265f1268-e5e4-4836-a9f7-436c86a237fe","Jandhyala",0,"https://en.wikipedia.org/wiki/Jandhyala","https://en.wikipedia.org/wiki/Jandhyala#Filmography"
"LOW","fe7d9533-23cc-49e0-aea4-c3c967c55626","Adurthi Subba Rao",0,"https://en.wikipedia.org/wiki/Adurthi_Subba_Rao","https://en.wikipedia.org/wiki/Adurthi_Subba_Rao#Filmography"
"LOW","1cc56403-bad7-4ea8-a2c6-25574184f00c","Singeetam Srinivasa Rao",0,"https://en.wikipedia.org/wiki/Singeetam_Srinivasa_Rao","https://en.wikipedia.org/wiki/Singeetam_Srinivasa_Rao#Filmography"
"LOW","4ecaf338-5530-4de5-9b69-d55312d9dfd3","P. Pullaiah",0,"https://en.wikipedia.org/wiki/P._Pullaiah","https://en.wikipedia.org/wiki/P._Pullaiah#Filmography"
"LOW","3290d460-ac14-4d6b-bd0b-bcdf611e68e5","V. Nagayya",0,"https://en.wikipedia.org/wiki/V._Nagayya","https://en.wikipedia.org/wiki/V._Nagayya#Filmography"
"LOW","3e18a500-ed87-4122-9fc4-7a54dce3bb82","Jayalalitha",0,"https://en.wikipedia.org/wiki/Jayalalitha","https://en.wikipedia.org/wiki/Jayalalitha#Filmography"
"LOW","529e301a-be7d-4c5e-b1a6-f21f83d65b2f","B. Gopal",0,"https://en.wikipedia.org/wiki/B._Gopal","https://en.wikipedia.org/wiki/B._Gopal#Filmography"
