ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100 chars),MISSING DATA,PRIORITY
9b7b604c-6907-4c79-bd7f-dd22d1a3f974,"Devara: Part 2",2026,"N. T. Rama Rao Jr.","Koratala Siva",7.5,YES,"The high-octane sequel explores the power struggles within the coastal town following the events of ","NONE - READY",PUBLISH NOW
340635c8-f4a4-410e-aa3f-ed1ba3f314f3,"Jayammu Nischayammu Raa",2016,"Srinivasa Reddy","Shiva Raj Kanumuri",5,YES,"Jayammu Nischayammu Raa is a 2016 Indian Telugu comedy film directed and produced by Shiva Raj Kanum","NONE - READY",PUBLISH NOW
6dcf4ef0-f5e9-4717-96dd-14513908ce02,"Gopi – Goda Meedha Pilli",2006,"Allari Naresh","Janardhana Maharshi",5.4,NO,"","NONE - READY",PUBLISH NOW
ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa,"Angala Parameswari",2002,"Roja","Phani Prakash",5.8,NO,"","NONE - READY",PUBLISH NOW
fd10c7b5-1e25-4bcc-b82d-b4c6d1b48485,"Shri Krishnarjuna Vijayam",1996,"Nandamuri Balakrishna","Singeetam Srinivasa Rao",7.4,NO,"","NONE - READY",PUBLISH NOW
6d038721-fec0-4ba3-a90b-acbb26ef088e,"Raja Muthirai",1995,"Arun Pandian","R. K. Selvamani",6,NO,"","NONE - READY",PUBLISH NOW
86e58157-d33f-48d1-a562-7413efddffd9,"Shubha Lagnam",1994,"Jagapathi Babu","S. V. Krishna Reddy",7.9,NO,"","NONE - READY",PUBLISH NOW
9fcf70da-160e-4635-af49-538749378675,"Shubha Muhurtam",1983,"Murali Mohan","C. P. Kolli",6.5,NO,"","NONE - READY",PUBLISH NOW
06506eed-73d6-43dd-af5e-66030ac47b65,"Parvathi Parameshwarulu",1981,"Chandra Mohan","M. S. Kota Reddy",6.8,NO,"","NONE - READY",PUBLISH NOW
90c2fb7e-6c92-45a4-81c4-a6c18b32e742,"Rakta Sambandham",1980,"Murali Mohan","M. Mallikarjuna Rao",7.1,NO,"","NONE - READY",PUBLISH NOW
0a0d8345-02a7-4343-ada9-89ea66b5f912,"Agni Sanskaram",1980,"Gummadi","G. V. Prabhakar",6.2,NO,"","NONE - READY",PUBLISH NOW
