Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
ranger-2026,"Ranger",,2026,"Ajay Devgn","Tamannaah Bhatia","Jagan Shakti"
lenin-tba,"Lenin",,2026,"Akhil Akkineni","Bhagyashri Borse","Murali Kishor Abburu"
o-romeo-2026,"O'Romeo",,2026,"Shahid Kapoor","Triptii Dimri","Vishal Bhardwaj"
shambhala-2025,"Shambhala",,2025,"Mo Tzu-Yi","Rina Takeda","Toshio Sekine"
subham-2025,"Subham",,2025,"Srinivas Gavireddy","Samantha","Praveen Kandregula"
oka-brundavanam-2025,"Oka Brundavanam",,2025,"Ananth Babu","Kalyani Raju","Satya Botcha"
dhandoraa-2025,"Dhandoraa",,2025,"Sivaji Sontineni","Bindu Madhavi","Murali Kanth Devasoth"
baahubali-the-epic-2025,"Baahubali: The Epic",,2025,"Prabhas","Anushka Shetty","S. S. Rajamouli"
police-vari-heccharika-2025,"Police Vari Heccharika",,2025,"Subhalekha Sudhakar","Himaja","Babji"
junior-2025,"Junior",,2025,"Kireeti Reddy","Sreeleela, Genelia DSouza","Radhakrishna Reddy"
show-time-2025,"Show Time",,2025,"Naveen Chandra","Kamakshi Bhaskarla","Madhan Kumar Dhakshinamoorthy"
meghalu-cheppina-prema-katha-2025,"Meghalu Cheppina Prema Katha",,2025,"Naresh Agastya","Rabiya Khatoon","Vipin"
tuk-tuk-2025,"Tuk Tuk",,2025,"Harsh Roshan","Saanve Meghana","Supreeth C Krishna"
premistunnaa-2025,"Premistunnaa",,2025,"Subbu Panchu","Viji Chandrasekhar","Shankar Bhanu"
elumale-2025,"Elumale",,2025,"Jagapathi Babu","Priyanka Achar","Punit Rangaswamy"
dinasari-2025,"Dinasari",,2025,"Srikanth","Meera Krishnan","G. Sankar"
blackmail-2025,"Blackmail",,2025,"Srikanth","Teju Ashwini","Mu. Maran"
konjam-kadhal-konjam-modhal-2025,"Konjam Kadhal Konjam Modhal",,2025,"Srikanth","Pujita Ponnada","K. Rangaraj"
thala-2025,"Thala",,2025,"Rajiv Kanakala","Indraja","Amma Rajasekhar"
pontons-heart-2025,"Ponton's Heart",,2025,"Marija Labudović","Jadranka Mamić","Senad Šahmanović"
bhavani-ward-1997-2025,"Bhavani Ward 1997",,2025,"Jabardasth Apparao","Gayatri Gupta","GD Narasimmha"
kingdom-2025,"Kingdom",,2025,"Vijay Deverakonda","Bhagyashri Borse","Poppy Bullard"
andhra-king-taluka-2025,"Andhra King Taluka",,2025,"Ram Pothineni","Bhagyashri Borse","Mahesh Babu P"
23-iravai-moodu-2025,"23 (Iravai Moodu)",,2025,"Teja","Jhansi","Raj Rachakonda"
thank-you-dear-2025,"Thank You Dear",,2025,"Dhanush Raghumudri","Hebah Patel","Thota Srikanth Kumar"
ilanti-cinema-meereppudu-chusundaru-2025,"Ilanti Cinema Meereppudu Chusundaru",,2025,"Super Raja","Deepti Sanjeev Sivan","Super Raja"
12a-railway-colony-2025,"12A Railway Colony",,2025,"Allari Naresh","Kamakshi Bhaskarla","Nani Kasaragadda"
dhanraj-2025,"Ramam Raghavam",,2025,"Samuthirakani","Mokksha","Dhanraj Koranani"
break-out-2025,"Boss",,2025,"Jo Woo-jin","Hwang Woo-seul-hye","Ra Hee-chan"
super-raja-2025,"Super Raja",,2025,"Super Raja","Chandana Palanki","Super Raja"
thathsama-thathbhava-2023,"Thathsama Thathbhava",,2023,"Prajwal Devaraj","Meghana Raj","Vishal Saketh"
salaar-part-2-shouryanga-parvam-2023,"Salaar: Part 2 – Shouryanga Parvam",,2023,"","","Prashanth Neel"
lakshman-k-krishna-2022,"Swathimuthyam",,2022,"Sithara Entertainments","Rashmika Mandanna","Lakshman K Krishna"
plan-a-plan-b-2022,"Plan A Plan B",,2022,"Riteish Deshmukh","Tamannaah Bhatia","Shashanka Ghosh"
jagamemaya-2022,"Jagamemaya",,2022,"Babloo Prithiveeraj","Dhanya Balakrishna","Sunil Puppala"
mangalyam-2022,"Mangalyam",,2022,"Rohit","No Female Lead","Rasool Ellore"
happy-birthday-2022,"Happy Birthday",,2022,"Soorya Dayaruwan","Dilhani Ekanayake","Aruna Jayawardana"
abhimanyu-2022,"Nikamma",,2022,"Abhimanyu Dassani","Shirley Setia","Sabbir Khan"
pratibimbalu-2022,"Pratibimbalu",,2022,"Akkineni Nageswara Rao","Jayasudha","K. S. Prakash Rao"
crrush-2021,"Crrush",,2021,"Abhay Simha","Krishna Madhuri","Subash"
guduputani-2021,"Guduputani",,2021,"Saptagiri","Neha Solanki","K. M. Kumar"
lawyer-viswanath-2021,"Lawyer Viswanath",,2021,"Ali Basha","Niya Sankranthil","Bala Nageswara Rao Varada"
chinna-2021,"Chinna",,2021,"R. S. G. Chelladurai","Kulappulli Leela","Sabarinathan Muthupandian"
nireekshana-2021,"Nireekshana",,2021,"Sai Ronak","Ena Saha","Vamsee Krishna Malla"
y-2021,"Y",,2021,"Jay Baruchel","America Ferrera","Dean DeBlois"
pranavam-2021,"Pranavam",,2021,"Gemini Suresh","Gayatri Rema","G. Kumar"
chandamama-raave-asap-2021,"Chandamama Raave Asap",,2021,"Divya Sripada","Divya Sripada","Filmian"
plan-b-2021,"Plan B",,2021,"Srinivasa Reddy","Naveena Reddy","K.V. Rahamahi"
poster-2021,"Poster",,2021,"Shivaji Raja","Raashi Singh","TMR"
ravana-lanka-2021,"Ravana Lanka",,2021,"Krish Bandreddi","No Female Lead","B.N.S.S. Raju"
one-small-story-2021,"One Small Story",,2021,"Santosh Shoban","Kavya Thapar","Karthik Rapolu"
chandra-sekhar-yeleti-2021,"Check",,2021,"Nithiin","Rakul Preet Singh","Chandra Sekhar Yeleti"
kumar-g-2021,"Kumar G",,2021,"John Cho","Danneel Ackles","Hayden Schlossberg"
salt-2021,"Salt",,2021,"Babawalli","Rishika Singh","Sayed Munna"
surya-2021,"Surya",,2021,"Ravi Shiva Teja","Mounika Reddy","Subbu.k"
mumbai-saga-2021,"Mumbai Saga",,2021,"John Abraham","","Sanjay Gupta"
hemanth-2021,"Jhimma",,2021,"Siddharth Chandekar","Sonalee Kulkarni","Hemant Dhome"
journalist-2021,"Journalist",,2021,"Ramki","Tashu Kaushik","Mahesh Sukadhare"
bhaskar-2021,"Most Eligible Bachelor",,2021,"Akhil Akkineni","Pooja Hegde","Bhaskar"
sekhar-kammula-2021,"Love Story",,2021,"Naga Chaitanya Akkineni","Sai Pallavi","Sekhar Kammula"
madhagaja-2021,"Madhagaja",,2021,"Sriimurali","Ashika Ranganath","S. Mahesh Kumar"
asalem-jarigandi-2021,"Asalem Jarigandi",,2021,"Sriram","Sanchita Padukone","Raghu Ram"
sampath-nandi-2021,"Seetimaarr",,2021,"Gopichand","Tamannaah Bhatia","Sampath Nandi"
a-ad-infitium-2021,"A: Ad Infinitum",,2021,"Nitin Prasanna","Preeti Asrani","Ugandhar Muni"
mirugaa-2021,"Mirugaa",,2021,"Srikanth","Raai Laxmi","J. Parthiban"
the-power-2021,"The Power",,2021,"Shruti Haasan","Shruti Haasan","Mahesh Manjrekar"
roberrt-2021,"Roberrt",,2021,"Jagapathi Babu","Sonal Monteiro","Tharun Sudhir"
manasanamaha-2020,"Manasanamaha",,2020,"Viraj Ashwin","Drishika Chander","Deepak Reddy"
family-a-made-at-home-short-film-2020,"Family - A Made at Home Short Film",,2020,"Amitabh Bachchan","Priyanka Chopra Jonas","Prasoon Pandey"
putham-pudhu-kaalai-2020,"Putham Pudhu Kaalai",,2020,"Jayaram","Urvashi","Sudha Kongara Prasad"
devi-2020,"Devi",,2020,"Shruti Haasan","Kajol","Priyanka Banerjee"
yaara-2020,"Yaara",,2020,"Vidyut Jammwal","Shruti Haasan","Tigmanshu Dhulia"
