Actor,Title,Year,Type,Notes
"ali","Puli",2010,"Telugu Original","Telugu film, Pawan Kalyan hero"
"ali","New",2004,"Telugu Original","Telugu version, S. J. Suryah film"
"ali","Namo Bhootatma",2014,"Telugu Original","Telugu film"
"chandra mohan","Duvvada Jagannadham",2017,"Telugu Original","Telugu film, Allu Arjun"
"geetha","Racha",2012,"Telugu Original","Telugu film, Ram Charan"
"geetha","180",2011,"Telugu Original","Telugu-Tamil bilingual, Siddharth"
"jagapathi babu","Gangstars",2018,"Telugu Original","Telugu Web Series"
"mohan babu","Sri",2005,"Telugu Original","Telugu film, Manchu Manoj debut"
"mohan babu","Saleem",2009,"Telugu Original","Telugu film, Vishnu Manchu LEAD (not supporting!)"
"pawan kalyan","Hari Hara Veera Mallu: Part 1",2025,"Telugu Original","Telugu film, Pawan Kalyan lead"
"ravi teja","Sambho Siva Sambho",2010,"Telugu Original","Telugu film"
"ravi teja","Awe",2018,"Telugu Original","Telugu film, voice-over role"
"rohit","RAM",2024,"Telugu Original","Telugu film"
"sumanth","Malli Raava",2017,"Telugu Original","Telugu film, Sumanth lead"
"sunil","Balu ABCDEFG",2005,"Telugu Original","Telugu film, Pawan Kalyan"
"varun sandesh","Nuvvu Thopu Raa",2019,"Telugu Original","Telugu film, cameo"
"venu","Bahumati",2007,"Telugu Original","Telugu film, Venu lead"
"venu","Ramachari",2013,"Telugu Original","Telugu film, Venu lead"
"satyanarayana","Yamagola Malli Modalayindi",2007,"Telugu Original","Telugu film"
