Slug,Title_EN,Year,Hero,Director,Title_TE (TO FILL)
alcohol-2026,"Alcohol",2026,"Allari Naresh","Meher Tej",
dark-chocolate-2026,"Dark Chocolate",2026,"Vishwadev Rachakonda","Shashank Srivatsavaya",
honey-2026,"Honey",2026,"Naveen Chandra","Karuna Kumar",
itllu-arjuna-2026,"Itllu Arjuna",2026,"Aniesh","Mahesh Uppala",
madham-2026,"Madham",2026,"Harsha","Vamsee Krishna Malla",
nilakanta-2026,"Nilakanta",2026,"Mahendran","Rakesh Madhavan",
om-shanti-shanti-shantihi-2026,"Om Shanti Shanti Shantihi",2026,"Tharun Bhascker","Sajeev AR",
psych-siddhartha-2026,"Psych Siddhartha",2026,"Shree Nandu","Varun Reddy",
rao-bahadur-2026,"Rao Bahadur",2026,"Satyadev Kancharana","Venkatesh Maha",
rowdy-janardhana-2026,"Rowdy Janardhana",2026,"Vijay Deverakonda","Ravikiran Kola",
sahakutumbaanaam-2026,"Sahakutumbaanaam",2026,"Raam Kiran","Uday Sharma",
the-bed-2026,"The Bed",2026,"Srikanth","S. Mani Bharathy",
the-paradise-2026,"The Paradise",2026,"Nani","Srikanth Odela",
vanaveera-2026,"Vanaveera",2026,"Avinash","Avinash Thiruveedhula",
mad-2025,"(MAD)²",2025,"Sangeeth Shobhan","Kalyan Shankar",
single-2025,"#Single",2025,"Sree Vishnu","Caarthick Raju",
1000-waala-2025,"1000 Waala",2025,"Amith","Afzal Shaik",
1111-2025,"11:11",2025,"Saluri Koteswara Rao","Kittu Nalluri",
14-days-girlfriend-intlo-2025,"14 Days (girlfriend Intlo)",2025,"Ankith Koyya","Sriharsha Manne",
28-degree-celsius-2025,"28 Degree Celsius",2025,"Naveen Chandra","Anil Viswanath",
8-vasantalu-2025,"8 Vasantalu",2025,"Ananthika Sanilkumar","Phanindra Narsetti",
akhanda-2-thaandavam-2025,"Akhanda 2: Thaandavam",2025,"Nandamuri Balakrishna","Boyapati Srinu",
akkada-ammayi-ikkada-abbayi-2025,"Akkada Ammayi Ikkada Abbayi",2025,"Pradeep Machiraju","NitinBharath",
ari-my-name-is-nobody-2025,"Ari: My Name is Nobody",2025,"Sai Kumar","V. JayaShankarr",
arjun-chakravarthy-2025,"Arjun Chakravarthy",2025,"Vijaya Rama Raju","Vikrant Srinivas",
arjun-son-of-vyjayanthi-2025,"Arjun Son of Vyjayanthi",2025,"Nandamuri Kalyan Ram","Pradeep Chilukuri",
baapu-2025,"Baapu",2025,"Brahmaji","Dayakar Reddy K",
bhairavam-2025,"Bhairavam",2025,"Bellamkonda Srinivas","Vijay Kanakamedala",
blind-spot-2025,"Blind Spot",2025,"Naveen Chandra","Rakesh Varma",
chaurya-paatam-2025,"Chaurya Paatam",2025,"Mast Ali","Nikhil Gollamari",
chaurya-paatham-2025,"Chaurya Paatham",2025,"Mast Ali","Nikhil Gollamari",
chiranjeeva-2025,"Chiranjeeva",2025,"Raj Tarun","Abhinaya Krishna",
court-state-vs-a-nobody-2025,"Court: State vs. A Nobody",2025,"Priyadarshi Pullikonda","Ram Jagadeesh",
dear-uma-2025,"Dear Uma",2025,"Pruthvi Ambaar","Sai Rajesh Mahadav",
dilruba-2025,"Dilruba",2025,"Kiran Abbavaram","Viswa Karun",
dreamcatcher-2025,"Dreamcatcher",2025,"Prashanth Krishna","Sandeep Kakula",
eesha-2025,"Eesha",2025,"Thrigun","Srinivas Manne",
enuguthondam-ghatikachalam-2025,"Enuguthondam Ghatikachalam",2025,"Naresh","Ravi Babu",
gandhi-tatha-chettu-2025,"Gandhi Tatha Chettu",2025,"Chakrapani Ananda","Padmavathi Malladi",
hari-hara-veera-mallu-part-1-sword-vs-spirit-2025,"Hari Hara Veera Mallu: Part 1 – Sword vs Spirit",2025,"Pawan Kalyan","Jyothi Krishna",
hathya-2025,"Hathya",2025,"Ravi Varma","Srividya Basawa",
hit-the-third-case-2025,"HIT: The Third Case",2025,"Nani","Sailesh Kolanu",
jaat-2025,"Jaat",2025,"Sunny Deol","Gopichand Malineni",
janata-bar-2025,"Janata Bar",2025,"Pradeep Ram Singh Rawat","Ramana Mogili",
kishkindhapuri-2025,"Kishkindhapuri",2025,"Bellamkonda Srinivas","Koushik Pegallapati",
kuberaa-2025,"Kuberaa",2025,"Dhanush","Sekhar Kammula",
laila-2025,"Laila",2025,"Vishwak Sen","Ram Narayan",
lyf-love-your-father-2025,"LYF - Love Your Father",2025,"Sri Harsha","Pavan Ketharaju",
mass-jathara-2025,"Mass Jathara",2025,"Ravi Teja","Bhanu Bogavarapu",
mirai-2025,"Mirai",2025,"Teja Sajja","Karthik Ghattamaneni",
mokshapatam-2025,"Mokshapatam",2025,"Thiruveer Reddy","Rahul Vanaja Rajeshwar",
mowgli-2025,"Mowgli",2025,"Roshan Kanakala","Sandeep Raj",
neeli-megha-shyama-2025,"Neeli Megha Shyama",2025,"Vishwadev Rachakonda","Ravi S Varmaa",
oh-bhama-ayyo-rama-2025,"Oh Bhama Ayyo Rama",2025,"Suhas","Ram Godhala",
oka-pathakam-prakaaram-2025,"Oka Pathakam Prakaaram",2025,"Sai Ram Shankar","Vinod Vijayan",
paanch-minar-2025,"Paanch Minar",2025,"Raj Tarun","Ramesh Kadumula",
paradha-2025,"Paradha",2025,"Rag Mayur","Praveen Kandregula",
patang-2025,"Patang",2025,"Pranav Kaushik","Praneeth Prattipati",
pelli-kaani-prasad-2025,"Pelli Kaani Prasad",2025,"Muralidhar Goud","Abhilash Reddy Gopidi",
premante-2025,"Premante",2025,"Priyadarshi Pullikonda","Navaneeth Sriram",
raju-weds-rambai-2025,"Raju Weds Rambai",2025,"Shivaji Raja","Saailu Kaampati",
ramam-raghavam-2025,"Ramam Raghavam",2025,"Samuthirakani","Dhanraj",
salaar-part-2-shouryaanga-parvam,"Salaar: Part 2 - Shouryaanga Parvam",2025,"Prabhas","Prashanth Neel",
sankranthiki-vasthunam-2025,"Sankranthiki Vasthunam",2025,"Daggubati Venkatesh","Anil Ravipudi",
santhana-prapthirasthu-2025,"Santhana Prapthirasthu",2025,"Tharun Bhascker","Sanjeev Reddy",
shashtipoorthi-2025,"Shashtipoorthi",2025,"Rajendra Prasad","Pavan Prabha",
shivangi-2025,"Shivangi",2025,"John Vijay","Devaraj Bharani Dharan",
sikandar-2025,"Sikandar",2025,"Salman Khan","A. R. Murugadoss",
solo-boy-2025,"Solo Boy",2025,"Posani Krishna Murali","P. Naveen Kumar",
sundarakanda-2025,"Sundarakanda",2025,"Nara Rohith","Venkatesh Nimmalapudi",
suryapet-junction-2025,"Suryapet Junction",2025,"Eeswar","Rajesh Nadendla",
the-100-2025,"The 100",2025,"Anand","Raghav Omkar Sasidhar",
the-girlfriend-2025,"The Girlfriend",2025,"Dheekshith Shetty","Rahul Ravindran",
the-great-pre-wedding-show-2025,"The Great Pre-Wedding Show",2025,"Thiruveer Reddy","Rahul Srinivas",
uppu-kappurambu-2025,"Uppu Kappurambu",2025,"Suhas","Ani I. V. Sasi",
tillu-2024,"(Tillu)²",2024,"Siddhu Jonnalagadda","Mallik Ram",
100-crores-2024,"100 Crores",2024,"Rahul Haridas","Virat Chakravarthy",
105-minuttess-2024,"105 Minuttess",2024,"N/A","Raju Dussa",
1980-lo-radhekrishna-2024,"1980 Lo Radhekrishna",2024,"SS Saidulu","Ismail Shaik",
35-chinna-katha-kaadu-2024,"35 - Chinna Katha Kaadu",2024,"Vishwadev Rachakonda","Nanda Kishore",
a-goa-tripp-2024,"A Goa Tripp...",2024,"Pradeep Ambal","Rohithh Dhruvan",
aa-okkati-adakku-2024,"Aa Okkati Adakku",2024,"Allari Naresh","Malli Ankam",
aarambham-2024,"Aarambham",2024,"Mohan Bhagath","Ajay Nag",
aay-2024,"Aay",2024,"Narne Nithin","Anji K Maniputhra",
agent-narasimha117-2024,"Agent Narasimha‐117",2024,"Sayaji Shinde","Lakshman Chaprala",
aham-reboot-2024,"Aham Reboot",2024,"Sumanth","Prasanth Sagar",
