"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"ali","Puli","2010","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","Mufasa: The Lion King","2024","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","Shanti Enathu Shanti","1991","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","New","2004","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","Maaligai","2021","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","Gangvaa","1984","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","Muqabla","1993","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","Total Dhamaal","2019","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","Namo Bhootatma","2014","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"ali","Kempegowda 2","2019","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Mythili Ennai Kaathali","1986","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Agni Natchathiram","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Pudhu Padagan","1990","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Dayavan","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Dost","1989","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Listen... Amaya","2013","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Hamari Adhuri Kahani","2015","Cameo appearance (Cameo)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Tumse Na Ho Payega","2023","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Bannada Gejje","1990","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Ente Sooryaputhrikku","1991","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","High Priestess","2019","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Illam","1989","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"amala","Ulladakkam","1991","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"brahmanandam","Saroja","2008","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"brahmanandam","Vaalu","2015","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"chandra mohan","Bangaru Pichika","1968","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"chandra mohan","Talli Tandrulu","1970","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"chandra mohan","Peddarikam","1992","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"chandra mohan","Duvvada Jagannadham","2017","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"chandra mohan","Sudarum Sooravaliyum","1971","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
