"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"ali","Super","2011","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Super","సూపర్","2010","100","b86e2547-0dfb-4a5f-b046-72e49fc6c39f","Verify and add ali"
"ali","Settai","2013","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Vettai","","2012","83","2cc3a13f-e10c-43ed-ba5b-1bef32090770","Verify and add ali"
"ali","Prem Qaidi","1991","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Prema Khaidi","ప్రేమ కహాిడి","1990","75","22e0478c-72ce-45be-a898-75023571c0c4","Verify and add ali"
"amala","Aagraham","1991","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Aagraham","ాాగరాహామ","1993","100","297783fb-416d-4cd4-ae7f-8d013cc7ba18","Verify and add amala"
"amala","Shiva","1990","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Shiva","శివ","1989","100","7c060e17-7647-4f6c-b5f4-70d22dd7f197","Verify and add amala"
"amala","Life Is Beautiful","2013","Filmfare Award for Best Supporting Actress – Telugu (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Life Is Beautiful","లైఫ్ ఈజ్ బెాుటిఫుల","2012","100","ee48c5f0-5d38-4314-bfe6-d19f90a93e0b","Verify and add amala"
"amala","Oke Oka Jeevitham","2023","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Oke Oka Jeevitham","ఒకే ఒక జీవితం","2022","100","2853a847-2793-42dc-8e78-c6ce730a6e1e","Verify and add amala"
"chandra mohan","Sankarabharanam","1979","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Sankarabharanam","శంకరాభరణం","1980","100","99e725b0-4ccf-49c7-8295-dc2aec633399","Verify and add chandra mohan"
"chandra mohan","Sarocharu","2013","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Sarocharu","సారోకహారు","2012","100","9f0290a8-9045-4ebb-a9d3-5aad76137d47","Verify and add chandra mohan"
"geetha","Garjanam","1981","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Gaanam","గాానామ","1983","75","0fc00d90-8077-4634-ae35-22313b08f65d","Verify and add geetha"
"geetha","Lion","2015","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Lion","లయన్","2016","100","b16d349d-9a85-42a1-8cae-e4701aeea0f1","Verify and add geetha"
"jaggayya","Meghasandesam","1983","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Meghasandesam","మెగహాసానడెసామ","1982","100","29ab91a1-296b-4428-83a6-c6b9dda8b1c0","Verify and add jaggayya"
"jaya prada","Srivari Muchatlu","1981","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Srivari Muchatlu","సరివారి ముకహాటలు","1980","100","9b5fd4b3-d8ba-4bdb-bef2-1ada70b6f6f0","Verify and add jaya prada"
"k. balachander","Bhale Kodallu","1968","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Athalu Kodallu","ాటహాలు కోడాలలు","1971","78","65f9dfe5-1e9f-4886-b7c2-79ed0c2cb03b","Verify and add k. balachander"
"k. balachander","Agni Sakshi","1982","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Agni Samadhi","అగ్ని సామాడహి","1983","75","14d8d9e8-671b-4921-a94a-6c64586ad103","Verify and add k. balachander"
"kanchana","Prem Nagar","1974","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Prema Nagar","ప్రేమ నాగార","1971","90","5775cdb5-323c-4f3c-a5cf-cd101dc14222","Verify and add kanchana"
"kanta rao","Nagarjuna","1961","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Nagarjuna","నాగారజునా","1962","100","da5f58fb-dc86-4667-9435-c633148e8b46","Verify and add kanta rao"
"karthik","Indru","2003","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Indra","ఇంద్ర","2002","80","23dde789-3d07-4c10-b7be-13d9d425639d","Verify and add karthik"
"karthik","Harichandra","1998","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Harischandraa","హారిసకహానడరాా","1999","84","c798227a-0d74-4763-8336-8b9ac1ff8655","Verify and add karthik"
"madhavi","Bhale Ramudu","1984","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Bhale Thammudu","బహాలె టహామముడు","1985","78","8859d38c-971b-48db-964f-8c4da1bc479c","Verify and add madhavi"
"madhavi","Insaaf Kaun Karega","1987","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Insaaf Kaun Karega","ినసాాఫ కాున కారెగా","1984","100","f2609714-179d-47d9-a746-4cc4fd4565ae","Verify and add madhavi"
