"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Prajapathi","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sringaram","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Delhi 6","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dhobi Ghat","2010","Guest at art gallery","","b42e0816-a356-4a7f-8959-b4e2ecd0e685","Dhobi Ghat","2010","Not attributed","100","cast","Add Aditi Rao Hydari as Guest at art gallery"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yeh Saali Zindagi","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","London, Paris, New York","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Murder 3","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Guddu Rangeela","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Padmaavat","2018","Actor","","40f5ef8f-26aa-4a97-b5a5-188797757666","Padmaavat","2018","Not attributed","100","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Girl on the Train","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gandhi Talks","2026","Actor","","ddd938c2-458a-4f51-8389-74a5d7e12c0d","Ponton's Heart","2025","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Taj: Divided by Blood","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Heeramandi","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ponniyin Selvan: I","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ponniyin Selvan: II","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jail","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Coke Studio Tamil","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Distinctive International Arab Festivals Awards","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bollywood Hungama Style Icons","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Aditi Rao Hydari as Cast Member"
"✓ ATTRIBUTED","Khoobsurat","2014","Special appearance","","9d4528b8-7272-4904-a2e6-bd5654457077","Khoobsurat","2014","Not attributed","100","","None"
"✓ ATTRIBUTED","Wazir","2016","Actor","","e8c75fbe-6292-4fd1-b559-1847f2b61950","Wazir","2016","Not attributed","100","","None"
"✓ ATTRIBUTED","Kaatru Veliyidai","2017","Actor","","4a29289f-5c5e-4368-a464-d89f69ab17b7","Kaatru Veliyidai","2017","Heroine: Aditi Rao Hydari","100","","None"
"✓ ATTRIBUTED","Psycho","2020","Actor","","8ea0152a-ab6d-49cd-a053-09b07d6e44b8","Psycho","2020","Heroine: Aditi Rao Hydari","100","","None"
"✓ ATTRIBUTED","Hey Sinamika","2022","Actor","","c346ffc7-f6b6-422a-9fdb-38ab7fba6a57","Hey! Sinamika","2022","Heroine: Aditi Rao Hydari","100","","None"
