"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Musafir","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Aksha Pardasany as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Goal","2007","Debut film in lead role","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Aksha Pardasany as Debut film in lead role"
"⚠️ EXISTS_NOT_ATTRIBUTED","Adi Nuvve","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Aksha Pardasany as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Salim","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Aksha Pardasany as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bengal Tiger","2015","Cameo appearance","","4d8f8f45-61d0-4dc3-a19b-1ff0603ec4a7","Bengal Tiger","2015","Not attributed","100","cast","Add Aksha Pardasany as Cameo appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dictator","2016","Supporting role","","6c94e8ed-3941-4885-a2ad-d05a8428dcc1","Dictator","2016","Not attributed","100","cast","Add Aksha Pardasany as Supporting role"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shubh Nikah","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Aksha Pardasany as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kartam Bhugtam","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Aksha Pardasany as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jamtara – Sabka Number Ayega","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Aksha Pardasany as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kathmandu Connection","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Aksha Pardasany as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rafuchakkar","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Aksha Pardasany as Cast Member"
"✓ ATTRIBUTED","Yuvatha","2008","Actor","","b92717cc-3989-4659-a0de-11441a88900e","Yuvatha","2008","Heroine: Aksha Pardasany","100","","None"
"✓ ATTRIBUTED","Ride","2009","Actor","","f021d820-d96b-4a8e-b57c-83323df9c317","Ride","2009","Heroine: Aksha Pardasany","100","","None"
"✓ ATTRIBUTED","Kandireega","2011","Nominated – Filmfare Award for Best Supporting Actress – Telugu","","9c3033f3-3e70-446f-bc44-039f4892d43e","Kandireega","2011","Not attributed","100","","None"
"✓ ATTRIBUTED","Satruvu","2013","Actor","","4767906b-19fc-4f80-8fdb-b1ab232b2c54","Satruvu","2013","Heroine: Aksha Pardasany","100","","None"
"✓ ATTRIBUTED","Radha","2017","Extended cameo appearance","","26eb9b65-94a5-4a7c-ab2d-e2b01eaeb119","Radha","2017","Not attributed","100","","None"
