"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Parva","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chandu","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Laali Haadu","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maharaja","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mandya","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thimma","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chaitrada Chandrama","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maleyali Jotheyali","2009","Cameo","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Amulya as Cameo"
"⚠️ EXISTS_NOT_ATTRIBUTED","Premism","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manasology","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shravani Subramanya","2013","Filmfare Award for Best Actress – KannadaNominated—SIIMA Award for Best Actress (Kannada)","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Amulya as Filmfare Award for Best Actress – KannadaNominated—SIIMA Award for Best Actress (Kannada)"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gajakesari","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Khushi Khushiyagi","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maduveya Mamatheya Kareyole","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Amulya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maasthi Gudi","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Amulya as Cast Member"
