"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Abhay - The Fearless","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mandi","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mashaal","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Arjun","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ek Ruka Hua Faisla","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Susman","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Khoon Bahaa Ganga Mein","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","ChaalBaaz","1989","Actor","","03b317cc-8b87-45b0-92e5-ad1de7eb7c92","ChaalBaaz","1989","Not attributed","100","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ghayal","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hum","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Paayal","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Darr","1993","Actor","","5db9234a-a5ff-44da-816f-cd9da531f764","Darr","1993","Not attributed","100","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sardar","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jawab","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vijeta","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Udaan","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kachche Dhaage","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tune Mera Dil Le Liyaa","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hum Kisise Kum Nahin","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aitraaz","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mehbooba","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Fakir of Venice","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","7 Khoon Maaf","2011","Actor","","6856bec5-ea2e-4211-9650-e3efe1cf7a39","7 Khoon Maaf","2011","Not attributed","100","cast","Add Annu Kapoor as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gali Gali Chor Hai","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Annu Kapoor as Cast Member"
