"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Saaya","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Murder","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gangster: A Love Story","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Life in a... Metro","2007","Actor","","7ff1cf34-99c3-4a6c-8d1c-f4c9539bd71f","Life in a Metro","2007","Director: Anurag Basu","100","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kites","2010","Actor","","18d5a375-be5c-4876-ac0f-81d588266c45","Kites","2010","Director: Anurag Basu","100","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Barfi!","2012","Actor","","d4e762fa-9836-4c79-a565-fda0b8f88b40","Barfi!","2012","Director: Anurag Basu","100","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jagga Jasoos","2017","Actor","","920867df-c964-4054-8635-6f1e04dcae02","Jagga Jasoos","2017","Director: Anurag Basu","100","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ludo","2020","Actor","","19d51d48-0d50-4181-ba81-6c97b1e896b1","Ludo","2020","Director: Anurag Basu","100","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Metro... In Dino","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Untitled Romantic Musical †","2026","Untitled Romantic Musical †","","ddd938c2-458a-4f51-8389-74a5d7e12c0d","Ponton's Heart","2025","Not attributed","90","cast","Add Anurag Basu as Untitled Romantic Musical †"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards","2008","Best Director","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Anurag Basu as Best Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Barfi!","2013","Best Director","","d4e762fa-9836-4c79-a565-fda0b8f88b40","Barfi!","2012","Director: Anurag Basu","100","cast","Add Anurag Basu as Best Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ludo","2021","Actor","","19d51d48-0d50-4181-ba81-6c97b1e896b1","Ludo","2020","Director: Anurag Basu","100","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","IIFA Awards","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gangster: A Love Story","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Anurag Basu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Director","2008","Best Director","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Anurag Basu as Best Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Director","2013","Best Director","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Anurag Basu as Best Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jagga Jasoos","2018","Best Director","","920867df-c964-4054-8635-6f1e04dcae02","Jagga Jasoos","2017","Director: Anurag Basu","100","cast","Add Anurag Basu as Best Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Producers Guild Film Awards","2008","Producers Guild Film Awards","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Anurag Basu as Producers Guild Film Awards"
"⚠️ EXISTS_NOT_ATTRIBUTED","Screen Awards","2008","Best Director","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Anurag Basu as Best Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Zee Cine Awards","2013","Best Director","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Anurag Basu as Best Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Times of India Film Awards","2013","Best Director","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Anurag Basu as Best Director"
