"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","404","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ek Thi Daayan","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jai Ho","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ann Maria Kalippilaanu","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Song of Scorpions","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ajeeb Daastaans","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Toolsidas Junior","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ponniyin Selvan: II","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Quotation Gang Part 1","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Misha","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Perfect Girl","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Daughter","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Paath (The Lesson)","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","6th Vijay Awards","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","3rd South Indian International Movie Awards","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","9th Vijay Awards","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","19th Asianet Film Awards","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Sara Arjun as Cast Member"
"✓ ATTRIBUTED","Dagudumootha Dandakor","2015","Actor","","155a0e4c-0f5b-4e96-8208-aa6526ca7f7f","Dagudumootha Dandakor","2015","Heroine: Sara Arjun","100","","None"
"✓ ATTRIBUTED","Ek Ladki Ko Dekha Toh Aisa Laga","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Hero: Nani, Nagarjuna","90","","None"
"✓ ATTRIBUTED","Dhurandhar","2025","Actor","","59843167-1e83-4ef0-8e4b-4fb33f6aad15","Dhurandhar","2025","Not attributed","100","","None"
"✓ ATTRIBUTED","Euphoria","2026","Actor","","0dc041e2-92cc-4311-8c8e-170204298d94","Euphoria","2025","Not attributed","100","","None"
"✓ ATTRIBUTED","Parchayee","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Hero: Nani, Nagarjuna","90","","None"
