"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Samanthakamani","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Aadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Athidi Devo Bhava","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Aadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shanmukha","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Aadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Puli Meka","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Aadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pyaar Mein Padipoyane","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Aadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","South Indian International Movie Awards","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Aadi as Cast Member"
"✓ ATTRIBUTED","Prema Kavali","2011","Actor","","241cd6d8-d112-40d6-ba30-62f60ced616d","Prema Kavali","2011","Hero: Aadi","100","","None"
"✓ ATTRIBUTED","Lovely","2012","Actor","","1c9b39a6-bd8e-4215-a4b6-306673168bf2","Lovely","2012","Hero: Aadi Saikumar","100","","None"
"✓ ATTRIBUTED","Sukumarudu","2013","Actor","","1e7f9d33-49db-4a3d-8e22-a034eeb7f5f1","Sukumarudu","2013","Hero: Aadi","100","","None"
"✓ ATTRIBUTED","Pyar Mein Padipoyane","2014","Actor","","e1828f5d-50c6-4044-8429-4c722586ccfd","Pyar Mein Padipoyane","2014","Director: Aadi, Shanvi Srivastava","100","","None"
"✓ ATTRIBUTED","Garam","2016","Actor","","f13d4dc1-39ef-4c64-984a-ccbec1d7d413","Garam","2016","Hero: Aadi","100","","None"
"✓ ATTRIBUTED","Burra Katha","2019","Actor","","2a614e50-36d7-48f8-9c9e-cbfaacf1a011","Burra Katha","2019","Hero: Aadi","100","","None"
"✓ ATTRIBUTED","Sashi","2021","Actor","","231a0c93-3b1b-4dee-9bd4-26e9cdd3a40c","Sashi","2021","Hero: Aadi Saikumar","100","","None"
"✓ ATTRIBUTED","CSI Sanatan","2023","Actor","","958a4b47-6206-4408-ad71-840ac09e7215","Csi Sanatan","2023","Hero: Aadi Saikumar","100","","None"
