"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Parivartana","1954","Actor","","0d21ff62-33c2-4e51-8536-b6fe46eb8caf","Parivartana","1954","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Donga Ramudu","1955","Actor","","1926598b-974f-4f49-8b3b-27834b399653","Donga Ramudu","1955","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mayabazar","1957","Actor","","1e2e0c82-7252-4b2f-8afd-212396329dd7","Mayabazar","1957","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pelli Naati Pramanalu","1958","Actor","","987e6d65-39f5-4471-bf79-868d1eb9dfae","Pelli Naati Pramanalu","1959","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Illarikam","1959","Actor","","9bbd34ba-b703-42db-841e-14dc8f0ab985","Illarikam","1959","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sahasra Siracheda Apoorva Chintamani","1960","Actor","","9bbd34ba-b703-42db-841e-14dc8f0ab985","Illarikam","1959","Not attributed","90","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iddaru Mitrulu","1961","Actor","","da9fbdc9-f83d-4b53-97fa-0f9ce671d1b3","Sri Venkateswara Mahatyam","1960","Not attributed","90","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gundamma Katha","1962","Actor","","bd978c3e-0c2d-4d2c-9002-b81fc6503d49","Gundamma Katha","1962","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dagudu Moothalu","1964","Actor","","07026582-d9c6-40f4-b3b1-40435c586446","Dagudu Moothalu","1964","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naadi Aada Janme","1965","Actor","","f7096e15-e778-4314-b721-049df45f8661","Naadi Aada Janme","1965","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pidugu Ramudu","1966","Actor","","2f7c3232-d50c-4824-aacf-b29ad1fc7dcd","Pidugu Ramudu","1966","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gopaludu Bhoopaludu","1967","Actor","","6ea1aee5-b4c5-4cef-a0f5-8fe9b11a9458","Gopaludu Bhoopaludu","1967","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tikka Sankaraiah","1968","Actor","","b9c22e37-d8d2-4e1d-a46a-9416cec4c7d9","Tikka Sankaraiah","1968","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Buddhimanthudu","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Akka Chellelu","1970","Actor","","5da7c4fb-1dbf-4db5-a61c-162405647f30","Akka Chellelu","1970","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iddaru Ammayilu","1972","Actor","","1196ac9f-472a-446a-9f7b-41b8ad8bdb75","Iddaru Ammayilu","1972","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Andala Ramudu","1973","Actor","","162a355b-2e51-4dfb-9aab-b23933f83c0b","Andala Ramudu","1973","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Banthrotu Bharya","1974","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Not attributed","90","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Zamindarugari Ammayi","1975","Actor","","a5b9b52b-f9de-40b5-a8de-f6c256e8e564","Zamindarugari Ammayi","1975","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Padi Pantalu","1976","Actor","","8d10e24a-55aa-4286-a7b5-61ef264f2abe","Padi Pantalu","1976","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Savasagallu","1977","Actor","","6e60b98a-b4e7-40fa-98e8-3656dcf36606","Savasagallu","1977","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lawyer Viswanath","1978","Actor","","bbb0f807-3109-4339-8a28-5ba41a6ed16d","Lawyer Viswanath","1978","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kothala Raayudu","1979","Actor","","bbf3b8b2-ff2a-4ded-a6c3-86e9c9f17a7e","Kothala Raayudu","1979","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maayadhaari Krishnudu","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ragile Jwala","1981","Actor","","990e8a3f-1132-4bc4-9d5c-f781db98fb99","Ragile Jwala","1981","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iddaru Kodukulu","1982","Actor","","ae61aff7-9ab6-45d9-86df-5f367d647f21","Iddaru Kodukulu","1982","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bava Maradallu","1984","Actor","","8166fb32-9319-4cc8-bd39-88aba9c44c26","Bava Maradallu","1984","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dharmapatni","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","State Rowdy","1989","Actor","","b3d09390-3fa2-44de-82e4-eab227878f38","State Rowdy","1989","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dabbu Bhale Jabbu","1992","Actor","","1bddceae-ab0e-46e9-8f3e-86770fcbe9d6","Dabbu Bhale Jabbu","1992","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Muta Mesthri","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Parugo Parugu","1994","Actor","","977edb4e-4b98-4b2e-aadb-f6a332a3a48f","Parugo Parugu","1993","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Premikudu","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maavichiguru","1996","Actor","","0c1091b7-75ea-4294-b187-77375c854478","Maavichiguru","1996","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Choodalani Vundi","1998","Actor","","c117ac94-47a5-471a-9229-86445f78e36d","Choodalani Vundi","1998","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Indra","2002","Actor","","23dde789-3d07-4c10-b7be-13d9d425639d","Indra","2002","Not attributed","100","cast","Add Allu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kalyana Ramudu","2003","Actor","","783e5320-f947-46ac-96f3-94244bc0a956","Kalyana Ramudu","2003","Not attributed","100","cast","Add Allu as Cast Member"
"✓ ATTRIBUTED","Puttillu","1953","Actor","","45170ea1-5f11-46f3-9aa9-2e3c940edbf5","Puttillu","1953","Hero: Allu Rama Lingaiah","100","","None"
