"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mythili Ennai Kaathali","1986","Tamil film debut Nominated - Filmfare Award for Best Actress – Tamil","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Amala as Tamil film debut Nominated - Filmfare Award for Best Actress – Tamil"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agni Natchathiram","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pudhu Padagan","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vaasalil Oru Vennila","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kanam","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dayavan","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dost","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bannada Gejje","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agni Panjara","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ksheera Sagara","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ente Sooryaputhrikku","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Fall into Spring","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Doordarshan","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Doordarshan","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tamil","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Uyirmei","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Forgotten Army - Azaadi Ke Liye","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Amala as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Cinema Express Awards","1989","Cinema Express Award for Best Actress Special Jury","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Amala as Cinema Express Award for Best Actress Special Jury"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards South","1991","Filmfare Award for Best Actress – Malayalam","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Amala as Filmfare Award for Best Actress – Malayalam"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Award for Best Supporting Actress – Telugu","2013","Filmfare Award for Best Supporting Actress – Telugu","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Amala as Filmfare Award for Best Supporting Actress – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","SIIMA","2013","SIIMA Award for Best Supporting Actress – Telugu","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Amala as SIIMA Award for Best Supporting Actress – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards South","2024","Filmfare Award for Best Supporting Actress – Telugu","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Amala as Filmfare Award for Best Supporting Actress – Telugu"
"✓ ATTRIBUTED","Velaikaran","1987","Actor","","549a78c3-ae33-43d7-8df9-6eb655f8ddfd","Velaikaran","1987","Heroine: Amala","100","","None"
"✓ ATTRIBUTED","Mappillai","1989","Actor","","00d89f19-ccce-49ba-ab22-f4dde8c8d63c","Mappillai","1989","Heroine: Amala","100","","None"
"✓ ATTRIBUTED","Kirayi Dada","1987","Actor","","a8051101-a362-444b-a194-183081691ec9","Kirayi Dada","1987","Heroine: Amala Akkineni, amala","100","","None"
"✓ ATTRIBUTED","Chinababu","1988","Actor","","ee0c5ca5-76a7-44be-9233-462efabbea68","Chinababu","1988","Heroine: Amala Akkineni, amala","100","","None"
"✓ ATTRIBUTED","Siva","1989","Actor","","eca19f7b-3412-47a9-a8a5-6bb0d3bc4a4e","Siva","1989","Not attributed","100","","None"
"✓ ATTRIBUTED","Prema Yuddham","1990","Actor","","17eb4434-c986-48ef-b9dc-ef665caf621d","Prema Yuddham","1990","Heroine: Amala Akkineni, amala","100","","None"
"✓ ATTRIBUTED","Nirnayam","1991","Actor","","4ba7eadd-201f-40b9-bf8b-4671b734f87c","Nirnayam","1991","Heroine: Amala Akkineni, amala","100","","None"
"✓ ATTRIBUTED","Aagraham","1991","Actor","","45f578e7-18cb-46a0-9a2e-840c3baf87b7","Aagraham","1991","Heroine: Amala","100","","None"
"✓ ATTRIBUTED","Life Is Beautiful","2012","Actor","","ee48c5f0-5d38-4314-bfe6-d19f90a93e0b","Life Is Beautiful","2012","Not attributed","100","","None"
