"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards South","2007","Best Debut Actress","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Anjali as Best Debut Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Actress – Tamil","2011","Best Actress – Tamil","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Anjali as Best Actress – Tamil"
"⚠️ EXISTS_NOT_ATTRIBUTED","Engaeyum Eppothum","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Anjali as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nandi Awards","2013","Special Jury Award for Best Actress","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Anjali as Special Jury Award for Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Actress","2014","Best Actress","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Anjali as Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tamil Nadu State Film Awards","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Anjali as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Engaeyum Eppothum","2011","Best Actress-Tamil","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Anjali as Best Actress-Tamil"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vijay Awards","2008","Best Debut Actress","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Anjali as Best Debut Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Angadi Theru","2011","Best Actress","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Anjali as Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vikadan Cinema Awards","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Anjali as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Norway Tamil Film Festival Awards","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Anjali as Cast Member"
