"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Telugu","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aanandha Kummi","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Boeing Boeing","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aranyakanda","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Trimurtulu","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Choopulu Kalisina Subhavela","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gopala Rao Gari Abbayi","1989","Actor","","e908db73-847c-4e13-ae5f-67912a77f09e","Gopala Rao Gari Abbayi","1989","Not attributed","100","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ee Kanni Koodi","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dharma","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maanaseega Kadhal","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ennamma Kannu","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Piriyadha Varam Vendum","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Ashwini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aattanayagann","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Ashwini as Cast Member"
