"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Saakshyam","2018","Actor","","60ea3452-9d44-4414-a2d2-160ac4692ac2","Saakshyam","2018","Not attributed","100","cast","Add Bellamkonda Srinivas as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chatrapathi","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Bellamkonda Srinivas as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Bellamkonda Srinivas as Cast Member"
"✓ ATTRIBUTED","Alludu Seenu","2014","Actor","","7a6fe6c8-2526-4ab1-95d1-40d7c5997bab","Alludu Seenu","2014","Hero: Bellamkonda Srinivas","100","","None"
"✓ ATTRIBUTED","Speedunnodu","2016","Actor","","d4a8894e-1d09-4a84-860b-651ac51f198b","Speedunnodu","2016","Director: Bhimaneni Srinivasa Rao","100","","None"
"✓ ATTRIBUTED","Jaya Janaki Nayaka","2017","Actor","","dc6016ee-abf5-4740-944a-613c125df4a3","Jaya Janaki Nayaka","2017","Hero: Bellamkonda Srinivas","100","","None"
"✓ ATTRIBUTED","Sita","2019","Actor","","5a4bcf6a-885f-46a4-b7bd-4c693f382988","Sita","2019","Hero: Bellamkonda Srinivas","100","","None"
"✓ ATTRIBUTED","Dhira","2020","Actor","","fe661937-8d06-4ae9-bc82-98680e53def7","Dhira","2020","Not attributed","100","","None"
"✓ ATTRIBUTED","Alludu Adhurs","2021","Actor","","c9e834ca-df86-4fb1-8bcc-fa0d6e48baeb","Alludu Adhurs","2021","Hero: Bellamkonda Srinivas; Director: Santosh Srinivas","100","","None"
"✓ ATTRIBUTED","Bhairavam","2025","Actor","","70234803-85ac-4cd3-93c7-046fb63ddb7b","Bhairavam","2025","Hero: Bellamkonda Srinivas","100","","None"
