"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Marco","2024","Actor","","815a26e8-a1ae-4206-a46e-a366bc6bcd5d","Marco","2024","Not attributed","100","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","MTV Supermodel of the Year","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","MTV Ace The Quarantine","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Suma Adda","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bigg Boss Telugu 9","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hai Junoon! Dream. Dare. Dominate.","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Delhi Crime","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ik Supna","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sasarvadi","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vishal Mishra","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Yukti Thareja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","South Indian International Movie Awards","2023","Best Debut Actress","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Yukti Thareja as Best Debut Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Debut Actress","2024","Best Debut Actress","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Yukti Thareja as Best Debut Actress"
"✓ ATTRIBUTED","Rangabali","2023","Actor","","4f0fa1d5-b718-4290-b10f-c0d70f7d886d","Rangabali","2023","Heroine: Yukti Thareja","100","","None"
"✓ ATTRIBUTED","K-Ramp","2025","Actor","","ddcd03b2-3251-4dba-a28c-510a4f2b9813","K-Ramp","2025","Heroine: Yukti Thareja","100","","None"
