"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Pichika","1968","Actor","","04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","1967","Not attributed","90","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Rama Katha","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Talli Tandrulu","1970","Actor","","f6880242-fd8d-491d-a59f-7108cc7a4a26","Annadammulu","1969","Not attributed","90","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devudu Chesina Pelli","1975","Actor","","eb7619c1-15de-460d-855f-8b3521ccfa86","Devudu Chesina Pelli","1975","Not attributed","100","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Padi Pantalu","1976","Actor","","8d10e24a-55aa-4286-a7b5-61ef264f2abe","Padi Pantalu","1976","Not attributed","100","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Priya","1981","Actor","","09b41687-6bbe-41b0-8517-0ca359c82514","Priya","1981","Not attributed","100","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Santoshimata Vratam","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Adigo Alladigo","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rendu Rellu Aaru","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sakshi","1989","Actor","","8f26804c-51c3-4508-9bf1-1248769c7c4e","Sakshi","1989","Not attributed","100","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Peddarikam","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Chandra Mohan as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chitikela Pandiri","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Chandra Mohan as Cast Member"
