"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Garjanam","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Panchagni","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nirabhedhangal","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Theruvu Narthaki","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chakkikotha Chankaran","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anandavally","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Irrikku M.D. Akathudu","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sathyaprathinja","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sthalathe Pradhana Payyans","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rudraksham","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Saadaram","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ezhunilappanthal","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gamyam","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Melevaryathe Malakhakkuttikal","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Greetings","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mouryan","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shambu","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Masters","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Salalah Mobiles","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Johny Johny Yes Appa","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aniyan Kunjum Thannalayathu","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Addala Meda","1981","Actor","","6b7c7128-c863-4628-8304-f0febe64630e","Addala Meda","1981","Not attributed","100","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kodallu Vastunnaru Jagratha","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Bhoomi","1982","Actor","","bce93471-98d5-4f89-ae68-ecd82a67fab3","Bangaru Bhoomi","1982","Not attributed","100","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sagara Sangamam","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Black Tiger","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Drohi","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lion","2015","Actor","","68170acb-420a-442f-9d69-ab3940718b22","Lion","2015","Not attributed","100","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Garjane","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hennina Sowbhagya","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devarelliddaane","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Madhura Bandhavya","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hrudaya Pallavi","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devatha Manushya","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aananthara","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Samsara Nauke","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naagini","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Harakeya Kuri","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aakasmika","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chinna Nee Naguthiru","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jenina Hole","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Zindabad","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Poorvapara","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","O Priyathama","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Miss California","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mr. Theertha","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Halli Panchayathi","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","10ne Tharagathi","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ninaithale Inikkum","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dharma Raja","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Garjanai","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thyagi","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nenjamellam Neeye","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kadamai Kanniyam Kattupaadu","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaliyugam","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pudhu Pudhu Arthangal","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Keladi Kannmanii","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thayamma","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mr. Prasad","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mutrugai","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Uzhiyan","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vetri Vinayagar","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Abhimanyu","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaadhale Nimmadhi","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aalwar","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ithu Kadhal Uthirum Kaalam","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mathapoo","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Paranjothi","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ek Duje Ke Liye","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shubh Kaamna","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yeh Desh","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aaj Ka Goonda Raaj","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pavithra","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Zee Keralam","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Flowers TV","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","ETV Telugu","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Zee Telugu","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Surya TV","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rajakumari","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Engirindho Vanthaal","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Asianet","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jaya TV","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vijay TV","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kadhal Pagadai","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Oppanai","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaialavu Manasu","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Geetha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Penn- Appa Irukken","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Geetha as Cast Member"
"✓ ATTRIBUTED","Yuvathurki","1996","Actor","","26931e42-1f85-4754-bede-0e2b8f6463bc","Yuvathurki","1996","Not attributed","100","","None"
"✓ ATTRIBUTED","Anwar","2010","Actor","","a12494fe-c816-4bab-9bbf-2d398253531f","Anwar","2010","Not attributed","100","","None"
"✓ ATTRIBUTED","Uppukandam Brothers: Back in Action","2011","Archive footage Cameo","","1a875f10-3238-4b42-a00f-8830efd3ca37","Uppukandam Brothers Back In Action","2011","Not attributed","100","","None"
"✓ ATTRIBUTED","Zachariayude Garbhinikal","2013","Nominated - Filmfare Award South for Best Supporting Actress","","85d17d95-34d9-4480-a01e-a7ba7611e766","Zachariayude Garbhinikal","2013","Not attributed","100","","None"
"✓ ATTRIBUTED","Djibouti","2021","Actor","","4677f4dc-61ec-462d-9b94-ce24c5e37bc9","Djibouti","2021","Not attributed","100","","None"
"✓ ATTRIBUTED","Mana Voori Pandavulu","1978","Actor","","1d89b678-a3b6-4250-ad27-317c295131f4","Mana Voori Pandavulu","1978","Heroine: Geetha","100","","None"
"✓ ATTRIBUTED","Iddaru Asadhyule","1979","Actor","","20e59aa7-a5c9-477e-bc9b-2ae946def935","Iddaru Asadhyule","1979","Heroine: Jaya Prada, geetha, madhavi","100","","None"
"✓ ATTRIBUTED","Thathayya Premaleelalu","1980","Actor","","04863e56-3867-430a-9238-610049a37474","Thathayya Premaleelalu","1980","Heroine: Geetha","100","","None"
"✓ ATTRIBUTED","Allullostunnaru","1984","Actor","","29c1e06c-d275-4e83-9ec3-8e6ce429423e","Allullostunnaru","1984","Heroine: Sulakshana, geetha","100","","None"
"✓ ATTRIBUTED","Balachandrudu","1990","Actor","","2d76d043-d506-4543-9871-fbfccc5ea99f","Balachandrudu","1990","Not attributed","100","","None"
"✓ ATTRIBUTED","Aapadbandhavudu","1992","Actor","","58558d07-5a7b-44c2-a2f3-f9c613454295","Aapadbandhavudu","1992","Not attributed","100","","None"
"✓ ATTRIBUTED","Nippu Ravva","1993","Actor","","82ac21ab-bed1-4735-941f-9357c2351cc6","Nippu Ravva","1993","Not attributed","100","","None"
"✓ ATTRIBUTED","Thodu","1997","Actor","","8af84660-ef3d-4a86-8f87-60733b5fbc37","Thodu","1997","Heroine: Geetha","100","","None"
"✓ ATTRIBUTED","Johnny","2003","Actor","","76c549b3-06eb-43f7-b455-906405d170e9","Johnny","2003","Not attributed","100","","None"
"✓ ATTRIBUTED","Nuvvostanante Nenoddantana","2005","Actor","","94631ad2-6dbe-4c36-a202-d979f1f86523","Nuvvostanante Nenoddantana","2005","Not attributed","100","","None"
"✓ ATTRIBUTED","Pournami","2006","Actor","","c1c23ba0-f451-4393-bf5d-c7d804b656e5","Pournami","2006","Not attributed","100","","None"
"✓ ATTRIBUTED","Kathanayakudu","2008","Actor","","2fa121f6-5556-472d-a9e7-334a9bf05f10","Kathanayakudu","2008","Not attributed","100","","None"
"✓ ATTRIBUTED","Pistha","2009","Actor","","b818c656-605a-44f2-b6af-15d347b747df","Pistha","2009","Not attributed","100","","None"
