"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Uzhaippali","1993","Actor","","dfd4a9aa-feb4-40ce-9661-377d1f648c9d","Uzhaippali","1993","Not attributed","100","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hello Brother","1994","Special appearance in the song ""Kannepetta Ro""","","8a0b430f-4432-46b8-84f9-e77bb66a8325","Hello Brother","1994","Not attributed","100","cast","Add Indraja as Special appearance in the song ""Kannepetta Ro"""
"⚠️ EXISTS_NOT_ATTRIBUTED","Sogasu Chooda Tharamaa","1995","Nominated-Filmfare Award for Best Actress – Telugu","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Indraja as Nominated-Filmfare Award for Best Actress – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Velai","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Surya Puthrika","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Unnathangalil","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Krishna Gopalakrishna","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Cheri","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Achante Kochumol","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thalamelam","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lokanathan IAS","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Highway Police","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Indrajith","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sathamanam Bhavati","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agnyaathavaasi","2018","Actor","","ec2d15d3-fafd-4b1f-8c7b-7e46cfb32e84","Agnyaathavaasi","2018","Not attributed","100","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Akkadokkannadu","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Alludu Adhurs","2021","Actor","","c9e834ca-df86-4fb1-8bcc-fa0d6e48baeb","Alludu Adhurs","2021","Not attributed","100","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anantham","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Razakar","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Katha Kamamishu","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jabardasth","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Indraja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Flowers TV","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Indraja as Cast Member"
"✓ ATTRIBUTED","Mummy Mee Aayanochadu","1996","Actor","","0c523235-eec3-4b66-a613-e252593a87f2","Mummy Mee Aayanochadu","1996","Heroine: Indraja","100","","None"
"✓ ATTRIBUTED","Thadayam","1997","Actor","","680e7aba-e623-4694-ad70-b5e5b5efb670","Thadayam","1997","Heroine: Indraja","100","","None"
"✓ ATTRIBUTED","Sammakka Sarakka","2000","Guest role","","f40ddc1a-40fb-4c87-a5c1-e08dee08c9e6","Sammakka Sarakka","2000","Not attributed","100","","None"
"✓ ATTRIBUTED","Dikkulu Choodaku Ramayya","2014","Actor","","bb62ecab-f488-4e22-b0a0-16572f57b64a","Dikkulu Choodaku Ramayya","2014","Not attributed","100","","None"
"✓ ATTRIBUTED","Budugu","2015","Actor","","d953988d-760e-4265-bfa9-1d490726b243","Budugu","2015","Not attributed","100","","None"
"✓ ATTRIBUTED","Ugram","2023","Actor","","ee2b526d-8122-485b-8295-61aa88b85463","Ugram","2023","Not attributed","100","","None"
