"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shavukaru","1950","Actor","","51945998-3d06-4012-84f0-27d4f8c1c68d","Shavukaru","1950","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Valayapathi","1952","Actor","","caa6c0db-66e8-4d30-ab19-15afae98ac99","Patala Bhairavi","1951","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pichi Pullayya","1953","Actor","","6ee5abdb-9a72-4df1-9f55-ac569a040ddc","Pichi Pullayya","1953","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devakannika","1954","Actor","","c446d8b6-0455-46e2-af22-0441c7f6ec91","Pratigna","1953","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rojulu Marayi","1955","Actor","","5dc23156-4293-4904-a658-3bc2d6eb8a84","Amara Sandhesam","1954","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Charana Daasi","1956","Actor","","8df3c9be-f6f9-453f-9bf4-27341c52bb05","Charana Daasi","1956","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhagya Rekha","1957","Actor","","27353947-7da8-49f1-8cfa-d8688684073e","Amara Deepam","1956","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","School Master","1958","Actor","","1e2e0c82-7252-4b2f-8afd-212396329dd7","Mayabazar","1957","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaveriyin Kanavan","1959","Actor","","898aa1eb-8a64-401c-8c40-f193efb453e3","Bhookailas","1958","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Venkateswara Mahatyam","1960","Actor","","da9fbdc9-f83d-4b53-97fa-0f9ce671d1b3","Sri Venkateswara Mahatyam","1960","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhagyalakshmi","1961","Actor","","da9fbdc9-f83d-4b53-97fa-0f9ce671d1b3","Sri Venkateswara Mahatyam","1960","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Paarthaal Pasi Theerum","1962","Actor","","7f0b003c-b15f-4087-9003-0efc1d959658","Paarthaal Pasi Theerum","1962","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Irugu Porugu","1963","Actor","","76a9f097-9562-4960-8c32-a9793678b21c","Irugu Porugu","1963","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manchi Kutumbam","1965","Actor","","91bf0fa8-49b9-4068-b125-544441217141","Sri Satyanarayana Mahathyam","1964","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Petralthan Pillaiya","1966","Actor","","db9c6dd1-37bc-4a3c-b2a3-e4eebcb97213","Chandrahasa","1965","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bama Vijayam","1967","Actor","","30c58bda-7730-4ca4-9e23-6777d9eed3ec","Chilaka Gorinka","1966","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Oli Vilakku","1968","Actor","","04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","1967","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iru Kodugal","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaaviya Thalaivi","1970","Actor","","f6880242-fd8d-491d-a59f-7108cc7a4a26","Annadammulu","1969","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thiruneelakandar","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pasa Dheebam","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaliyuga Kannan","1974","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manithanum Deivamagalam","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dasavataram","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Olimayamana Ethirkalam","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thayige Thakka Maga","1978","Actor","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pappu","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thee","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bezawada Bebbuli","1983","Actor","","a3b5fdc4-f43d-45dd-87e4-4fd08085b529","Bezawada Bebbuli","1983","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chiranjeevi","1984","Actor","","42a803e4-e75b-4766-a645-9c0136b46b71","Chiranjeevi","1985","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pachani Kapuram","1985","Actor","","2a11d0b7-eaf7-45b2-9591-76c5d8f421f6","Pachani Kapuram","1985","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dosti Dushmani","1986","Actor","","f57c9b3d-3da2-44fa-b127-71f2d2451984","Dosti Dushmani","1986","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gouthami","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aadade Aadharam","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thendral Puyalanadhu","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Azhagan","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Soorya Manasam","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Todi Kodallu","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nenu Premisthunnanu","1997","Actor","","e07b4c84-986c-4c9a-813f-04266996e108","Nenu Premisthunnanu","1998","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bavagaru Bagunnara?","1998","Actor","","1fa766ed-f064-4514-987b-fba4cde3c289","Bavagaru Bagunnara","1998","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devi","1999","Actor","","d4b041d2-69f5-4d75-94be-a9a7b3532477","Devi","1999","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hey Ram","2000","Actor","","064a9df6-a4ea-46a6-87c9-8b453e03e53e","Hey Ram","2000","Not attributed","100","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amoolyam","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Janaki as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vanavarayan Vallavarayan","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Janaki as Cast Member"
