"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Swargam Narakam","1975","Actor","","cd0d15a6-36fb-4f81-9c65-654d392a87a3","Swargam Narakam","1975","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pranam Khareedu","1978","Actor","","6f583e4e-8480-4035-a85e-686cee56e19d","Pranam Khareedu","1978","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gharana Donga","1980","Actor","","5986f3e3-5d62-402b-94f5-990a119ea46c","Gharana Donga","1980","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tholi Kodi Koosindi","1981","Actor","","064a1b80-2e95-4a77-ac4b-7ec65f351e60","Tholi Kodi Koosindi","1980","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaliyuga Deepam","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agni Samadi","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bharatham Lo Sankaravam","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bebbuli Veta","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iddaru Mithrulu","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Brahma Nayudu","1987","Actor","","2d97b252-1de8-4604-8486-9a376171f0ec","Brahma Nayudu","1987","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aada Bomma","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anna Thammudu","1990","Actor","","fcc7f26f-a1b7-47ae-9283-474c5e7c2854","Anna Thammudu","1990","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sathruvu","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhale Khaideelu","1992","Actor","","21144a54-72bd-4600-bb63-0ce48cef6ab5","Bhale Khaideelu","1992","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Abbaigaru","1993","Actor","","a3aec437-8aa6-48dc-91a6-3cb80690c722","Abbaigaru","1993","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anna","1994","Actor","","ad3e5c0e-ea16-40ef-b221-9feb1b0a8853","Anna","1994","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gulabi","1995","Actor","","5b1f669e-5533-4700-9584-2d2c72a3b319","Gulabi","1995","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amma Durgamma","1996","Actor","","46561ff1-e3cf-4ae3-8030-1203e4a2536e","Amma Durgamma","1996","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chilakkottudu","1997","Actor","","d07ec12c-1093-4d6e-a5c4-ccbf87844830","Chilakkottudu","1997","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Cheekati Suryulu","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Adavi Chukka","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Avunu Valliddaru Ista Paddaru","2002","Actor","","fc33e50b-a9b5-4056-aea0-82e850c00c8e","Avunu Valliddaru Ista Paddaru!","2002","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Charminar","2003","Actor","","a87fd3ca-05b5-4cfe-a817-5078f4ad6cfe","Charminar","2003","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Andhrawala","2004","Actor","","57ca8c73-75e0-4025-9ccf-75a223c3e1b0","Andhrawala","2004","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","786 Khaidi Premakatha","2005","Actor","","680b5eed-9a30-47ea-a8d1-4b1fcc2d3c8f","786 Khaidi Premakatha","2005","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aadavari Matalaku Ardhalu Verule","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhadradri","2008","Actor","","3f9ce086-d6a5-4781-9cc4-566bbcefef84","Bhadradri","2008","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bank","2009","Actor","","1dc741b3-85ff-4bdf-94d7-5ec157a52659","Bank","2009","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Brahmalokam To Yamalokam Via Bhulokam","2010","Actor","","6f2dcc1f-1e29-45bc-9b0b-00f45c9c510b","Brahmalokam to Yamalokam via Bhulokam","2010","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chattam","2011","Actor","","e220d138-b174-4291-8fac-062bf1fc18e5","Chattam","2011","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Damarukam","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Swamy Ra Ra","2013","Actor","","4c624518-8681-4f21-bef0-c14a59a1f85b","Swamy Ra Ra","2013","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jump Jilani","2014","Actor","","cfdf6afc-0438-4872-84a8-ac126de4374e","Jump Jilani","2014","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ladies & Gentlemen","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Duvvada Jagannadham","2017","Actor","","5e5f9bb1-90ff-442e-bd8d-e42d4d93d5ec","Duvvada Jagannadham","2017","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mathu Vadalara","2019","Actor","","4d781dfa-433f-464c-a2b5-65b6ad47d0e0","Mathu Vadalara","2019","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Brahmmavaram P.S. Paridhilo","2024","Actor","","6b72d6ba-32a7-40dc-9368-f118bcaa7864","Brahmmavaram P.S. Paridhilo","2024","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Trimukha","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Satya","1998","Actor","","bbc9a14e-ff9f-45b0-bc48-25160847dcfa","Satya","1998","Not attributed","100","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ab Tak Chhappan","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Darwaza Bandh Rakho","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yatra","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lahore","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Enga Ooru Kannagi","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nyayam Ketkiren","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shankar Guru","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sonthakkaran","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thiru Ranga","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Satyam","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vettaikaran","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Jeeva as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Priyamudan Priya","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Jeeva as Cast Member"
