"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Loguttu Perumallukeruka","1966","Actor","","bad968b2-7c4b-472d-bd89-ae21c6ee0912","Loguttu Perumallukeruka","1966","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rajayogam","1968","Actor","","04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","1967","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raja Simha","1969","Actor","","f512c3d9-9b62-45bc-ace6-82bee59f59b3","Raja Simha","1969","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gandaragandudu","1969","Actor","","e37253b0-939b-4490-acab-34177dcb499f","Gandaragandudu","1969","Director: K.S.R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gandaragolam","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Takkari Donga Chakkani Chukka","1969","Actor","","8d228b89-4ac8-43ec-9f37-a547d94dfda5","Takkari Donga Chakkani Chukka","1969","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ukkupidugu","1969","Actor","","f1347cbb-0a3e-47e1-841f-8c01ab4b67d4","Ukkupidugu","1969","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rowdy Rani","1970","Actor","","f6880242-fd8d-491d-a59f-7108cc7a4a26","Annadammulu","1969","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Kutumbam","1971","Actor","","372c0e78-0cb5-497c-8f50-fbe621bd5d37","Bangaru Kutumbam","1971","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","C.I.D. Raju","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","James Bond 777","1971","Actor","","97134a53-6418-4b80-ab36-4204db9bb47c","James Bond 777","1971","Director: K.S.R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kathiki Kankanam","1971","Actor","","cf4ca2a7-df42-4c57-9afa-e7d416f53593","Kathiki Kankanam","1971","Director: K. S. R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mosagallaku Mosagadu","1971","Actor","","6ec75b79-260a-4347-a16c-263632936bd8","Mosagallaku Mosagadu","1971","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Prema Jeevulu","1971","Actor","","6f4940f6-0872-49a5-b703-addeedfd2ee0","Prema Jeevulu","1971","Director: K. S. R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rowdilaki Rowdeelu","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gunfighter Johnny","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hanthakulu Devanthakulu","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kathula Rathaiah","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Penning Saval","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pilla? Piduga?","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pistolwali","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Uriki Upakari","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vooriki Upakari","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rani Mera Naam","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Apna Farz","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bahadur Ladkiyan","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hifazat","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rani Aur Jaani","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manchivaalaku Manchivadu","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kalla Kulla","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maavoori Ganga","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhale Dongalu","1976","Actor","","2b6791f3-5531-46ae-879f-afa276fefad1","Bhale Dongalu","1976","Director: K. S. R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Doralu Dongalu","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kallanum Kullanum","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangarada Gudi","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lakshmi Nivasa","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sahodarara Savaal","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devudunadu Jagratha","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dongalaku Donga","1977","Actor","","70794e5a-dc58-4696-98f4-b067469c8b0d","Dongalaku Donga","1977","Director: K. S. R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Eenati Bandham Yenatido","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agent Gopi","1978","Actor","","c999d4d5-b069-41f4-b568-f2e136f002ac","Agent Gopi","1978","Director: K. S. R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Annadammula Savaal","1978","Actor","","06e1e232-3907-4be9-9909-ebb315251f5d","Annadammula Savaal","1978","Director: K. S. R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dongala Veta","1978","Actor","","5f032754-9671-4d14-9369-3696752f1a6f","Dongala Veta","1978","Director: K. S. R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kiladi Kittu","1978","Actor","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chor Ka Bhai Chor","1978","Actor","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Diler","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iddaru Asadhyule","1979","Actor","","20e59aa7-a5c9-477e-bc9b-2ae946def935","Iddaru Asadhyule","1979","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Evvadabba Sommu","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Gudi","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Captain Krishna","1979","Actor","","d3cc338c-f3b6-4ced-b16e-95c862c5d8cd","Captain Krishna","1979","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dongalaku Saval","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yugandhar","1979","Actor","","b438d150-d104-4493-b0db-bda25b66d21c","Yugandhar","1979","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Samajaniki Saval","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chesina Basalu","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devudichina Koduku","1980","Actor","","eaead374-d4ed-4894-8048-b9a7b4bc1bc1","Devudichina Koduku","1980","Director: K.S.R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mr. Rajanikant","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mama-Allulla Sawal","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Venkateswara Vrata Mahatyam","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Snehitara Savaal","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jeevakke Jeeva","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Black Cobra","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rahasya Gudachari","1981","Actor","","8fd64134-9ec6-47cb-ac2d-cdf8ff21562a","Rahasya Gudachari","1981","Director: K.S.R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Girija Kalyanam","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mayadari Alludu","1981","Actor","","c11a6394-9269-4a25-8a98-ec92d2fc0567","Mayadari Alludu","1981","Not attributed","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Talli Kodakala Anubandham","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Billa Ranga","1982","Actor","","c1823334-ad42-47e3-b010-9e12aed6b4c2","Billa Ranga","1982","Director: K.S.R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Koduku","1982","Actor","","03fc282a-0009-4fe6-975a-bf2c6c9036fd","Bangaru Koduku","1982","Director: K.S.R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shamsher Shankar","1982","Actor","","4a487760-5bae-4516-9e42-2030f5fe6e8d","Shamsher Shankar","1982","Director: K.S.R. Das","100","cast","Add K.S.R. Das as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Karmika Kallanalla","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add K.S.R. Das as Cast Member"
