"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Malayalam","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kakkothikkavile Appooppan Thaadikal","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yaathrayude Anthyam","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vembanaad","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vishnulokam","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sadayam","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhoomi Geetham","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sukham Sukhakaram","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Oru Abhibhashakante Case Diary","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Kalyani as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Udhyanapalakan","1996","Debut as lead actress","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Kalyani as Debut as lead actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Guru","1997","Actor","","e267b2df-9887-492c-b4f9-eae48980e2c4","Guru","1997","Not attributed","100","cast","Add Kalyani as Cast Member"
