"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Alaigal Oivathillai","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Karthik as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Marupatta Konangal","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Karthik as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rajathanthiram","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Karthik as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nalla Thambi","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Karthik as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dharma Pathini","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Karthik as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raja Mariyadhai","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Karthik as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Solla Thudikuthu Manasu","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Karthik as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Varusham Padhinaaru","1989","Filmfare Award for Best Actor – Tamil","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Karthik as Filmfare Award for Best Actor – Tamil"
"⚠️ EXISTS_NOT_ATTRIBUTED","Idhaya Thamarai","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Karthik as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vanakkam Vathiyare","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Karthik as Cast Member"
