"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Zee Tamizh Kudumbha Viruthugal 2020","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Telugu","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Telugu","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tamil","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tamil","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tamil","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Telugu","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","No.1 Kodalu","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ala Venkatapuramlo","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Kavitha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Telugu","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Kavitha as Cast Member"
