"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Meera","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thenmavin Kombath","1994","Debut film as a cinematographerNational Film Award for Best Cinematography","","037a7816-6de1-4413-9f1d-308df912043f","Thenmavin Kombath","1994","Not attributed","100","cast","Add KVAS as Debut film as a cinematographerNational Film Award for Best Cinematography"
"⚠️ EXISTS_NOT_ATTRIBUTED","Punya Bhoomi Naa Desam","1995","Actor","","240c30b1-a4c2-4a5e-9919-62c0bb646f49","Punya Bhoomi Naa Desam","1995","Not attributed","100","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kadhal Desam","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nerukku Ner","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Doli Saja Ke Rakhna","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mudhalvan","1999","Actor","","9013a548-1f90-496d-af90-1046e0edf360","Mudhalvan","1999","Not attributed","100","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Josh","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nayak: The Real Hero","2001","Nayak: The Real Hero","","f48dc913-aa7c-4508-9fe9-3c0e680cc42b","Nayak: The Real Hero","2001","Not attributed","100","cast","Add KVAS as Nayak: The Real Hero"
"⚠️ EXISTS_NOT_ATTRIBUTED","Virumbugiren","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Boys","2003","Actor","","a92b92b3-4197-4b08-9544-12c21a92c01b","Boys","2003","Not attributed","100","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Khakee","2004","Actor","","bbf87573-de10-4b68-8467-62710e205815","Khakee","2004","Not attributed","100","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kana Kandaen","2005","Debut film as a director","","1d6288b0-5004-4eb6-8417-a98a34dfb9c3","Kana Kandaen","2005","Not attributed","100","cast","Add KVAS as Debut film as a director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sivaji: The Boss","2007","Guest appearance","","4a3ea722-d752-442b-9abd-c1ab786f637f","Sivaji: The Boss","2007","Not attributed","100","cast","Add KVAS as Guest appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ayan","2009","Actor","","9850200d-3b71-4f5e-b909-e1b4925dc577","Ayan","2009","Not attributed","100","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ko","2011","Actor","","db7ccc30-1d08-4086-9641-5d99382e56ca","Ko","2011","Not attributed","100","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maattrraan","2012","Guest appearance","","8b80245d-e9c4-4f19-9028-593c5865616e","Maattrraan","2012","Not attributed","100","cast","Add KVAS as Guest appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anegan","2015","Actor","","d7fa4bc4-011a-4fc0-8e79-0e299b50e654","Anegan","2015","Not attributed","100","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kavan","2017","Actor","","ebd365fc-0152-497b-b17e-37e268807ba3","Kavan","2017","Not attributed","100","cast","Add KVAS as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaappaan","2019","Final film as a director","","36b7c245-d2ba-4a23-88fe-848dded445ff","Kaappaan","2019","Not attributed","100","cast","Add KVAS as Final film as a director"
