"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jeevanaamsam","1968","Actor","","04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","1967","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kanni Penn","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maattukara Velan","1970","Actor","","f6880242-fd8d-491d-a59f-7108cc7a4a26","Annadammulu","1969","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nootrukku Nooru","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Director: Lakshmi Deepak","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kasethan Kadavulada","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Swaami Ayyappan","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sila Nerangalil Sila Manithargal","1976","National Film Award for Best Actress[citation needed]","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add Lakshmi as National Film Award for Best Actress[citation needed]"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thoondil Meen","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Oru Nadigai Natakam Parkiral","1978","Tamil Nadu State Film Award for Best Actress[citation needed]","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Not attributed","90","cast","Add Lakshmi as Tamil Nadu State Film Award for Best Actress[citation needed]"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dhairyalakshmi","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Polladhavan","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nenjangal","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Lakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Award for Best Actress – Tamil","1983","Filmfare Award for Best Actress – Tamil[citation needed]","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Lakshmi as Filmfare Award for Best Actress – Tamil[citation needed]"
